row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Vốn khác của chủ sở hữu,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Tổng cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Vốn khác của chủ sở hữu,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,VND,,,,,,
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,,,,,,
Số dư đầu năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022 > Số dư đầu năm,Số dư đầu năm,5.000.000.000.000,196.652.770.150,3.813.900.000,570.293.306.781,455.431.900.286,6.226.191.877.217,5000000000000.0,196652770150.0,3813900000.0,570293306781.0,455431900286.0,6226191877217.0
Lợi nhuận trong năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022 > Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,546.793.075.362,546.793.075.362,,,,,546793075362.0,546793075362.0
"Trích Quỹ khen thưởng, phúc lợi","Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022 > Trích Quỹ khen thưởng, phúc lợi","Trích Quỹ khen thưởng, phúc lợi",*,-,-,-,(55.431.900.286),(55.431.900.286),,,,,-55431900286.0,-55431900286.0
Chia cổ tức bằng tiền,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022 > Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,-,-,-,-,(400.000.000.000),(400.000.000.000),,,,,-400000000000.0,-400000000000.0
Tài sản hình thành từ các quỹ,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022 > Tài sản hình thành từ các quỹ,Tài sản hình thành từ các quỹ,-,-,12.735.231.827,(12.735.231.827),-,-,,,12735231827.0,-12735231827.0,,
Số dư cuối năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022 > Số dư cuối năm,Số dư cuối năm,5.000.000.000.000,196.652.770.150,16.549.131.827,557.558.074.954,546.793.075.362,6.317.553.052.293,5000000000000.0,196652770150.0,16549131827.0,557558074954.0,546793075362.0,6317553052293.0
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,,,,,,
Số dư đầu năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023 > Số dư đầu năm,Số dư đầu năm,5.000.000.000.000,196.652.770.150,16.549.131.827,557.558.074.954,546.793.075.362,6.317.553.052.293,5000000000000.0,196652770150.0,16549131827.0,557558074954.0,546793075362.0,6317553052293.0
