row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,numeric__Mối quan hệ
Tập đoàn Điện lực Việt Nam,Tập đoàn Điện lực Việt Nam,Tập đoàn Điện lực Việt Nam,Công ty mẹ tối cao,
Tổng Công ty Phát điện 2- CTCP,Tổng Công ty Phát điện 2- CTCP,Tổng Công ty Phát điện 2- CTCP,Công ty mẹ,
Công ty Mua bán điện-Tập đoàn Điện lực Việt Nam,Công ty Mua bán điện-Tập đoàn Điện lực Việt Nam,Công ty Mua bán điện-Tập đoàn Điện lực Việt Nam,Đơn vị cùng Tập đoàn,
Công ty Cổ phần Nhiệt điện Phả Lại,Công ty Cổ phần Nhiệt điện Phả Lại,Công ty Cổ phần Nhiệt điện Phả Lại,Đơn vị cùng Tổng Công ty,
Công ty Cổ phần Nhiệt điện Bà Rịa,Công ty Cổ phần Nhiệt điện Bà Rịa,Công ty Cổ phần Nhiệt điện Bà Rịa,Đơn vị cùng Tập đoàn,
Công ty TNHH MTV Thí nghiệm điện miền Bắc,Công ty TNHH MTV Thí nghiệm điện miền Bắc,Công ty TNHH MTV Thí nghiệm điện miền Bắc,Đơn vị cùng Tập đoàn,
Công ty Viễn thông Điện lực và Công nghệ thông tin,Công ty Viễn thông Điện lực và Công nghệ thông tin,Công ty Viễn thông Điện lực và Công nghệ thông tin,Đơn vị cùng Tập đoàn,
Trung tâm điều độ hệ thống điện Miền Bắc,Trung tâm điều độ hệ thống điện Miền Bắc,Trung tâm điều độ hệ thống điện Miền Bắc,Đơn vị cùng Tập đoàn,
Công ty TNHH MTV Điện lực Hải Phòng,Công ty TNHH MTV Điện lực Hải Phòng,Công ty TNHH MTV Điện lực Hải Phòng,Đơn vị cùng Tập đoàn,
Công ty điện lực Vĩnh Phúc - Chi nhánh Tổng Công ty Điện lực Miền Bắc,Công ty điện lực Vĩnh Phúc - Chi nhánh Tổng Công ty Điện lực Miền Bắc,Công ty điện lực Vĩnh Phúc - Chi nhánh Tổng Công ty Điện lực Miền Bắc,Đơn vị cùng Tập đoàn,
Công ty Nhiệt điện Cần Thơ,Công ty Nhiệt điện Cần Thơ,Công ty Nhiệt điện Cần Thơ,Đơn vị cùng Tập đoàn,
Công ty Cổ phần Thủy điện A Vương,Công ty Cổ phần Thủy điện A Vương,Công ty Cổ phần Thủy điện A Vương,Đơn vị cùng Tập đoàn,
