row_label_raw,row_label_full,col_0,Phần mềmmáy tính,Khác,Tổng,numeric__Phần mềmmáy tính,numeric__Khác,numeric__Tổng
,,,VND,VND,VND,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,12.502.940.445,2.220.106.877,14.723.047.322,12502940445.0,2220106877.0,14723047322.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,1.208.000.000,-,1.208.000.000,1208000000.0,,1208000000.0
Giảm trong năm,NGUYÊN GIÁ > Giảm trong năm,Giảm trong năm,(49.157.760),-,(49.157.760),-49157760.0,,-49157760.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,13.661.782.685,2.220.106.877,15.881.889.562,13661782685.0,2220106877.0,15881889562.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,3.454.206.387,1.078.854.054,4.533.060.441,3454206387.0,1078854054.0,4533060441.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,3.327.211.804,261.979.656,3.589.191.460,3327211804.0,261979656.0,3589191460.0
Giảm khác,GIÁ TRỊ HAO MÒN LỦY KẾ > Giảm khác,Giảm khác,(2.356.880),-,(2.356.880),-2356880.0,,-2356880.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,6.779.061.311,1.340.833.710,8.119.895.021,6779061311.0,1340833710.0,8119895021.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,9.048.734.058,1.141.252.823,10.189.986.881,9048734058.0,1141252823.0,10189986881.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,6.882.721.374,879.273.167,7.761.994.541,6882721374.0,879273167.0,7761994541.0
