row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiện vận tải,Thiết bị văn phòng,Khác,Tổng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiện vận tải,numeric__Thiết bị văn phòng,numeric__Khác,numeric__Tổng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,10.395.325.369.184,10.956.703.121.311,556.023.654.808,235.413.505.205,1.319.392.748,22.144.785.043.256,10395325369184.0,10956703121311.0,556023654808.0,235413505205.0,1319392748.0,22144785043256.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,1.725.285.671,13.194.065.380,4.064.998.545,1.906.827.477,-,20.891.177.073,1725285671.0,13194065380.0,4064998545.0,1906827477.0,,20891177073.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,10.397.050.654.855,10.969.897.186.691,560.088.653.353,237.320.332.682,1.319.392.748,22.165.676.220.329,10397050654855.0,10969897186691.0,560088653353.0,237320332682.0,1319392748.0,22165676220329.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,7.315.623.619.921,9.556.660.068.054,440.480.099.163,225.903.406.455,1.105.452.568,17.539.772.646.161,7315623619921.0,9556660068054.0,440480099163.0,225903406455.0,1105452568.0,17539772646161.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,459.844.745.714,446.776.925.449,14.988.288.033,4.486.312.016,26.388.456,926.122.659.668,459844745714.0,446776925449.0,14988288033.0,4486312016.0,26388456.0,926122659668.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,7.775.468.365.635,10.003.436.993.503,455.468.387.196,230.389.718.471,1.131.841.024,18.465.895.305.829,7775468365635.0,10003436993503.0,455468387196.0,230389718471.0,1131841024.0,18465895305829.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,3.079.701.749.263,1.400.043.053.257,115.543.555.645,9.510.098.750,213.940.180,4.605.012.397.095,3079701749263.0,1400043053257.0,115543555645.0,9510098750.0,213940180.0,4605012397095.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,2.621.582.289.220,966.460.193.188,104.620.266.157,6.930.614.211,187.551.724,3.699.780.914.500,2621582289220.0,966460193188.0,104620266157.0,6930614211.0,187551724.0,3699780914500.0
