row_label_raw,row_label_full,Thuế giá trị gia tăng phải nộp,Số đầu năm > Số phải thu VND > -,Số đầu năm > Số phải trả VND > 22.212.626.576,Phát sinh trong năm > Số phải nộp trong năm VND > 1.009.690.551.683,Phát sinh trong năm > Số đã thực nộp/khẩu trừ trong năm VND > 1.031.903.178.259,Số cuối năm > Số phải thu VND > -,Số cuối năm > Số phải trả VND > -,numeric__Số đầu năm > Số phải thu VND > -,numeric__Số đầu năm > Số phải trả VND > 22.212.626.576,numeric__Phát sinh trong năm > Số phải nộp trong năm VND > 1.009.690.551.683,numeric__Phát sinh trong năm > Số đã thực nộp/khẩu trừ trong năm VND > 1.031.903.178.259,numeric__Số cuối năm > Số phải thu VND > -,numeric__Số cuối năm > Số phải trả VND > -
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,913.541.803,-,23.390.639.635,22.142.371.279,-,334.726.553,913541803.0,,23390639635.0,22142371279.0,,334726553.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,-,810.614.534,5.407.235.006,5.729.956.041,-,487.893.499,,810614534.0,5407235006.0,5729956041.0,,487893499.0
Thuế tài nguyên,Thuế tài nguyên,Thuế tài nguyên,-,5.950.797.840,101.917.806.120,99.429.398.640,-,8.439.205.320,,5950797840.0,101917806120.0,99429398640.0,,8439205320.0
Thuế đất,Thuế đất,Thuế đất,-,-,11.252.398.245,11.252.398.245,-,-,,,11252398245.0,11252398245.0,,
Thuế môn bài,Thuế môn bài,Thuế môn bài,-,-,3.000.000,3.000.000,-,-,,,3000000.0,3000000.0,,
"Phí, lệ phí và các khoản phải nộp khác","Phí, lệ phí và các khoản phải nộp khác","Phí, lệ phí và các khoản phải nộp khác",-,-,8.970.708.000,8.970.708.000,-,-,,,8970708000.0,8970708000.0,,
,,,913.541.803,28.974.038.950,1.160.632.338.689,1.179.431.010.464,-,9.261.825.372,913541803.0,28974038950.0,1160632338689.0,1179431010464.0,,9261825372.0
