row_label_raw,row_label_full,col_0,Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2019VND,Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2018(trình bày lại)VND,numeric__Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2019VND,numeric__Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2018(trình bày lại)VND
Chi phí quản lý doanh nghiệp liên quan trực tiếp đến hoạt động bảo hiểm,Chi phí quản lý doanh nghiệp liên quan trực tiếp đến hoạt động bảo hiểm,Chi phí quản lý doanh nghiệp liên quan trực tiếp đến hoạt động bảo hiểm,Chi phí quản lý doanh nghiệp liên quan trực tiếp đến hoạt động bảo hiểm,Chi phí quản lý doanh nghiệp liên quan trực tiếp đến hoạt động bảo hiểm,,
Chi phí nhân công,Chi phí quản lý doanh nghiệp liên quan trực tiếp đến hoạt động bảo hiểm > Chi phí nhân công,Chi phí nhân công,1.829.717.320.756,1.667.558.409.242,1829717320756.0,1667558409242.0
"Chi phí nguyên liệu, vật liệu","Chi phí quản lý doanh nghiệp liên quan trực tiếp đến hoạt động bảo hiểm > Chi phí nguyên liệu, vật liệu","Chi phí nguyên liệu, vật liệu",228.206.782.027,206.078.457.688,228206782027.0,206078457688.0
Chi phí khấu hao tài sản cố định,Chi phí quản lý doanh nghiệp liên quan trực tiếp đến hoạt động bảo hiểm > Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,78.386.968.124,77.029.561.004,78386968124.0,77029561004.0
Thuế và chi phí lệ phí,Chi phí quản lý doanh nghiệp liên quan trực tiếp đến hoạt động bảo hiểm > Thuế và chi phí lệ phí,Thuế và chi phí lệ phí,20.761.595.557,21.074.494.385,20761595557.0,21074494385.0
Chi phí dịch vụ mua ngoài,Chi phí quản lý doanh nghiệp liên quan trực tiếp đến hoạt động bảo hiểm > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,431.853.054.198,629.016.198.593,431853054198.0,629016198593.0
Chi phí dự phòng,Chi phí quản lý doanh nghiệp liên quan trực tiếp đến hoạt động bảo hiểm > Chi phí dự phòng,Chi phí dự phòng,16.178.303.826,10.373.980.445,16178303826.0,10373980445.0
Chi phí khác,Chi phí quản lý doanh nghiệp liên quan trực tiếp đến hoạt động bảo hiểm > Chi phí khác,Chi phí khác,336.547.162.304,306.504.137.768,336547162304.0,306504137768.0
,,,2.941.651.186.792,2.917.635.239.125,2941651186792.0,2917635239125.0
Chi phí quản lý doanh nghiệp liên quan đến các lĩnh vực khác,Chi phí quản lý doanh nghiệp liên quan đến các lĩnh vực khác,Chi phí quản lý doanh nghiệp liên quan đến các lĩnh vực khác,Chi phí quản lý doanh nghiệp liên quan đến các lĩnh vực khác,Chi phí quản lý doanh nghiệp liên quan đến các lĩnh vực khác,,
Chi phí nhân công,Chi phí quản lý doanh nghiệp liên quan đến các lĩnh vực khác > Chi phí nhân công,Chi phí nhân công,231.188.455.855,217.648.710.048,231188455855.0,217648710048.0
"Chi phí nguyên liệu, vật liệu","Chi phí quản lý doanh nghiệp liên quan đến các lĩnh vực khác > Chi phí nguyên liệu, vật liệu","Chi phí nguyên liệu, vật liệu",5.592.622.353,5.564.585.851,5592622353.0,5564585851.0
Chi phí khấu hao tài sản cố định,Chi phí quản lý doanh nghiệp liên quan đến các lĩnh vực khác > Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,69.883.685.173,56.538.905.443,69883685173.0,56538905443.0
Thuế và chi phí lệ phí,Chi phí quản lý doanh nghiệp liên quan đến các lĩnh vực khác > Thuế và chi phí lệ phí,Thuế và chi phí lệ phí,20.436.187.941,19.630.235.687,20436187941.0,19630235687.0
Chi phí dịch vụ mua ngoài,Chi phí quản lý doanh nghiệp liên quan đến các lĩnh vực khác > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,163.818.844.992,161.688.871.576,163818844992.0,161688871576.0
Chi phí dự phòng,Chi phí quản lý doanh nghiệp liên quan đến các lĩnh vực khác > Chi phí dự phòng,Chi phí dự phòng,14.008.735.610,4.099.854.527,14008735610.0,4099854527.0
Chi phí khác,Chi phí quản lý doanh nghiệp liên quan đến các lĩnh vực khác > Chi phí khác,Chi phí khác,70.446.636.865,75.969.175.521,70446636865.0,75969175521.0
,,,575.375.168.789,541.140.338.653,575375168789.0,541140338653.0
,,,3.517.026.355.581,3.458.775.577.778,3517026355581.0,3458775577778.0
