row_label_raw,row_label_full,col_0,Dư phòngbảo hiểm gốc và nhận tảiVND,Dư phòng nhượngtái bảo hiểm (tài sản tải bảo hiểm)VND,Dư phòngbảo hiểm thuầnVND,numeric__Dư phòngbảo hiểm gốc và nhận tảiVND,numeric__Dư phòng nhượngtái bảo hiểm (tài sản tải bảo hiểm)VND,numeric__Dư phòngbảo hiểm thuầnVND
Ngày 31 tháng 12 năm 2018 (trình bày lại),Ngày 31 tháng 12 năm 2018 (trình bày lại),Ngày 31 tháng 12 năm 2018 (trình bày lại),Ngày 31 tháng 12 năm 2018 (trình bày lại),Ngày 31 tháng 12 năm 2018 (trình bày lại),Ngày 31 tháng 12 năm 2018 (trình bày lại),,,
Dự phòng phi chưa được hưởng,Ngày 31 tháng 12 năm 2018 (trình bày lại) > Dự phòng phi chưa được hưởng,Dự phòng phi chưa được hưởng,4.948.700.459.794,(1.619.074.855.020),3.329.625.604.774,4948700459794.0,-1619074855020.0,3329625604774.0
Dự phòng bồi thường,Ngày 31 tháng 12 năm 2018 (trình bày lại) > Dự phòng bồi thường,Dự phòng bồi thường,3.067.853.422.364,(1.723.730.681.705),1.344.122.740.659,3067853422364.0,-1723730681705.0,1344122740659.0
Dự phòng dao động lớn,Ngày 31 tháng 12 năm 2018 (trình bày lại) > Dự phòng dao động lớn,Dự phòng dao động lớn,71.732.780.035,-,71.732.780.035,71732780035.0,,71732780035.0
Dự phòng đảm bảo cân đối,Ngày 31 tháng 12 năm 2018 (trình bày lại) > Dự phòng đảm bảo cân đối,Dự phòng đảm bảo cân đối,31.183.891.186,-,31.183.891.186,31183891186.0,,31183891186.0
Tổng cộng,Ngày 31 tháng 12 năm 2018 (trình bày lại) > Tổng cộng,Tổng cộng,8.119.470.553.379,(3.342.805.536.725),4.776.665.016.654,8119470553379.0,-3342805536725.0,4776665016654.0
Ngày 31 tháng 12 năm 2019,Ngày 31 tháng 12 năm 2019,Ngày 31 tháng 12 năm 2019,Ngày 31 tháng 12 năm 2019,Ngày 31 tháng 12 năm 2019,Ngày 31 tháng 12 năm 2019,,,
Dự phòng phi chưa được hưởng,Ngày 31 tháng 12 năm 2019 > Dự phòng phi chưa được hưởng,Dự phòng phi chưa được hưởng,5.087.942.673.015,(1.701.325.224.944),3.386.617.448.071,5087942673015.0,-1701325224944.0,3386617448071.0
Dự phòng bồi thường,Ngày 31 tháng 12 năm 2019 > Dự phòng bồi thường,Dự phòng bồi thường,2.819.503.256.634,(1.340.049.750.169),1.479.453.506.465,2819503256634.0,-1340049750169.0,1479453506465.0
Dự phòng dao động lớn,Ngày 31 tháng 12 năm 2019 > Dự phòng dao động lớn,Dự phòng dao động lớn,42.564.972,-,42.564.972,42564972.0,,42564972.0
Tổng cộng,Ngày 31 tháng 12 năm 2019 > Tổng cộng,Tổng cộng,7.907.488.494.621,(3.041.374.975.113),4.866.113.519.508,7907488494621.0,-3041374975113.0,4866113519508.0
