row_label_raw,row_label_full,Các bên liên quan,Quan hệ,numeric__Quan hệ
Bộ Tài chính,Bộ Tài chính,Bộ Tài chính,Cổ đông sáng lập,
SCIC,SCIC,SCIC,Cổ đông sáng lập,
Sumitomo Life,Sumitomo Life,Sumitomo Life,Cổ đông chiến lược,
Bảo Việt Tokio Marine,Bảo Việt Tokio Marine,Bảo Việt Tokio Marine,Công ty liên doanh,
Bảo Việt Bank,Bảo Việt Bank,Bảo Việt Bank,Công ty liên kết,
Bảo Việt SCIC,Bảo Việt SCIC,Bảo Việt SCIC,Công ty liên kết,
Long Việt,Long Việt,Long Việt,Công ty liên kết,
Trung Nam Phú Quốc,Trung Nam Phú Quốc,Trung Nam Phú Quốc,Công ty liên kết,
PLT,PLT,PLT,Công ty liên kết,
Hòn Tầm Biển Nha Trang,Hòn Tầm Biển Nha Trang,Hòn Tầm Biển Nha Trang,Công ty liên kết,
Công ty Cổ phần Đầu tư và Xây dựng Quốc Tế VIGEBA,Công ty Cổ phần Đầu tư và Xây dựng Quốc Tế VIGEBA,Công ty Cổ phần Đầu tư và Xây dựng Quốc Tế VIGEBA,Công ty liên kết,
