row_label_raw,row_label_full,Các bên liên quan,Giao dịch,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019 VND,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018 VND,numeric__Giao dịch,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019 VND,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018 VND
Cổ đông sáng lập,Cổ đông sáng lập,Cổ đông sáng lập,Cổ đông sáng lập,Cổ đông sáng lập,Cổ đông sáng lập,,,
Bộ Tài chính,Cổ đông sáng lập > Bộ Tài chính,Bộ Tài chính,Cổ tức đã trả,(482.509.800.000),(482.509.800.000),,-482509800000.0,-482509800000.0
SCIC,Cổ đông sáng lập > SCIC,SCIC,Cổ tức đã trả,(22.154.400.000),(22.154.400.000),,-22154400000.0,-22154400000.0
Cổ đông chiến lược,Cổ đông chiến lược,Cổ đông chiến lược,Cổ đông chiến lược,Cổ đông chiến lược,Cổ đông chiến lược,,,
Sumitomo Life,Cổ đông chiến lược > Sumitomo Life,Sumitomo Life,Tiền mua cổ phiếu phát hành riêng lẻ để tăng vốn điều lệ,4.011.741.161.610,-,,4011741161610.0,
Sumitomo Life,Cổ đông chiến lược > Sumitomo Life,Sumitomo Life,Cổ tức đã trả,(122.509.091.000),(122.509.091.000),,-122509091000.0,-122509091000.0
Sumitomo Life,Cổ đông chiến lược > Sumitomo Life,Sumitomo Life,Doanh thu cho thuê văn phòng,577.039.680,577.039.680,,577039680.0,577039680.0
Sumitomo Life,Cổ đông chiến lược > Sumitomo Life,Sumitomo Life,Chi phí dự án Hỗ trợ và Chuyển giao Năng lực Kỹ thuật,(3.853.171.523),(4.820.964.932),,-3853171523.0,-4820964932.0
"Công ty liên doanh, liên kết","Công ty liên doanh, liên kết","Công ty liên doanh, liên kết","Công ty liên doanh, liên kết","Công ty liên doanh, liên kết","Công ty liên doanh, liên kết",,,
Bảo Việt Tokio Marine,"Công ty liên doanh, liên kết > Bảo Việt Tokio Marine",Bảo Việt Tokio Marine,Cổ tức được chia,21.600.874.075,60.875.250.192,,21600874075.0,60875250192.0
Bảo Việt Resort,"Công ty liên doanh, liên kết > Bảo Việt Resort",Bảo Việt Resort,Cổ tức ưu đãi được chia,-,1.668.528.370,,,1668528370.0
Bảo Việt Bank,"Công ty liên doanh, liên kết > Bảo Việt Bank",Bảo Việt Bank,Cổ tức nhận được chia,-,46.800.000.000,,,46800000000.0
Bảo Việt Bank,"Công ty liên doanh, liên kết > Bảo Việt Bank",Bảo Việt Bank,Doanh thu dịch vụ CNTT,3.508.950.418,3.695.237.047,,3508950418.0,3695237047.0
Bảo Việt Bank,"Công ty liên doanh, liên kết > Bảo Việt Bank",Bảo Việt Bank,Doanh thu lãi tiền gửi,579.037.972.781,483.495.122.857,,579037972781.0,483495122857.0
Bảo Việt Bank,"Công ty liên doanh, liên kết > Bảo Việt Bank",Bảo Việt Bank,Doanh thu lãi trái phiếu,110.779.290.061,110.495.680.093,,110779290061.0,110495680093.0
Bảo Việt Bank,"Công ty liên doanh, liên kết > Bảo Việt Bank",Bảo Việt Bank,"Doanh thu cho thuê trụ sở làm việc, phí quản lý toa nhà, phí giữ xe",8.295.462.723,7.275.987.025,,8295462723.0,7275987025.0
Bảo Việt Bank,"Công ty liên doanh, liên kết > Bảo Việt Bank",Bảo Việt Bank,"Chi phí repo, lãi trái phiếu phát hành và lãi vay",(50.997.717.264),(157.726.107.986),,-50997717264.0,-157726107986.0
VIGEBA,"Công ty liên doanh, liên kết > VIGEBA",VIGEBA,Cổ tức được chia,-,2.700.000.000,,,2700000000.0
