row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018 (trình bày lại),numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018 (trình bày lại)
32,32,32,Chi khác hoạt động bảo hiểm gốc\( (32 = 33 + 34 + 35) \),,(6.436.490.147.863),(6.259.395.475.933),,,-6436490147863.0,-6259395475933.0
33,33,33,Chi hoa hồng,,(2.989.068.074.142),(2.781.772.001.213),,,-2989068074142.0,-2781772001213.0
34,34,34,Chi phí bán hàng,30,(1.698.659.395.263),(1.697.627.352.951),,30.0,-1698659395263.0,-1697627352951.0
35,35,35,Chi khác hoạt động kinh doanh bảo hiểm,31,(1.748.762.678.458),(1.779.996.121.769),,31.0,-1748762678458.0,-1779996121769.0
41,41,41,Tổng chi trực tiếp hoạt động kinh doanh bảo hiểm \( (41 = 29 + 30 + 31 + 32) \),,(34.074.231.646.602),(31.681.283.149.912),,,-34074231646602.0,-31681283149912.0
42,42,42,Lỗ gộp hoạt động kinh doanh bảo hiểm\( (42 = 15 + 41) \),,(765.095.559.422),(2.617.798.582.318),,,-765095559422.0,-2617798582318.0
43.1,43.1,43.1,Doanh thu hoạt động khác,,336.730.885.525,325.992.502.879,,,336730885525.0,325992502879.0
43.2,43.2,43.2,Chi phí hoạt động khác,,(340.737.730.666),(299.188.958.939),,,-340737730666.0,-299188958939.0
43,43,43,(Lỗ)/ thu nhập thuần từ các hoạt động khác\( (43 = 43.1 + 43.2) \),32,(4.006.845.141),26.803.543.940,,32.0,-4006845141.0,26803543940.0
44.1,44.1,44.1,Doanh thu hoạt động tài chính,33.1,7.870.747.650.846,9.043.798.954.353,,331.0,7870747650846.0,9043798954353.0
44.2,44.2,44.2,Chi phí hoạt động tài chính,33.2,(2.184.189.260.231),(1.696.261.788.194),,332.0,-2184189260231.0,-1696261788194.0
44,44,44,Lợi nhuận hoạt động tài chính\( (44 = 44.1 + 44.2) \),,5.686.558.390.615,7.347.537.166.159,,,5686558390615.0,7347537166159.0
45,45,45,"Phần lợi nhuận trong công ty liên kết, đơn vị kinh doanh đồng kiểm soát",15.3.1,107.754.257.916,101.482.739.886,,1531.0,107754257916.0,101482739886.0
46,46,46,Chi phí quản lý doanh nghiệp,34,(3.517.026.355.581),(3.458.775.577.778),,34.0,-3517026355581.0,-3458775577778.0
47.1,47.1,47.1,Thu nhập khác,,6.636.310.988,35.658.453.562,,,6636310988.0,35658453562.0
47.2,47.2,47.2,Chi phí khác,,(3.092.014.766),(12.958.782.047),,,-3092014766.0,-12958782047.0
47,47,47,Lợi nhuận khác \( (47 = 47.1 + 47.2) \),35,3.544.296.222,22.699.671.515,,35.0,3544296222.0,22699671515.0
50,50,50,TỔNG LỢI NHUẬN KẾ TOÁN TRƯỚC THUẾ\( (50 = 42 + 43 + 44 + 45 + 46 + 47) \),,1.511.728.184.609,1.421.948.961.404,,,1511728184609.0,1421948961404.0
51,51,51,Chi phí thuế thu nhập doanh nghiệp hiện hành,17.1,(269.693.437.322),(238.194.871.758),,171.0,-269693437322.0,-238194871758.0
52,52,52,Thu nhập/ (chi phí) thuế thu nhập doanh nghiệp hoãn lại,17.2,669.872.295,(9.245.873.481),,172.0,669872295.0,-9245873481.0
