row_label_raw,row_label_full,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018(Trình bày lại),Bảo hiểm nhân thọ,Bảo hiểm phi nhân thọ,Hoạt độngtài chính,Hoạt động bắtđộng sản vàhoạt động khác,Các bút toánđiều chính hợpnhất,Tổng,numeric__Bảo hiểm nhân thọ,numeric__Bảo hiểm phi nhân thọ,numeric__Hoạt độngtài chính,numeric__Hoạt động bắtđộng sản vàhoạt động khác,numeric__Các bút toánđiều chính hợpnhất,numeric__Tổng
Doanh thu phí bảo hiểm,Doanh thu phí bảo hiểm,Doanh thu phí bảo hiểm,21.484.116,9.380.805,-,-,(114),30.864.807,21484116.0,9380805.0,,,-114.0,30864807.0
Phi nhượng tái bảo hiểm,Phi nhượng tái bảo hiểm,Phi nhượng tái bảo hiểm,(12.385),(2.524.821),-,-,-,(2.537.206),-12385.0,-2524821.0,,,,-2537206.0
Hoa hồng nhượng tái bảo hiểm và doanh thu khác hoạtđộng kinh doanh bảo hiểm,Hoa hồng nhượng tái bảo hiểm và doanh thu khác hoạtđộng kinh doanh bảo hiểm,Hoa hồng nhượng tái bảo hiểm và doanh thu khác hoạtđộng kinh doanh bảo hiểm,823,738.208,-,-,(3.148),735.883,823.0,738208.0,,,-3148.0,735883.0
Doanh thu thuần hoạt động kinh doanh bảo hiểm,Doanh thu thuần hoạt động kinh doanh bảo hiểm,Doanh thu thuần hoạt động kinh doanh bảo hiểm,21.472.554,7.594.192,-,-,(3.262),29.063.484,21472554.0,7594192.0,,,-3262.0,29063484.0
Chi bồi thường bảo hiểm gốc và chi trả đáo hạn,Chi bồi thường bảo hiểm gốc và chi trả đáo hạn,Chi bồi thường bảo hiểm gốc và chi trả đáo hạn,(6.009.110),(5.420.981),-,-,-,(11.430.091),-6009110.0,-5420981.0,,,,-11430091.0
Chi bồi thường nhận tái bảo hiểm,Chi bồi thường nhận tái bảo hiểm,Chi bồi thường nhận tái bảo hiểm,-,(207.609),-,-,-,(207.609),,-207609.0,,,,-207609.0
Các khoản thu giảm trừ chi phí,Các khoản thu giảm trừ chi phí,Các khoản thu giảm trừ chi phí,-,11.571,-,-,-,11.571,,11571.0,,,,11571.0
Thu bồi thường nhượng tái bảo hiểm,Thu bồi thường nhượng tái bảo hiểm,Thu bồi thường nhượng tái bảo hiểm,4.536,1.848.400,-,-,-,1.852.936,4536.0,1848400.0,,,,1852936.0
Tăng dự phòng nghiệp vụ bảo hiểm gốc,Tăng dự phòng nghiệp vụ bảo hiểm gốc,Tăng dự phòng nghiệp vụ bảo hiểm gốc,(14.263.601),(31.184),-,-,-,(14.294.785),-14263601.0,-31184.0,,,,-14294785.0
Tăng dự phòng lãi cam kết đầu tư tối thiểu,Tăng dự phòng lãi cam kết đầu tư tối thiểu,Tăng dự phòng lãi cam kết đầu tư tối thiểu,(963.718),-,-,-,-,(963.718),-963718.0,,,,,-963718.0
Tăng dự phòng bồi thường bảo hiểm gốc và nhận tảibảo hiểm,Tăng dự phòng bồi thường bảo hiểm gốc và nhận tảibảo hiểm,Tăng dự phòng bồi thường bảo hiểm gốc và nhận tảibảo hiểm,(12.592),(684.499),-,-,-,(697.091),-12592.0,-684499.0,,,,-697091.0
Tăng dự phòng bồi thường nhượng tái bảo hiểm,Tăng dự phòng bồi thường nhượng tái bảo hiểm,Tăng dự phòng bồi thường nhượng tái bảo hiểm,-,355.462,-,-,-,355.462,,355462.0,,,,355462.0
Trích dự phòng dao động lớn,Trích dự phòng dao động lớn,Trích dự phòng dao động lớn,-,(138.745),-,-,-,(138.745),,-138745.0,,,,-138745.0
Chi bồi thường từ quỹ dự phòng dao động lớn,Chi bồi thường từ quỹ dự phòng dao động lớn,Chi bồi thường từ quỹ dự phòng dao động lớn,-,90.184,-,-,-,90.184,,90184.0,,,,90184.0
Chi khác hoạt động kinh doanh bảo hiểm,Chi khác hoạt động kinh doanh bảo hiểm,Chi khác hoạt động kinh doanh bảo hiểm,(1.817.275),(2.814.121),-,-,69.627,(4.561.769),-1817275.0,-2814121.0,,,69627.0,-4561769.0
Tổng chi phí trực tiếp hoạt động kinh doanh bảo hiểm,Tổng chi phí trực tiếp hoạt động kinh doanh bảo hiểm,Tổng chi phí trực tiếp hoạt động kinh doanh bảo hiểm,(23.061.760),(6.991.522),-,-,69.627,(29.983.655),-23061760.0,-6991522.0,,,69627.0,-29983655.0
Thu nhập thuần từ các hoạt động khác,Thu nhập thuần từ các hoạt động khác,Thu nhập thuần từ các hoạt động khác,-,-,342.330,16.546,(332.073),26.803,,,342330.0,16546.0,-332073.0,26803.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,(1.697.627),-,-,-,-,(1.697.627),-1697627.0,,,,,-1697627.0
Chi phi quản lý doanh nghiệp,Chi phi quản lý doanh nghiệp,Chi phi quản lý doanh nghiệp,(2.011.989),(1.064.340),(541.798),(20.306),179.657,(3.458.776),-2011989.0,-1064340.0,-541798.0,-20306.0,179657.0,-3458776.0
Lợi nhuận hoạt động tài chính,Lợi nhuận hoạt động tài chính,Lợi nhuận hoạt động tài chính,6.222.350,561.749,1.513.451,5.373,(955.386),7.347.537,6222350.0,561749.0,1513451.0,5373.0,-955386.0,7347537.0
Lợi nhuận khác,Lợi nhuận khác,Lợi nhuận khác,32.852,3.940,(359),5.290,(19.023),22.700,32852.0,3940.0,-359.0,5290.0,-19023.0,22700.0
"Phần lợi nhuận trong công ty liên doanh, liên kết","Phần lợi nhuận trong công ty liên doanh, liên kết","Phần lợi nhuận trong công ty liên doanh, liên kết",-,-,-,-,101.483,101.483,,,,,101483.0,101483.0
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,956.380,104.019,1.313.624,6.903,(958.977),1.421.949,956380.0,104019.0,1313624.0,6903.0,-958977.0,1421949.0
