row_label_raw,row_label_full,col_0,Dư phòng toán học VND,Dư phòng phí chưa được hưởng VND,Dư phòng bồi thường VND,Dư phòng chia lãi VND,Dư phòng lãi cam kết đầu tư tối thiểu VND,Dư phòng đảm bảo cân đối VND,Dư phòng dao động lớn VND,Tổng công VND,numeric__Dư phòng toán học VND,numeric__Dư phòng phí chưa được hưởng VND,numeric__Dư phòng bồi thường VND,numeric__Dư phòng chia lãi VND,numeric__Dư phòng lãi cam kết đầu tư tối thiểu VND,numeric__Dư phòng đảm bảo cân đối VND,numeric__Dư phòng dao động lớn VND,numeric__Tổng công VND
Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,,,,,,,,
Ngày 31 tháng 12 năm 2018,Bảo hiểm nhân thọ > Ngày 31 tháng 12 năm 2018,Ngày 31 tháng 12 năm 2018,60.315.141.673.392,158.039.095.755,40.219.163.495,1.579.155.162.552,963.717.898.004,84.492.660.283,-,63.140.765.653.481,60315141673392.0,158039095755.0,40219163495.0,1579155162552.0,963717898004.0,84492660283.0,,63140765653481.0
Thay đổi trong năm,Bảo hiểm nhân thọ > Thay đổi trong năm,Thay đổi trong năm,15.231.541.739.213,23.304.313.290,58.958.891.146,234.467.860.898,164.911.468.425,11.155.740.497,-,15.724.340.013.469,15231541739213.0,23304313290.0,58958891146.0,234467860898.0,164911468425.0,11155740497.0,,15724340013469.0
Ngày 31 tháng 12 năm 2019,Bảo hiểm nhân thọ > Ngày 31 tháng 12 năm 2019,Ngày 31 tháng 12 năm 2019,75.546.683.412.605,181.343.409.045,99.178.054.641,1.813.623.023.450,1.128.629.366.429,95.648.400.780,-,78.865.105.666.950,75546683412605.0,181343409045.0,99178054641.0,1813623023450.0,1128629366429.0,95648400780.0,,78865105666950.0
Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,,,,,,,,
Ngày 31 tháng 12 năm 2018(trình bày lại),Bảo hiểm phi nhân thọ > Ngày 31 tháng 12 năm 2018(trình bày lại),Ngày 31 tháng 12 năm 2018(trình bày lại),-,4.948.700.459.794,3.067.853.422.364,-,-,31.183.891.186,71.732.780.035,8.119.470.553.379,,4948700459794.0,3067853422364.0,,,31183891186.0,71732780035.0,8119470553379.0
Thay đổi trong năm,Bảo hiểm phi nhân thọ > Thay đổi trong năm,Thay đổi trong năm,-,139.242.213.221,(248.350.165.730),-,-,(31.183.891.186),(71.690.215.063),(211.982.058.758),,139242213221.0,-248350165730.0,,,-31183891186.0,-71690215063.0,-211982058758.0
Ngày 31 tháng 12 năm 2019,Bảo hiểm phi nhân thọ > Ngày 31 tháng 12 năm 2019,Ngày 31 tháng 12 năm 2019,-,5.087.942.673.015,2.819.503.256.634,-,-,-,42.564.972,7.907.488.494.621,,5087942673015.0,2819503256634.0,,,,42564972.0,7907488494621.0
Ngày 31 tháng 12 năm 2018(trình bày lại),Bảo hiểm phi nhân thọ > Ngày 31 tháng 12 năm 2018(trình bày lại),Ngày 31 tháng 12 năm 2018(trình bày lại),60.315.141.673.392,5.106.739.555.549,3.108.072.585.859,1.579.155.162.552,963.717.898.004,115.676.551.469,71.732.780.035,71.260.236.206.860,60315141673392.0,5106739555549.0,3108072585859.0,1579155162552.0,963717898004.0,115676551469.0,71732780035.0,71260236206860.0
Thay đổi trong năm,Bảo hiểm phi nhân thọ > Thay đổi trong năm,Thay đổi trong năm,15.231.541.739.213,162.546.526.511,(189.391.274.584),234.467.860.898,164.911.468.425,(20.028.150.689),(71.690.215.063),15.512.357.954.711,15231541739213.0,162546526511.0,-189391274584.0,234467860898.0,164911468425.0,-20028150689.0,-71690215063.0,15512357954711.0
Ngày 31 tháng 12 năm 2019,Bảo hiểm phi nhân thọ > Ngày 31 tháng 12 năm 2019,Ngày 31 tháng 12 năm 2019,75.546.683.412.605,5.269.286.082.060,2.918.681.311.275,1.813.623.023.450,1.128.629.366.429,95.648.400.780,42.564.972,86.772.594.161.571,75546683412605.0,5269286082060.0,2918681311275.0,1813623023450.0,1128629366429.0,95648400780.0,42564972.0,86772594161571.0
