row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2019VND,Ngày 31 tháng 12năm 2018(trình bày lại)VND,numeric__Ngày 31 tháng 12năm 2019VND,numeric__Ngày 31 tháng 12năm 2018(trình bày lại)VND
Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,,
Trả trước tiền thuê văn phòng,Chi phí trả trước ngắn hạn > Trả trước tiền thuê văn phòng,Trả trước tiền thuê văn phòng,11.752.792.909,17.898.938.940,11752792909.0,17898938940.0
"Chi phí công cụ, dụng cụ, bảo hành","Chi phí trả trước ngắn hạn > Chi phí công cụ, dụng cụ, bảo hành","Chi phí công cụ, dụng cụ, bảo hành",10.775.409.794,17.069.358.094,10775409794.0,17069358094.0
Chi phí khác,Chi phí trả trước ngắn hạn > Chi phí khác,Chi phí khác,10.533.173.409,21.374.780.824,10533173409.0,21374780824.0
,,,33.061.376.112,56.343.077.858,33061376112.0,56343077858.0
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,,
Trả trước tiền thuê văn phòng,Chi phí trả trước dài hạn > Trả trước tiền thuê văn phòng,Trả trước tiền thuê văn phòng,202.126.672.290,280.706.303.348,202126672290.0,280706303348.0
Cải tạo thiết bị nội thất,Chi phí trả trước dài hạn > Cải tạo thiết bị nội thất,Cải tạo thiết bị nội thất,27.078.793.964,20.177.403.494,27078793964.0,20177403494.0
"Chi phí công cụ, dụng cụ, bảo hành","Chi phí trả trước dài hạn > Chi phí công cụ, dụng cụ, bảo hành","Chi phí công cụ, dụng cụ, bảo hành",37.603.926.140,45.496.520.367,37603926140.0,45496520367.0
Chi phí khác,Chi phí trả trước dài hạn > Chi phí khác,Chi phí khác,26.874.915.211,12.755.298.775,26874915211.0,12755298775.0
,,,293.684.307.605,359.135.525.984,293684307605.0,359135525984.0
,,,326.745.683.717,415.478.603.842,326745683717.0,415478603842.0
