row_label_raw,row_label_full,Mã số,TÀI SẢN,Thuyết minh,Ngày 31 tháng 12 năm 2019,Ngày 31 tháng 12 năm 2018 (Trình bày lại),numeric__TÀI SẢN,numeric__Thuyết minh,numeric__Ngày 31 tháng 12 năm 2019,numeric__Ngày 31 tháng 12 năm 2018 (Trình bày lại)
100,100,100,A. TÀI SẢN NGĂN HẠN,,79.755.413.497.351,69.335.209.024.327,,,79755413497351.0,69335209024327.0
110,110,110,I. Tiền và các khoản tương đương tiền,6,4.742.602.123.821,2.159.930.729.474,,6.0,4742602123821.0,2159930729474.0
111,111,111,1. Tiền,,3.543.802.123.821,1.766.730.729.467,,,3543802123821.0,1766730729467.0
112,112,112,2. Các khoản tương đương tiền,,1.198.800.000.000,393.200.000.007,,,1198800000000.0,393200000007.0
120,120,120,II. Đầu tư tài chính ngắn hạn,,63.081.067.015.771,55.405.024.269.544,,,63081067015771.0,55405024269544.0
121,121,121,1. Chứng khoán kinh doanh,15.1,2.831.287.386.102,3.204.241.878.513,,151.0,2831287386102.0,3204241878513.0
122,122,122,2. Dự phòng giảm giá chứng khoán kinh doanh,15.1,(262.206.190.001),(382.637.658.797),,151.0,-262206190001.0,-382637658797.0
123,123,123,3. Đầu tư nằm giữ đến ngày đáo hạn,15.2,60.511.985.819.670,52.583.420.049.828,,152.0,60511985819670.0,52583420049828.0
130,130,130,III. Các khoản phải thu ngắn hạn,7.1,8.066.123.022.982,7.580.187.867.688,,71.0,8066123022982.0,7580187867688.0
131,131,131,1. Phải thu ngắn hạn của khách hàng,,6.577.734.150.730,5.692.244.632.985,,,6577734150730.0,5692244632985.0
131.1,131.1,131.1,1.1 Phải thu về hoạt động bảo hiểm,,2.745.438.129.380,2.385.446.528.217,,,2745438129380.0,2385446528217.0
131.2,131.2,131.2,1.2 Phải thu về hoạt động đầu tư tài chính,,3.832.296.021.350,3.306.798.104.768,,,3832296021350.0,3306798104768.0
132,132,132,2. Trả trước cho người bán ngắn hạn,,51.656.014.873,36.678.295.400,,,51656014873.0,36678295400.0
135,135,135,3. Phải thu về cho vay ngắn hạn,,1.547.244.188.647,1.721.211.234.462,,,1547244188647.0,1721211234462.0
136,136,136,4. Phải thu ngắn hạn khác,,286.158.420.320,497.017.666.585,,,286158420320.0,497017666585.0
137,137,137,5. Dự phòng phải thu ngắn hạn khó đòi,,(396.839.857.273),(367.166.826.251),,,-396839857273.0,-367166826251.0
139,139,139,6. Tài sản thiếu chờ xử lý,,170.105.685,202.864.507,,,170105685.0,202864507.0
140,140,140,IV. Hàng tồn kho,8,126.357.485.890,148.925.878.756,,8.0,126357485890.0,148925878756.0
150,150,150,V. Tài sản ngắn hạn khác,,697.888.873.774,698.334.742.140,,,697888873774.0,698334742140.0
151,151,151,1. Chi phí trả trước ngắn hạn,,649.777.273.875,660.321.691.903,,,649777273875.0,660321691903.0
151.1,151.1,151.1,1.1 Chi phí hoa hồng chưa phân bổ,9,616.715.897.763,603.978.614.045,,9.0,616715897763.0,603978614045.0
151.2,151.2,151.2,1.2 Chi phí trả trước ngắn hạn khác,10,33.061.376.112,56.343.077.858,,10.0,33061376112.0,56343077858.0
152,152,152,2. Thuế GTGT được khấu trừ,,26.054.243.448,29.151.851.788,,,26054243448.0,29151851788.0
153,153,153,3. Thuế và các khoản phải thu Nhà nước,,5.535.648.167,-,,,5535648167.0,
155,155,155,4. Tài sản ngắn hạn khác,,16.521.708.284,8.861.198.449,,,16521708284.0,8861198449.0
190,190,190,VI. Tài sản tái bảo hiểm,,3.041.374.975.113,3.342.805.536.725,,,3041374975113.0,3342805536725.0
191,191,191,1. Dự phòng phí nhượng tái bảo hiểm,25,1.701.325.224.944,1.619.074.855.020,,25.0,1701325224944.0,1619074855020.0
192,192,192,2. Dự phòng bởi thường nhượng tái bảo hiểm,25,1.340.049.750.169,1.723.730.681.705,,25.0,1340049750169.0,1723730681705.0
