row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2019VND,Ngày 31 tháng 12năm 2018(trình bày lại)VND,numeric__Ngày 31 tháng 12năm 2019VND,numeric__Ngày 31 tháng 12năm 2018(trình bày lại)VND
Phải thu về hoạt động bảo hiểm,Phải thu về hoạt động bảo hiểm,Phải thu về hoạt động bảo hiểm,Phải thu về hoạt động bảo hiểm,Phải thu về hoạt động bảo hiểm,,
Phải thu hoạt động bảo hiểm gốc,Phải thu về hoạt động bảo hiểm > Phải thu hoạt động bảo hiểm gốc,Phải thu hoạt động bảo hiểm gốc,737.595.665.035,771.514.501.498,737595665035.0,771514501498.0
Phải thu hoạt động nhận tái bảo hiểm,Phải thu về hoạt động bảo hiểm > Phải thu hoạt động nhận tái bảo hiểm,Phải thu hoạt động nhận tái bảo hiểm,69.978.151.538,74.140.483.596,69978151538.0,74140483596.0
Phải thu hoạt động nhượng tái bảo hiểm,Phải thu về hoạt động bảo hiểm > Phải thu hoạt động nhượng tái bảo hiểm,Phải thu hoạt động nhượng tái bảo hiểm,839.651.801.686,660.822.918.286,839651801686.0,660822918286.0
Phải thu khác nhượng tái bảo hiểm,Phải thu về hoạt động bảo hiểm > Phải thu khác nhượng tái bảo hiểm,Phải thu khác nhượng tái bảo hiểm,863.121.225.969,638.054.906.950,863121225969.0,638054906950.0
Phải thu liên quan đến đồng bảo hiểm,Phải thu về hoạt động bảo hiểm > Phải thu liên quan đến đồng bảo hiểm,Phải thu liên quan đến đồng bảo hiểm,222.564.378.366,195.084.623.428,222564378366.0,195084623428.0
Phải thu khác hoạt động bảo hiểm,Phải thu về hoạt động bảo hiểm > Phải thu khác hoạt động bảo hiểm,Phải thu khác hoạt động bảo hiểm,12.526.906.786,45.829.094.459,12526906786.0,45829094459.0
,,,2.745.438.129.380,2.385.446.528.217,2745438129380.0,2385446528217.0
Phải thu về hoạt động đầu tư tài chính,Phải thu về hoạt động đầu tư tài chính,Phải thu về hoạt động đầu tư tài chính,Phải thu về hoạt động đầu tư tài chính,Phải thu về hoạt động đầu tư tài chính,,
Phải thu cổ tức,Phải thu về hoạt động đầu tư tài chính > Phải thu cổ tức,Phải thu cổ tức,3.967.889.500,25.668.635.400,3967889500.0,25668635400.0
Lãi tiền gửi ngân hàng,Phải thu về hoạt động đầu tư tài chính > Lãi tiền gửi ngân hàng,Lãi tiền gửi ngân hàng,2.283.302.096.980,1.558.413.087.260,2283302096980.0,1558413087260.0
Phải thu lãi trái phiếu,Phải thu về hoạt động đầu tư tài chính > Phải thu lãi trái phiếu,Phải thu lãi trái phiếu,1.315.107.395.898,1.514.236.085.335,1315107395898.0,1514236085335.0
Lãi phải thu liên quan đến tạm ứng từ giá trị hoàn lại,Phải thu về hoạt động đầu tư tài chính > Lãi phải thu liên quan đến tạm ứng từ giá trị hoàn lại,Lãi phải thu liên quan đến tạm ứng từ giá trị hoàn lại,200.678.299.618,207.992.844.718,200678299618.0,207992844718.0
Phải thu đầu tư khác,Phải thu về hoạt động đầu tư tài chính > Phải thu đầu tư khác,Phải thu đầu tư khác,29.240.339.354,487.452.055,29240339354.0,487452055.0
,,,3.832.296.021.350,3.306.798.104.768,3832296021350.0,3306798104768.0
Trả trước cho người bán ngắn hạn,Phải thu về hoạt động đầu tư tài chính > Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,51.656.014.873,36.678.295.400,51656014873.0,36678295400.0
Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,,
