row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018 (trình bày lại),numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018 (trình bày lại)
,,,I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,,,,,
01,01,01,Lợi nhuận trước thuế,,1.511.728.184.609,1.421.948.961.404,,,1511728184609.0,1421948961404.0
01,01,01,Điều chỉnh cho các khoản,,8.879.630.993.134,8.653.446.015.412,,,8879630993134.0,8653446015412.0
02,02,02,Khấu hao tài sản cố định hữu hình và bắt động sản đầu tư và hao mòn tài sản cố định vô hình,"11, 12",181.146.935.314,166.224.971.178,,,181146935314.0,166224971178.0
03,03,03,Các khoản dự phòng,,15.681.395.633.664,16.914.962.088.125,,,15681395633664.0,16914962088125.0
04,04,04,Lỗ/ (Lãi) chênh lệch tỉ giá hồi đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,,3.870.364.981,(12.679.979.897),,,3870364981.0,-12679979897.0
05,05,05,Lãi từ hoạt động đầu tư,,(7.969.281.795.376),(9.123.212.285.921),,,-7969281795376.0,-9123212285921.0
06,06,06,"Chi phí repo, lãi vay",,982.499.854.551,707.876.331.691,,,982499854551.0,707876331691.0
07,07,07,Các khoản điều chỉnh khác,,-,274.890.236,,,,274890236.0
08,08,08,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,,10.391.359.177.743,10.075.394.976.816,,,10391359177743.0,10075394976816.0
09,09,09,Tăng các khoản phải thu,,(109.801.140.574),(466.025.493.912),,,-109801140574.0,-466025493912.0
10,10,10,Giảm/ (Tăng) hàng tồn kho,,22.568.392.866,(4.353.472.400),,,22568392866.0,-4353472400.0
11,11,11,"(Giảm)/ Tăng các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",,(105.674.992.179),575.655.669.200,,,-105674992179.0,575655669200.0
12,12,12,Tăng chi phí trả trước,,(6.254.733.517),(766.375.849.699),,,-6254733517.0,-766375849699.0
13,13,13,Giảm/ (Tăng) chứng khoán kinh doanh,,372.954.492.411,(555.498.799.046),,,372954492411.0,-555498799046.0
14,14,14,Tiền lãi vay đã trả,,(959.276.338.523),(761.725.374.891),,,-959276338523.0,-761725374891.0
15,15,15,Thuế thu nhập doanh nghiệp đã nộp,17,(270.336.852.298),(271.433.425.584),,17.0,-270336852298.0,-271433425584.0
17,17,17,Tiền chi khác cho hoạt động kinh doanh,,(67.845.500.995),(122.565.089.026),,,-67845500995.0,-122565089026.0
20,20,20,Lưu chuyển tiền thuần từ hoạt động kinh doanh,,9.267.692.504.934,7.703.073.141.458,,,9267692504934.0,7703073141458.0
,,,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,,,,
21,21,21,"Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",,(223.164.104.120),(320.626.904.129),,,-223164104120.0,-320626904129.0
22,22,22,"Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",,919.029.273,12.515.592.640,,,919029273.0,12515592640.0
23,23,23,"Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",,(68.231.385.894.147),(73.801.135.626.747),,,-68231385894147.0,-73801135626747.0
24,24,24,"Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",,56.170.009.639.929,52.785.252.681.718,,,56170009639929.0,52785252681718.0
25,25,25,Tiền chi đầu tư góp vốn vào đơn vị khác,,(196.000.000.000),(11.148.620.000),,,-196000000000.0,-11148620000.0
26,26,26,Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,158.324.419.933,203.315.728.000,,,158324419933.0,203315728000.0
27,27,27,"Tiền thu lãi cho vay, cổ tức, lợi nhuận được chia và lãi bán các khoản đầu tư nằm giữ đến ngày đáo hạn",,7.198.647.190.833,8.344.270.760.791,,,7198647190833.0,8344270760791.0
30,30,30,Lưu chuyển tiền thuần sử dụng vào hoạt động đầu tư,,(5.122.649.718.299),(12.787.556.387.727),,,-5122649718299.0,-12787556387727.0
