row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócthiết bịVND,"Phương tiệnvận tải, thiết bịtruyền dẫnVND","Công cụ, dụng cụquản lýVND",Tài sảncó định khácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócthiết bịVND,"numeric__Phương tiệnvận tải, thiết bịtruyền dẫnVND","numeric__Công cụ, dụng cụquản lýVND",numeric__Tài sảncó định khácVND,numeric__Tổng cộngVND
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Vào ngày 31 tháng 12 năm2018 (trình bày lại),Nguyên giá: > Vào ngày 31 tháng 12 năm2018 (trình bày lại),Vào ngày 31 tháng 12 năm2018 (trình bày lại),1.138.232.911.123,192.789.876.555,498.492.926.425,287.401.462.656,4.006.689.913,2.120.923.866.672,1138232911123.0,192789876555.0,498492926425.0,287401462656.0,4006689913.0,2120923866672.0
- Mua sắm,Nguyên giá: > - Mua sắm,- Mua sắm,400.734.831,66.770.614.257,28.548.600.001,35.738.853.215,-,131.458.802.304,400734831.0,66770614257.0,28548600001.0,35738853215.0,,131458802304.0
- Đầu tư xây dựng cơbản hoàn thành,Nguyên giá: > - Đầu tư xây dựng cơbản hoàn thành,- Đầu tư xây dựng cơbản hoàn thành,18.641.445.229,-,-,5.698.448.000,-,24.339.893.229,18641445229.0,,,5698448000.0,,24339893229.0
- Phân loại lại,Nguyên giá: > - Phân loại lại,- Phân loại lại,(4.746.321.454),1.402.913.000,1.393.454.545,1.949.953.909,-,-,-4746321454.0,1402913000.0,1393454545.0,1949953909.0,,
- Điều chỉnh theo quyếttoán,Nguyên giá: > - Điều chỉnh theo quyếttoán,- Điều chỉnh theo quyếttoán,(3.620.898.562),427.657.055,19.561.000,81.514.000,-,(3.092.166.507),-3620898562.0,427657055.0,19561000.0,81514000.0,,-3092166507.0
"- Thanh lý, nhượng bán","Nguyên giá: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(133.818.182),(9.206.908.200),(4.766.826.464),(3.933.316.219),(154.471.088),(18.195.340.153),-133818182.0,-9206908200.0,-4766826464.0,-3933316219.0,-154471088.0,-18195340153.0
Vào ngày 31 tháng 12 năm2019,Nguyên giá: > Vào ngày 31 tháng 12 năm2019,Vào ngày 31 tháng 12 năm2019,1.148.774.052.985,252.184.152.667,523.687.715.507,326.936.915.561,3.852.218.825,2.255.435.055.545,1148774052985.0,252184152667.0,523687715507.0,326936915561.0,3852218825.0,2255435055545.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,,
Vào ngày 31 tháng 12 năm2018 (trình bày lại),Giá trị khấu hao lũy kế: > Vào ngày 31 tháng 12 năm2018 (trình bày lại),Vào ngày 31 tháng 12 năm2018 (trình bày lại),496.440.727.692,127.083.958.848,374.025.158.100,222.447.854.521,2.192.441.014,1.222.190.140.175,496440727692.0,127083958848.0,374025158100.0,222447854521.0,2192441014.0,1222190140175.0
- Khấu hao trong năm,Giá trị khấu hao lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,39.805.420.927,22.763.911.838,36.263.283.683,31.578.444.978,686.297.676,131.097.359.102,39805420927.0,22763911838.0,36263283683.0,31578444978.0,686297676.0,131097359102.0
"- Thanh lý, nhượng bán","Giá trị khấu hao lũy kế: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(133.818.182),(9.175.605.394),(4.766.826.464),(3.933.316.219),(154.471.088),(18.164.037.347),-133818182.0,-9175605394.0,-4766826464.0,-3933316219.0,-154471088.0,-18164037347.0
Vào ngày 31 tháng 12 năm2019,Giá trị khấu hao lũy kế: > Vào ngày 31 tháng 12 năm2019,Vào ngày 31 tháng 12 năm2019,536.112.330.437,140.672.265.292,405.521.615.319,250.092.983.280,2.724.267.602,1.335.123.461.930,536112330437.0,140672265292.0,405521615319.0,250092983280.0,2724267602.0,1335123461930.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Vào ngày 31 tháng 12 năm2018 (trình bày lại),Giá trị còn lại: > Vào ngày 31 tháng 12 năm2018 (trình bày lại),Vào ngày 31 tháng 12 năm2018 (trình bày lại),641.792.183.431,65.705.917.707,124.467.768.325,64.953.608.135,1.814.248.899,898.733.726.497,641792183431.0,65705917707.0,124467768325.0,64953608135.0,1814248899.0,898733726497.0
Vào ngày 31 tháng 12 năm2019,Giá trị còn lại: > Vào ngày 31 tháng 12 năm2019,Vào ngày 31 tháng 12 năm2019,612.661.722.548,111.511.887.375,118.166.100.188,76.843.932.281,1.127.951.223,920.311.593.615,612661722548.0,111511887375.0,118166100188.0,76843932281.0,1127951223.0,920311593615.0
