row_label_raw,row_label_full,col_0,Ngày 31 tháng 12 năm 2019 > Giá gốc,Ngày 31 tháng 12 năm 2019 > Giá trị thuần,Ngày 31 tháng 12 năm 2019 > Dư phòng,Ngày 31 tháng 12 năm 2018(trình bày lại) > Giá gốc,Ngày 31 tháng 12 năm 2018(trình bày lại) > Giá trị thuần,Ngày 31 tháng 12 năm 2018(trình bày lại) > Dư phòng,numeric__Ngày 31 tháng 12 năm 2019 > Giá gốc,numeric__Ngày 31 tháng 12 năm 2019 > Giá trị thuần,numeric__Ngày 31 tháng 12 năm 2019 > Dư phòng,numeric__Ngày 31 tháng 12 năm 2018(trình bày lại) > Giá gốc,numeric__Ngày 31 tháng 12 năm 2018(trình bày lại) > Giá trị thuần,numeric__Ngày 31 tháng 12 năm 2018(trình bày lại) > Dư phòng
Cổ phiếu niêm yết (*),Cổ phiếu niêm yết (*),Cổ phiếu niêm yết (*),Cổ phiếu niêm yết (*),Cổ phiếu niêm yết (*),Cổ phiếu niêm yết (*),Cổ phiếu niêm yết (*),Cổ phiếu niêm yết (*),Cổ phiếu niêm yết (*),,,,,,
Tổng Công ty Cổ phần Tài bảo hiểm Quốc gia Việt Nam,Cổ phiếu niêm yết (*) > Tổng Công ty Cổ phần Tài bảo hiểm Quốc gia Việt Nam,Tổng Công ty Cổ phần Tài bảo hiểm Quốc gia Việt Nam,265.979.803.260,230.903.200.000,(35.076.603.260),326.384.722.106,308.846.420.000,(17.538.302.106),265979803260.0,230903200000.0,-35076603260.0,326384722106.0,308846420000.0,-17538302106.0
Ngân hàng Thương mại Cổ phần Quản đội,Cổ phiếu niêm yết (*) > Ngân hàng Thương mại Cổ phần Quản đội,Ngân hàng Thương mại Cổ phần Quản đội,286.288.379.066,284.364.647.027,(1.923.732.039),314.913.851.083,303.676.007.348,(11.237.843.735),286288379066.0,284364647027.0,-1923732039.0,314913851083.0,303676007348.0,-11237843735.0
Tổng Công ty Điện lực Dầu khi Việt Nam,Cổ phiếu niêm yết (*) > Tổng Công ty Điện lực Dầu khi Việt Nam,Tổng Công ty Điện lực Dầu khi Việt Nam,187.054.804.911,141.382.424.500,(45.672.380.411),-,-,-,187054804911.0,141382424500.0,-45672380411.0,,,
Tổng công ty Viglacera,Cổ phiếu niêm yết (*) > Tổng công ty Viglacera,Tổng công ty Viglacera,265.670.160.664,249.522.400.000,(16.147.760.664),-,-,-,265670160664.0,249522400000.0,-16147760664.0,,,
Cổ phiếu niêm yết khác,Cổ phiếu niêm yết (*) > Cổ phiếu niêm yết khác,Cổ phiếu niêm yết khác,735.433.383.103,625.411.136.512,(110.022.246.591),1.282.273.117.968,1.045.753.271.527,(236.519.846.441),735433383103.0,625411136512.0,-110022246591.0,1282273117968.0,1045753271527.0,-236519846441.0
,,,1.740.426.531.004,1.531.583.808.039,(208.842.722.965),1.923.571.691.157,1.658.275.698.875,(265.295.992.282),1740426531004.0,1531583808039.0,-208842722965.0,1923571691157.0,1658275698875.0,-265295992282.0
Cổ phiếu chưa niêm yết (*),Cổ phiếu chưa niêm yết (*),Cổ phiếu chưa niêm yết (*),Cổ phiếu chưa niêm yết (*),Cổ phiếu chưa niêm yết (*),Cổ phiếu chưa niêm yết (*),Cổ phiếu chưa niêm yết (*),Cổ phiếu chưa niêm yết (*),Cổ phiếu chưa niêm yết (*),,,,,,
Tổng Công ty Xây dựng số 1,Cổ phiếu chưa niêm yết (*) > Tổng Công ty Xây dựng số 1,Tổng Công ty Xây dựng số 1,118.863.045.654,117.895.445.654,(967.600.000),-,-,-,118863045654.0,117895445654.0,-967600000.0,,,
Công ty Cổ phần Đầu tư Phát triển điện Miền Bắc 2,Cổ phiếu chưa niêm yết (*) > Công ty Cổ phần Đầu tư Phát triển điện Miền Bắc 2,Công ty Cổ phần Đầu tư Phát triển điện Miền Bắc 2,107.663.783.440,107.663.783.440,-,107.663.783.440,100.172.367.020,(7.491.416.420),107663783440.0,107663783440.0,,107663783440.0,100172367020.0,-7491416420.0
Tập đoàn Công nghiệp Cao su Việt Nam,Cổ phiếu chưa niêm yết (*) > Tập đoàn Công nghiệp Cao su Việt Nam,Tập đoàn Công nghiệp Cao su Việt Nam,98.369.724.687,98.369.724.687,-,130.000.000.000,103.000.000.000,(27.000.000.000),98369724687.0,98369724687.0,,130000000000.0,103000000000.0,-27000000000.0
Cổ phiếu chưa niêm yết khác,Cổ phiếu chưa niêm yết (*) > Cổ phiếu chưa niêm yết khác,Cổ phiếu chưa niêm yết khác,269.324.802.063,217.370.392.076,(51.954.409.987),655.892.226.640,574.380.761.939,(81.511.464.701),269324802063.0,217370392076.0,-51954409987.0,655892226640.0,574380761939.0,-81511464701.0
