row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2019VND,Ngày 31 tháng 12năm 2018(trình này lại)VND,numeric__Ngày 31 tháng 12năm 2019VND,numeric__Ngày 31 tháng 12năm 2018(trình này lại)VND
Hoạt động bảo hiểm,Hoạt động bảo hiểm,Hoạt động bảo hiểm,Hoạt động bảo hiểm,Hoạt động bảo hiểm,,
Bảo hiểm nhân thọ,Hoạt động bảo hiểm > Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,105.010.691.324,28.053.464.446,105010691324.0,28053464446.0
Bảo hiểm phi nhân thọ,Hoạt động bảo hiểm > Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,91.637.233.576,89.502.754.723,91637233576.0,89502754723.0
,,,196.647.924.900,117.556.219.169,196647924900.0,117556219169.0
Hoạt động tài chính,Hoạt động tài chính,Hoạt động tài chính,Hoạt động tài chính,Hoạt động tài chính,,
Lãi tiền gửi nhận trước,Hoạt động tài chính > Lãi tiền gửi nhận trước,Lãi tiền gửi nhận trước,2.282.572.047,2.282.572.047,2282572047.0,2282572047.0
,,,2.282.572.047,2.282.572.047,2282572047.0,2282572047.0
Hoạt động khác,Hoạt động khác,Hoạt động khác,Hoạt động khác,Hoạt động khác,,
Hoạt động quản lý bất động sản,Hoạt động khác > Hoạt động quản lý bất động sản,Hoạt động quản lý bất động sản,4.452.156.237,1.101.756.722,4452156237.0,1101756722.0
Doanh thu đào tạo nhận trước,Hoạt động khác > Doanh thu đào tạo nhận trước,Doanh thu đào tạo nhận trước,284.916.079,296.736.687,284916079.0,296736687.0
,,,4.737.072.316,1.398.493.409,4737072316.0,1398493409.0
,,,203.667.569.263,121.237.284.625,203667569263.0,121237284625.0
