row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2019VND,Ngày 31 tháng 12năm 2018(trình bày lại)VND,numeric__Ngày 31 tháng 12năm 2019VND,numeric__Ngày 31 tháng 12năm 2018(trình bày lại)VND
Phải trả hoạt động bảo hiểm,Phải trả hoạt động bảo hiểm,Phải trả hoạt động bảo hiểm,Phải trả hoạt động bảo hiểm,Phải trả hoạt động bảo hiểm,,
Bảo hiểm nhân thọ,Phải trả hoạt động bảo hiểm > Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,662.829.560.015,587.435.555.143,662829560015.0,587435555143.0
Phải trả bồi thường và trả tiền bảo hiểm,Phải trả hoạt động bảo hiểm > Phải trả bồi thường và trả tiền bảo hiểm,Phải trả bồi thường và trả tiền bảo hiểm,92.507.297.518,75.462.895.705,92507297518.0,75462895705.0
Phải trả thu nhập đại lý,Phải trả hoạt động bảo hiểm > Phải trả thu nhập đại lý,Phải trả thu nhập đại lý,556.899.566.147,493.473.718.038,556899566147.0,493473718038.0
Lãi phải trả cho chủ hợp đồng,Phải trả hoạt động bảo hiểm > Lãi phải trả cho chủ hợp đồng,Lãi phải trả cho chủ hợp đồng,13.422.696.350,18.498.941.400,13422696350.0,18498941400.0
Bảo hiểm phi nhân thọ,Phải trả hoạt động bảo hiểm > Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,2.585.223.560.703,1.869.990.805.218,2585223560703.0,1869990805218.0
Phải trả hoa hồng bảo hiểm,Phải trả hoạt động bảo hiểm > Phải trả hoa hồng bảo hiểm,Phải trả hoa hồng bảo hiểm,111.766.498.311,113.699.750.428,111766498311.0,113699750428.0
Phải trả hoạt động bảo hiểm gốc phi nhân thọ,Phải trả hoạt động bảo hiểm > Phải trả hoạt động bảo hiểm gốc phi nhân thọ,Phải trả hoạt động bảo hiểm gốc phi nhân thọ,428.595.156.790,287.014.442.971,428595156790.0,287014442971.0
Phải trả nhận tái bảo hiểm phi nhân thọ,Phải trả hoạt động bảo hiểm > Phải trả nhận tái bảo hiểm phi nhân thọ,Phải trả nhận tái bảo hiểm phi nhân thọ,77.652.674.356,73.625.954.984,77652674356.0,73625954984.0
Phải trả nhượng tái bảo hiểm phi nhân thọ,Phải trả hoạt động bảo hiểm > Phải trả nhượng tái bảo hiểm phi nhân thọ,Phải trả nhượng tái bảo hiểm phi nhân thọ,1.857.257.308.698,1.240.690.543.450,1857257308698.0,1240690543450.0
Phải trả đồng bảo hiểm,Phải trả hoạt động bảo hiểm > Phải trả đồng bảo hiểm,Phải trả đồng bảo hiểm,109.951.922.548,154.960.113.385,109951922548.0,154960113385.0
,,,3.248.053.120.718,2.457.426.360.361,3248053120718.0,2457426360361.0
Phải trả hoạt động tài chính,Phải trả hoạt động tài chính,Phải trả hoạt động tài chính,Phải trả hoạt động tài chính,Phải trả hoạt động tài chính,,
Phải trả mua chứng khoán,Phải trả hoạt động tài chính > Phải trả mua chứng khoán,Phải trả mua chứng khoán,7.862.957.608,-,7862957608.0,
,,,7.862.957.608,-,7862957608.0,
Phải trả người bán và nhà cung cấp dịch vụ,Phải trả người bán và nhà cung cấp dịch vụ,Phải trả người bán và nhà cung cấp dịch vụ,Phải trả người bán và nhà cung cấp dịch vụ,Phải trả người bán và nhà cung cấp dịch vụ,,
"Phải trả người bán, nhà cung cấp","Phải trả người bán và nhà cung cấp dịch vụ > Phải trả người bán, nhà cung cấp","Phải trả người bán, nhà cung cấp",37.563.151.464,140.625.380.831,37563151464.0,140625380831.0
Phải trả khác,Phải trả người bán và nhà cung cấp dịch vụ > Phải trả khác,Phải trả khác,552.249.553,1.858.989.890,552249553.0,1858989890.0
,,,38.115.401.017,142.484.370.721,38115401017.0,142484370721.0
,,,3.294.031.479.343,2.599.910.731.082,3294031479343.0,2599910731082.0
