row_label_raw,row_label_full,col_0,Vốn góp củachủ sở hữuVND,Thặng dưvốn cổ phầnVND,Chênh lệchty giá hối đoái (°)VND,Quỹ đầu tưphát triển vàđư phòng tài chínhVND,Quỹ khác thuộc vốnchủ sở hữu (**)VND,Lợi nhuậnsau thuếchưa phần phốiVND,Quỹ dự trữbắt buộc hoạt độngbảo hiểmVND,Lợi ích cổ đôngkhông kiểm soátVND,Tổng cộngVND,numeric__Vốn góp củachủ sở hữuVND,numeric__Thặng dưvốn cổ phầnVND,numeric__Chênh lệchty giá hối đoái (°)VND,numeric__Quỹ đầu tưphát triển vàđư phòng tài chínhVND,numeric__Quỹ khác thuộc vốnchủ sở hữu (**)VND,numeric__Lợi nhuậnsau thuếchưa phần phốiVND,numeric__Quỹ dự trữbắt buộc hoạt độngbảo hiểmVND,numeric__Lợi ích cổ đôngkhông kiểm soátVND,numeric__Tổng cộngVND
Tại ngày 1 tháng 1 năm2018,Tại ngày 1 tháng 1 năm2018,Tại ngày 1 tháng 1 năm2018,6.804.714.340.000,3.184.332.381.197,15.445.192.000,464.777.333.764,103.568.802.818,2.801.609.004.124(700.886.434.000),385.374.992.665,700.999.599.140,14.460.821.645.708(700.886.434.000),6804714340000.0,3184332381197.0,15445192000.0,464777333764.0,103568802818.0,,385374992665.0,700999599140.0,
Cổ tức chia cho cổ đông,Cổ tức chia cho cổ đông,Cổ tức chia cho cổ đông,-,-,-,-,-,(109.933.046.289),-,(2.443.207.134),(112.376.253.423),,,,,,-109933046289.0,,-2443207134.0,-112376253423.0
Trích quỹ khen thưởngphúc lợi,Trích quỹ khen thưởngphúc lợi,Trích quỹ khen thưởngphúc lợi,-,-,-,-,-,(38.048.025.748),-,-,(38.048.025.748),,,,,,-38048025748.0,,,-38048025748.0
Của công ty mẹ,Của công ty mẹ,Của công ty mẹ,-,-,-,-,-,(71.885.020.541),-,(2.443.207.134),(74.328.227.675),,,,,,-71885020541.0,,-2443207134.0,-74328227675.0
Của các công ty con,Của các công ty con,Của các công ty con,-,-,-,-,-,(22.469.994.299),-,-,(22.469.994.299),,,,,,-22469994299.0,,,-22469994299.0
Trích quỹ phục vụ hoạtđộng An sinh xã hội,Trích quỹ phục vụ hoạtđộng An sinh xã hội,Trích quỹ phục vụ hoạtđộng An sinh xã hội,-,-,-,-,-,(10.261.983.299),-,-,(10.261.983.299),,,,,,-10261983299.0,,,-10261983299.0
Của công ty mẹ,Của công ty mẹ,Của công ty mẹ,-,-,-,-,-,(12.208.011.000),-,-,(12.208.011.000),,,,,,-12208011000.0,,,-12208011000.0
Của các công ty con,Của các công ty con,Của các công ty con,-,-,-,-,-,(160.423.506.451),-,-,-,,,,,,-160423506451.0,,,
Trích lập quỹ đầu tư pháttrên,Trích lập quỹ đầu tư pháttrên,Trích lập quỹ đầu tư pháttrên,-,-,-,160.423.506.451,-,(153.929.749.490),-,-,-,,,,160423506451.0,,-153929749490.0,,,
Của công ty mẹ,Của công ty mẹ,Của công ty mẹ,-,-,-,153.929.749.490,-,(6.493.756.961),-,-,-,,,,153929749490.0,,-6493756961.0,,,
Của các công ty con,Của các công ty con,Của các công ty con,-,-,-,6.493.756.961,-,(160.423.506.451),-,-,-,,,,6493756961.0,,-160423506451.0,,,
"Tăng vốn theo chươngtrình lựa chọn cho ngườilao động (""ESOP"")","Tăng vốn theo chươngtrình lựa chọn cho ngườilao động (""ESOP"")","Tăng vốn theo chươngtrình lựa chọn cho ngườilao động (""ESOP"")",204.150.000.000,528.748.500.000,-,-,-,1.125.465.668.217,-,49.042.547.948,732.898.500.0001.174.508.216.165,204150000000.0,528748500000.0,,,,1125465668217.0,,49042547948.0,7.328985000001175e+24
Lợi nhuận tâng trong năm,Lợi nhuận tâng trong năm,Lợi nhuận tâng trong năm,-,-,-,-,-,(3.800.546.314),-,-,(3.800.546.314),,,,,,-3800546314.0,,,-3800546314.0
Chi trả thù lao Hội đồngQuản trị và Ban Kiểm soátcủa Tập đoàn và các Côngty con,Chi trả thù lao Hội đồngQuản trị và Ban Kiểm soátcủa Tập đoàn và các Côngty con,Chi trả thù lao Hội đồngQuản trị và Ban Kiểm soátcủa Tập đoàn và các Côngty con,-,-,-,5.862.771.218,-,(48.695.306.225),42.832.535.007,-,-,,,,5862771218.0,,-48695306225.0,42832535007.0,,
Trích lập các quỹ dự trữ,Trích lập các quỹ dự trữ,Trích lập các quỹ dự trữ,-,-,-,-,-,-,-,(10.000.000.000),(10.000.000.000),,,,,,,,-10000000000.0,-10000000000.0
Cổ tức chia cho cổ đôngkhông kiểm soát,Cổ tức chia cho cổ đôngkhông kiểm soát,Cổ tức chia cho cổ đôngkhông kiểm soát,-,-,-,-,-,1.824.349.985,-,(44.822.485.327),(42.723.245.106),,,,,,1824349985.0,,-44822485327.0,-42723245106.0
Giảm khác,Giảm khác,Giảm khác,-,-,-,274.890.236,-,-,-,-,-,,,,274890236.0,,,,,
Tại ngày 31 tháng 12 năm2018 (trình bày lại),Tại ngày 31 tháng 12 năm2018 (trình bày lại),Tại ngày 31 tháng 12 năm2018 (trình bày lại),7.008.864.340.000,3.713.080.881.197,15.445.192.000,631.338.501.669,103.568.802.818,2.882.690.188.748,428.207.527.672,692.776.454.627,15.475.971.888.731,7008864340000.0,3713080881197.0,15445192000.0,631338501669.0,103568802818.0,2882690188748.0,428207527672.0,692776454627.0,15475971888731.0
