row_label_raw,row_label_full,col_0,Thuyết minh,Ngày 31 tháng 12 năm 2019 VND,Ngày 31 tháng 12 năm 2018 (trình bày lại) VND,numeric__Thuyết minh,numeric__Ngày 31 tháng 12 năm 2019 VND,numeric__Ngày 31 tháng 12 năm 2018 (trình bày lại) VND
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,15.1,,,151.0,,
Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,,1.740.426.531.004,1.923.571.691.157,,1740426531004.0,1923571691157.0
Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,,594.221.355.844,893.556.010.080,,594221355844.0,893556010080.0
Chứng chỉ quỹ,Chứng chỉ quỹ,Chứng chỉ quỹ,,246.237.889.731,237.087.218.076,,246237889731.0,237087218076.0
Trái phiếu,Trái phiếu,Trái phiếu,,250.401.609.523,150.026.959.200,,250401609523.0,150026959200.0
,,,,2.831.287.386.102,3.204.241.878.513,,2831287386102.0,3204241878513.0
Dự phòng giảm giá chứng khoán kinh doanh,Dự phòng giảm giá chứng khoán kinh doanh,Dự phòng giảm giá chứng khoán kinh doanh,15.1,(262.206.190.001),(382.637.658.797),151.0,-262206190001.0,-382637658797.0
,,,,2.569.081.196.101,2.821.604.219.716,,2569081196101.0,2821604219716.0
Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,15.2,,,152.0,,
Ngắn hạn,Ngắn hạn,Ngắn hạn,,60.511.985.819.670,52.583.420.049.828,,60511985819670.0,52583420049828.0
- Tiến gửi,- Tiến gửi,- Tiến gửi,,58.471.060.404.237,51.120.258.719.740,,58471060404237.0,51120258719740.0
- Trái phiếu,- Trái phiếu,- Trái phiếu,,300.000.000.000,99.950.463.301,,300000000000.0,99950463301.0
- Tạm ứng từ giá trị hoàn lại,- Tạm ứng từ giá trị hoàn lại,- Tạm ứng từ giá trị hoàn lại,,1.740.925.415.433,1.363.210.866.787,,1740925415433.0,1363210866787.0
Dải hạn,Dải hạn,Dải hạn,,42.113.845.162.257,38.038.433.198.120,,42113845162257.0,38038433198120.0
- Tiến gửi,- Tiến gửi,- Tiến gửi,,10.028.466.854.640,5.319.101.717.666,,10028466854640.0,5319101717666.0
- Trái phiếu,- Trái phiếu,- Trái phiếu,,32.085.378.307.617,32.719.331.480.454,,32085378307617.0,32719331480454.0
,,,,102.625.830.981.927,90.621.853.247.948,,102625830981927.0,90621853247948.0
Đầu tư tài chính dài hạn khác,Đầu tư tài chính dài hạn khác,Đầu tư tài chính dài hạn khác,15.3,,,153.0,,
"Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết",15.3.1,2.848.523.110.118,2.627.105.701.528,1531.0,2848523110118.0,2627105701528.0
Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,15.3.2,928.533.355.221,387.705.861.221,1532.0,928533355221.0,387705861221.0
Dự phòng đầu tư tài chính dài hạn khác,Dự phòng đầu tư tài chính dài hạn khác,Dự phòng đầu tư tài chính dài hạn khác,15.3.2,(211.419.119.641),(46.573.466.214),1532.0,-211419119641.0,-46573466214.0
,,,,3.565.637.345.698,2.968.238.096.535,,3565637345698.0,2968238096535.0
Giá trị thuần các khoản đầu tư tài chính,Giá trị thuần các khoản đầu tư tài chính,Giá trị thuần các khoản đầu tư tài chính,,108.760.549.523.726,96.411.695.564.199,,108760549523726.0,96411695564199.0
