row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2019,Bảo hiểm nhân thọ,Bảo hiểm phi nhân thọ,Hoạt động tài chính,Hoạt động bắt động sản và hoạt động khác,Đơn vị: triệu đồngCác bút toán điều chỉnh hợp nhất,Tổng,numeric__Bảo hiểm nhân thọ,numeric__Bảo hiểm phi nhân thọ,numeric__Hoạt động tài chính,numeric__Hoạt động bắt động sản và hoạt động khác,numeric__Đơn vị: triệu đồngCác bút toán điều chỉnh hợp nhất,numeric__Tổng
TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,,,,,,,,,
Tiền và các khoản tương đương tiền,TÀI SẢN > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,982.444,347.797,2.751.806,59.758,600.797,4.742.602,982444.0,347797.0,2751806.0,59758.0,600797.0,4742602.0
Các khoản phải thu từ hoạt động tái báo hiểm,TÀI SẢN > Các khoản phải thu từ hoạt động tái báo hiểm,Các khoản phải thu từ hoạt động tái báo hiểm,651,908.979,-,-,-,909.630,651.0,908979.0,,,,909630.0
Các khoản phải thu từ hoạt động bảo hiểm,TÀI SẢN > Các khoản phải thu từ hoạt động bảo hiểm,Các khoản phải thu từ hoạt động bảo hiểm,133.586,1.702.222,-,-,-,1.835.808,133586.0,1702222.0,,,,1835808.0
Tài sản tái bảo hiểm,TÀI SẢN > Tài sản tái bảo hiểm,Tài sản tái bảo hiểm,-,3.041.375,-,-,-,3.041.375,,3041375.0,,,,3041375.0
Các khoản phải thu khác,TÀI SẢN > Các khoản phải thu khác,Các khoản phải thu khác,3.488.139,285.615,850.721,69.188,(857.062),3.836.601,3488139.0,285615.0,850721.0,69188.0,-857062.0,3836601.0
Đầu tư tài chính,TÀI SẢN > Đầu tư tài chính,Đầu tư tài chính,95.806.417,6.735.197,15.650.389,93.793,(9.525.247),108.760.549,95806417.0,6735197.0,15650389.0,93793.0,-9525247.0,108760549.0
Phải thu về cho vay,TÀI SẢN > Phải thu về cho vay,Phải thu về cho vay,-,-,1.525.362,-,20.771,1.546.133,,,1525362.0,,20771.0,1546133.0
Tài sản cố định hữu hình,TÀI SẢN > Tài sản cố định hữu hình,Tài sản cố định hữu hình,245.671,232.493,406.474,35.729,(55),920.312,245671.0,232493.0,406474.0,35729.0,-55.0,920312.0
Tài sản cố định vô hình,TÀI SẢN > Tài sản cố định vô hình,Tài sản cố định vô hình,255.802,392.881,314.464,14.640,-,977.787,255802.0,392881.0,314464.0,14640.0,,977787.0
Các tài sản khác,TÀI SẢN > Các tài sản khác,Các tài sản khác,251.357,897.447,433.080,104.027,(18.470),1.667.441,251357.0,897447.0,433080.0,104027.0,-18470.0,1667441.0
TỔNG TÀI SẢN,TÀI SẢN > TỔNG TÀI SẢN,TỔNG TÀI SẢN,101.164.067,14.544.006,21.932.296,377.135,(9.779.266),128.238.238,101164067.0,14544006.0,21932296.0,377135.0,-9779266.0,128238238.0
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,,,,,,,,,,,,
Nợ ngắn hạn,NỘ PHẢI TRẢ > Nợ ngắn hạn,Nợ ngắn hạn,16.875.806,3.487.989,369.839,52.940,(79.399),20.707.175,16875806.0,3487989.0,369839.0,52940.0,-79399.0,20707175.0
Nợ dài hạn,NỘ PHẢI TRẢ > Nợ dài hạn,Nợ dài hạn,79.069.004,7.910.157,640.999,27.996,(19.701),87.628.455,79069004.0,7910157.0,640999.0,27996.0,-19701.0,87628455.0
TỔNG NỘ PHẢI TRẢ,NỘ PHẢI TRẢ > TỔNG NỘ PHẢI TRẢ,TỔNG NỘ PHẢI TRẢ,95.944.810,11.398.146,1.010.838,80.936,(99.100),108.335.630,95944810.0,11398146.0,1010838.0,80936.0,-99100.0,108335630.0
NGUỒN VỐN CHỦ SỞ HỮU,NỘ PHẢI TRẢ > NGUỒN VỐN CHỦ SỞ HỮU,NGUỒN VỐN CHỦ SỞ HỮU,5.219.257,3.145.860,20.921.458,296.199,(9.680.166),19.902.608,5219257.0,3145860.0,20921458.0,296199.0,-9680166.0,19902608.0
TỔNG NGUỒN VỐN,NỘ PHẢI TRẢ > TỔNG NGUỒN VỐN,TỔNG NGUỒN VỐN,101.164.067,14.544.006,21.932.296,377.135,(9.779.266),128.238.238,101164067.0,14544006.0,21932296.0,377135.0,-9779266.0,128238238.0
