row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2018 (trình bày lại),Quá hạn,Không xác định ký hạn,Đến 01 năm,Từ 01 - 05 năm,Trên 05 năm,Tổng cộng,numeric__Quá hạn,numeric__Không xác định ký hạn,numeric__Đến 01 năm,numeric__Từ 01 - 05 năm,numeric__Trên 05 năm,numeric__Tổng cộng
NỘ TÀI CHÍNH,NỘ TÀI CHÍNH,NỘ TÀI CHÍNH,NỘ TÀI CHÍNH,NỘ TÀI CHÍNH,NỘ TÀI CHÍNH,NỘ TÀI CHÍNH,NỘ TÀI CHÍNH,NỘ TÀI CHÍNH,,,,,,
Nghĩa vụ nợ theo hợp đồng bảo hiểm,NỘ TÀI CHÍNH > Nghĩa vụ nợ theo hợp đồng bảo hiểm,Nghĩa vụ nợ theo hợp đồng bảo hiểm,14.835,-,(6.303.538),(19.614.511),148.795.084,122.891.870,14835.0,,-6303538.0,-19614511.0,148795084.0,122891870.0
Phải trả hoạt động bảo hiểm gốc,NỘ TÀI CHÍNH > Phải trả hoạt động bảo hiểm gốc,Phải trả hoạt động bảo hiểm gốc,-,-,1.142.729,-,-,1.142.729,,,1142729.0,,,1142729.0
Phải trả tái bảo hiểm,NỘ TÀI CHÍNH > Phải trả tái bảo hiểm,Phải trả tái bảo hiểm,-,-,1.310.824,-,-,1.310.824,,,1310824.0,,,1310824.0
Các nghĩa vụ nợ tài chính khác,NỘ TÀI CHÍNH > Các nghĩa vụ nợ tài chính khác,Các nghĩa vụ nợ tài chính khác,-,-,21.461.350,-,-,21.461.350,,,21461350.0,,,21461350.0
- Nhận ký quỹ,NỘ TÀI CHÍNH > - Nhận ký quỹ,- Nhận ký quỹ,-,-,189.078,-,-,189.078,,,189078.0,,,189078.0
- Khác,NỘ TÀI CHÍNH > - Khác,- Khác,-,-,21.272.272,-,-,21.272.272,,,21272272.0,,,21272272.0
TỔNG CỘNG,NỘ TÀI CHÍNH > TỔNG CỘNG,TỔNG CỘNG,14.835,-,17.611.365,(19.614.511),148.795.084,146.806.773,14835.0,,17611365.0,-19614511.0,148795084.0,146806773.0
