row_label_raw,row_label_full,col_0,Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2019VND,Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2018(trình bày lại)VND,numeric__Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2019VND,numeric__Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2018(trình bày lại)VND
Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,,
Chi trả đáo hạn,Bảo hiểm nhân thọ > Chi trả đáo hạn,Chi trả đáo hạn,1.870.037.734.330,1.696.617.319.531,1870037734330.0,1696617319531.0
Chi giá trị hoàn lại,Bảo hiểm nhân thọ > Chi giá trị hoàn lại,Chi giá trị hoàn lại,2.255.747.286.945,1.748.103.013.475,2255747286945.0,1748103013475.0
Chi trả quyền lợi bảo hiểm rủi ro và chi trả kháctheo hợp đồng bảo hiểm,Bảo hiểm nhân thọ > Chi trả quyền lợi bảo hiểm rủi ro và chi trả kháctheo hợp đồng bảo hiểm,Chi trả quyền lợi bảo hiểm rủi ro và chi trả kháctheo hợp đồng bảo hiểm,3.332.054.656.376,2.564.390.049.462,3332054656376.0,2564390049462.0
,,,7.457.839.677.651,6.009.110.382.468,7457839677651.0,6009110382468.0
Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,,
Bảo hiểm trách nhiệm,Bảo hiểm phi nhân thọ > Bảo hiểm trách nhiệm,Bảo hiểm trách nhiệm,324.740.583.778,303.979.094.619,324740583778.0,303979094619.0
Bảo hiểm tài sản,Bảo hiểm phi nhân thọ > Bảo hiểm tài sản,Bảo hiểm tài sản,3.750.326.438.564,3.275.515.749.644,3750326438564.0,3275515749644.0
Bảo hiểm con người,Bảo hiểm phi nhân thọ > Bảo hiểm con người,Bảo hiểm con người,2.461.146.738.795,1.841.486.116.875,2461146738795.0,1841486116875.0
,,,6.536.213.761.137,5.420.980.961.138,6536213761137.0,5420980961138.0
,,,13.994.053.438.788,11.430.091.343.606,13994053438788.0,11430091343606.0
