row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2018 (trình bày lại),Chưa quá hạn và không giảm giá trị VND,Quá hạn nhưng không giảm giá trị riêng lẻ VND,Bị giảm giá trị riêng lẻ (*) VND,Tổng VND,numeric__Chưa quá hạn và không giảm giá trị VND,numeric__Quá hạn nhưng không giảm giá trị riêng lẻ VND,numeric__Bị giảm giá trị riêng lẻ (*) VND,numeric__Tổng VND
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,
Tiền và các khoản tương đương tiền,TÀI SẢN > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,2.159.930.729.474,-,-,2.159.930.729.474,2159930729474.0,,,2159930729474.0
Phải thu hoạt động bảo hiểm gốc,TÀI SẢN > Phải thu hoạt động bảo hiểm gốc,Phải thu hoạt động bảo hiểm gốc,1.292.223.420.606,94.317.405.767,15.180.331.725,1.401.721.158.098,1292223420606.0,94317405767.0,15180331725.0,1401721158098.0
Phải thu tái bảo hiểm,TÀI SẢN > Phải thu tái bảo hiểm,Phải thu tái bảo hiểm,734.963.401.882,-,-,734.963.401.882,734963401882.0,,,734963401882.0
Tài sản tái bảo hiểm,TÀI SẢN > Tài sản tái bảo hiểm,Tài sản tái bảo hiểm,3.342.805.536.725,-,-,3.342.805.536.725,3342805536725.0,,,3342805536725.0
Các khoản phải thu khác,TÀI SẢN > Các khoản phải thu khác,Các khoản phải thu khác,101.507.814.973,-,-,101.507.814.973,101507814973.0,,,101507814973.0
"- Các khoản cầm cố, ký quỹ, ký cược","TÀI SẢN > - Các khoản cầm cố, ký quỹ, ký cược","- Các khoản cầm cố, ký quỹ, ký cược",75.839.179.573,-,-,75.839.179.573,75839179573.0,,,75839179573.0
- Phải thu cố tức,TÀI SẢN > - Phải thu cố tức,- Phải thu cố tức,25.668.635.400,-,-,25.668.635.400,25668635400.0,,,25668635400.0
Đầu tư nắm giữ đến ngày đáo hạn,TÀI SẢN > Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,92.232.016.090.410,-,94.950.463.300,92.326.966.553.710,92232016090410.0,,94950463300.0,92326966553710.0
- Hợp đồng tiền gửi có ký hạn,TÀI SẢN > - Hợp đồng tiền gửi có ký hạn,- Hợp đồng tiền gửi có ký hạn,57.993.448.524.143,-,-,57.993.448.524.143,57993448524143.0,,,57993448524143.0
- Trái phiếu,TÀI SẢN > - Trái phiếu,- Trái phiếu,34.238.567.566.267,-,94.950.463.300,34.333.518.029.567,34238567566267.0,,94950463300.0,34333518029567.0
Chứng khoán kinh doanh,TÀI SẢN > Chứng khoán kinh doanh,Chứng khoán kinh doanh,150.026.959.200,-,-,150.026.959.200,150026959200.0,,,150026959200.0
- Trái phiếu,TÀI SẢN > - Trái phiếu,- Trái phiếu,150.026.959.200,-,-,150.026.959.200,150026959200.0,,,150026959200.0
Các khoản cho vay và tạm ứng cho khách hàng,TÀI SẢN > Các khoản cho vay và tạm ứng cho khách hàng,Các khoản cho vay và tạm ứng cho khách hàng,3.288.614.747.470,2.039.129.969,1.529.979.110,3.292.183.856.549,3288614747470.0,2039129969.0,1529979110.0,3292183856549.0
Các tài sản khác,TÀI SẢN > Các tài sản khác,Các tài sản khác,441.518.143.839,4.311.928.079,2.419.833.017,448.249.904.935,441518143839.0,4311928079.0,2419833017.0,448249904935.0
TỔNG CỘNG,TÀI SẢN > TỔNG CỘNG,TỔNG CỘNG,103.743.606.844.579,100.668.463.815,114.080.607.152,103.958.355.915.546,103743606844579.0,100668463815.0,114080607152.0,103958355915546.0
