row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2019,Chưa quá hạn và không giảm giá trị VND,Quá hạn nhưng không giảm giá trị riêng lẻ VND,Bị giảm giá trị riêng lẻ (*) VND,Tổng VND,numeric__Chưa quá hạn và không giảm giá trị VND,numeric__Quá hạn nhưng không giảm giá trị riêng lẻ VND,numeric__Bị giảm giá trị riêng lẻ (*) VND,numeric__Tổng VND
TẢI SẢN,TẢI SẢN,TẢI SẢN,TẢI SẢN,TẢI SẢN,TẢI SẢN,TẢI SẢN,,,,
Tiền và các khoản tương đương tiền,TẢI SẢN > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,4.742.602.123.821,-,-,4.742.602.123.821,4742602123821.0,,,4742602123821.0
Phải thu hoạt động bảo hiểm gốc,TẢI SẢN > Phải thu hoạt động bảo hiểm gốc,Phải thu hoạt động bảo hiểm gốc,1.528.119.674.197,51.583.340.918,11.404.086.516,1.591.107.101.631,1528119674197.0,51583340918.0,11404086516.0,1591107101631.0
Phải thu tái bảo hiểm,TẢI SẢN > Phải thu tái bảo hiểm,Phải thu tái bảo hiểm,909.629.953.224,-,-,909.629.953.224,909629953224.0,,,909629953224.0
Tải sản tái bảo hiểm,TẢI SẢN > Tải sản tái bảo hiểm,Tải sản tái bảo hiểm,3.041.374.975.113,-,-,3.041.374.975.113,3041374975113.0,,,3041374975113.0
Các khoản phải thu khác,TẢI SẢN > Các khoản phải thu khác,Các khoản phải thu khác,68.012.337.214,-,-,68.012.337.214,68012337214.0,,,68012337214.0
"- Các khoản cầm cố, ký quỹ, ký cược","TẢI SẢN > - Các khoản cầm cố, ký quỹ, ký cược","- Các khoản cầm cố, ký quỹ, ký cược",64.044.447.714,-,-,64.044.447.714,64044447714.0,,,64044447714.0
- Phải thu cố tức,TẢI SẢN > - Phải thu cố tức,- Phải thu cố tức,3.967.889.500,-,-,3.967.889.500,3967889500.0,,,3967889500.0
Đầu tư nấm giữ đến ngày đáo hạn,TẢI SẢN > Đầu tư nấm giữ đến ngày đáo hạn,Đầu tư nấm giữ đến ngày đáo hạn,104.479.623.697.728,-,-,104.479.623.697.728,104479623697728.0,,,104479623697728.0
- Hợp đồng tiến gửi có ký hạn,TẢI SẢN > - Hợp đồng tiến gửi có ký hạn,- Hợp đồng tiến gửi có ký hạn,70.779.137.994.225,-,-,70.779.137.994.225,70779137994225.0,,,70779137994225.0
- Trái phiếu,TẢI SẢN > - Trái phiếu,- Trái phiếu,33.700.485.703.503,-,-,33.700.485.703.503,33700485703503.0,,,33700485703503.0
Chứng khoán kinh doanh,TẢI SẢN > Chứng khoán kinh doanh,Chứng khoán kinh doanh,250.401.609.523,-,-,250.401.609.523,250401609523.0,,,250401609523.0
- Trái phiếu,TẢI SẢN > - Trái phiếu,- Trái phiếu,250.401.609.523,-,-,250.401.609.523,250401609523.0,,,250401609523.0
Các khoản cho vay và tạm ứng cho khách hàng,TẢI SẢN > Các khoản cho vay và tạm ứng cho khách hàng,Các khoản cho vay và tạm ứng cho khách hàng,3.482.161.488.153,2.014.875.421,1.456.945.575,3.485.633.309.149,3482161488153.0,2014875421.0,1456945575.0,3485633309149.0
Các tài sản khác,TẢI SẢN > Các tài sản khác,Các tài sản khác,243.942.098.854,4.211.912.619,2.730.300.745,250.884.312.218,243942098854.0,4211912619.0,2730300745.0,250884312218.0
TỔNG CỘNG,TẢI SẢN > TỔNG CỘNG,TỔNG CỘNG,118.745.867.957.827,57.810.128.958,15.591.332.836,118.819.269.419.621,118745867957827.0,57810128958.0,15591332836.0,118819269419621.0
