row_label_raw,row_label_full,CHỈ TIÊU,Ngày 31 tháng 12năm 2019,Ngày 31 tháng 12năm 2018(trình bày lại),numeric__Ngày 31 tháng 12năm 2019,numeric__Ngày 31 tháng 12năm 2018(trình bày lại)
1. Hợp đồng bảo hiểm chưa phát sinh trách nhiệm (VND),1. Hợp đồng bảo hiểm chưa phát sinh trách nhiệm (VND),1. Hợp đồng bảo hiểm chưa phát sinh trách nhiệm (VND),263.903.326.567,329.813.479.485,263903326567.0,329813479485.0
2. Nợ khó đòi đá xử lý (VND),2. Nợ khó đòi đá xử lý (VND),2. Nợ khó đòi đá xử lý (VND),7.046.121.813,6.343.174.175,7046121813.0,6343174175.0
3. Ngoại tệ (USD),3. Ngoại tệ (USD),3. Ngoại tệ (USD),2.203.667,2.294.990,2203667.0,2294990.0
4. Chứng khoán lưu ký (VND),4. Chứng khoán lưu ký (VND),4. Chứng khoán lưu ký (VND),26.472.274.208.189,25.556.625.558.189,26472274208189.0,25556625558189.0
5. Chứng khoán chưa lưu ký (VND),5. Chứng khoán chưa lưu ký (VND),5. Chứng khoán chưa lưu ký (VND),2.667.009.170.000,1.984.009.170.000,2667009170000.0,1984009170000.0
6. Tiền gửi của nhà đầu tư ủy thác (VND),6. Tiền gửi của nhà đầu tư ủy thác (VND),6. Tiền gửi của nhà đầu tư ủy thác (VND),589.451.865.603,801.375.652.233,589451865603.0,801375652233.0
7. Danh mục đầu tư của nhà đầu tư ủy thác (VND),7. Danh mục đầu tư của nhà đầu tư ủy thác (VND),7. Danh mục đầu tư của nhà đầu tư ủy thác (VND),290.697.748.025,299.207.352.974,290697748025.0,299207352974.0
8. Các khoản phải thu của nhà đầu tư ủy thác (VND),8. Các khoản phải thu của nhà đầu tư ủy thác (VND),8. Các khoản phải thu của nhà đầu tư ủy thác (VND),7.776.055.464,8.517.768.219,7776055464.0,8517768219.0
9. Các khoản phải trả của nhà đầu tư ủy thác (VND),9. Các khoản phải trả của nhà đầu tư ủy thác (VND),9. Các khoản phải trả của nhà đầu tư ủy thác (VND),(591.556.462.418),(803.426.002.128),-591556462418.0,-803426002128.0
"10. Phải thu lãi tiền gửi, trái phiếu, cho vay ủy thác (VND)","10. Phải thu lãi tiền gửi, trái phiếu, cho vay ủy thác (VND)","10. Phải thu lãi tiền gửi, trái phiếu, cho vay ủy thác (VND)",2.196.508.157.957,2.003.255.742.595,2196508157957.0,2003255742595.0
