row_label_raw,row_label_full,"Giá trị rủi ro của danh mục cổ phiếu niêm yết tại ngày 31/12/2019 > Giá trị sổ sách > Giá trị thị trường > VaR (95%, 1 ngày)",HOSE > 1.589.979.452.633 > 1.813.408.707.900 > (28.832.427.008),HNX > 486.574.995.420 > 620.076.760.500 > (20.416.946.107),Tổng > 2.076.554.448.053 > 2.433.485.468.400 > (49.249.373.115),numeric__HOSE > 1.589.979.452.633 > 1.813.408.707.900 > (28.832.427.008),numeric__HNX > 486.574.995.420 > 620.076.760.500 > (20.416.946.107),numeric__Tổng > 2.076.554.448.053 > 2.433.485.468.400 > (49.249.373.115)
Mức độ đa dạng hóa VaR (95%),Mức độ đa dạng hóa VaR (95%),Mức độ đa dạng hóa VaR (95%),27.268.058.487,4.400.946.161,31.669.004.648,27268058487.0,4400946161.0,31669004648.0
"VaR (95%, 1 tuần)","VaR (95%, 1 tuần)","VaR (95%, 1 tuần)",(64.471.266.747),(45.653.679.388),(110.124.946.135),-64471266747.0,-45653679388.0,-110124946135.0
"VaR (95%, 1 tháng)","VaR (95%, 1 tháng)","VaR (95%, 1 tháng)",(135.236.070.033),(95.763.965.788),(231.000.035.821),-135236070033.0,-95763965788.0,-231000035821.0
"VaR (95%, 1 năm)","VaR (95%, 1 năm)","VaR (95%, 1 năm)",(457.700.589.349),(324.108.971.583),(781.809.560.932),-457700589349.0,-324108971583.0,-781809560932.0
Giá trị rủi ro của danh mục cổ phiếu niêm yết tại ngày 31/12/2018,Giá trị rủi ro của danh mục cổ phiếu niêm yết tại ngày 31/12/2018,Giá trị rủi ro của danh mục cổ phiếu niêm yết tại ngày 31/12/2018,HOSE,HNX,Tổng,,,
Giá trị sổ sách,Giá trị rủi ro của danh mục cổ phiếu niêm yết tại ngày 31/12/2018 > Giá trị sổ sách,Giá trị sổ sách,1.486.206.068.849,490.853.807.705,1.977.059.876.554,1486206068849.0,490853807705.0,1977059876554.0
Giá trị thị trường,Giá trị rủi ro của danh mục cổ phiếu niêm yết tại ngày 31/12/2018 > Giá trị thị trường,Giá trị thị trường,1.587.420.190.290,671.453.762.000,2.258.873.952.290,1587420190290.0,671453762000.0,2258873952290.0
"VaR (95%, 1 ngày)","Giá trị rủi ro của danh mục cổ phiếu niêm yết tại ngày 31/12/2018 > VaR (95%, 1 ngày)","VaR (95%, 1 ngày)",(26.736.021.250),(21.478.451.302),(48.214.472.552),-26736021250.0,-21478451302.0,-48214472552.0
Mức độ đa dạng hóa VaR (95%),Giá trị rủi ro của danh mục cổ phiếu niêm yết tại ngày 31/12/2018 > Mức độ đa dạng hóa VaR (95%),Mức độ đa dạng hóa VaR (95%),27.223.026.201,4.663.519.612,31.886.545.813,27223026201.0,4663519612.0,31886545813.0
"VaR (95%, 1 tuần)","Giá trị rủi ro của danh mục cổ phiếu niêm yết tại ngày 31/12/2018 > VaR (95%, 1 tuần)","VaR (95%, 1 tuần)",(59.783.560.963),(48.027.277.163),(107.810.838.126),-59783560963.0,-48027277163.0,-107810838126.0
"VaR (95%, 1 tháng)","Giá trị rủi ro của danh mục cổ phiếu niêm yết tại ngày 31/12/2018 > VaR (95%, 1 tháng)","VaR (95%, 1 tháng)",(125.403.055.427),(100.742.866.484),(226.145.921.911),-125403055427.0,-100742866484.0,-226145921911.0
"VaR (95%, 1 năm)","Giá trị rủi ro của danh mục cổ phiếu niêm yết tại ngày 31/12/2018 > VaR (95%, 1 năm)","VaR (95%, 1 năm)",(424.421.179.653),(340.959.844.152),(765.381.023.805),-424421179653.0,-340959844152.0,-765381023805.0
