row_label_raw,row_label_full,Mã số,CHÍ TIÊU,Thuyết minh,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018 (số liệu đã trình bày),Điều chỉnh,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018 (trình bày lại),numeric__CHÍ TIÊU,numeric__Thuyết minh,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018 (số liệu đã trình bày),numeric__Điều chỉnh,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018 (trình bày lại)
01,01,01,Doanh thu phí bảo hiểm,44.13,30.865.079.430.408,(272.040.773),30.864.807.389.635,,4413.0,30865079430408.0,-272040773.0,30864807389635.0
02,02,02,Phí bảo hiểm gốc,44.13.1,31.360.101.747.120,4.963.830.241,31.365.065.577.361,,44131.0,31360101747120.0,4963830241.0,31365065577361.0
04,04,04,Tăng dự phòng phí chưa được hưởng của bảo hiểm gốc và nhận tái bảo hiểm,44.13.2,(741.220.352.358),(5.235.871.014),(746.456.223.372),,44132.0,-741220352358.0,-5235871014.0,-746456223372.0
05,05,05,Phí nhượng tái bảo hiểm,44.14,(2.537.304.827.973),99.168.034,(2.537.205.659.939),,4414.0,-2537304827973.0,99168034.0,-2537205659939.0
06,06,06,Tổng phi nhượng tái bảo hiểm,44.14.1,(3.176.401.365.143),(3.492.947.259),(3.179.894.312.402),,44141.0,-3176401365143.0,-3492947259.0,-3179894312402.0
07,07,07,Tăng dự phòng phí nhượng tái bảo hiểm,44.14.2,639.096.537.170,3.592.115.293,642.688.652.463,,44142.0,639096537170.0,3592115293.0,642688652463.0
08,08,08,Doanh thu phí bảo hiểm thuần,,28.327.774.602.435,(172.872.739),28.327.601.729.696,,,28327774602435.0,-172872739.0,28327601729696.0
09,09,09,Hoa hồng nhượng tái bảo hiểm và doanh thu khác hoạt động kinh doanh bảo hiểm,44.15,738.035.602.144,(2.152.764.246),735.882.837.898,,4415.0,738035602144.0,-2152764246.0,735882837898.0
15,15,15,Doanh thu thuần từ hoạt động kinh doanh bảo hiểm,,29.065.810.204.579,(2.325.636.985),29.063.484.567.594,,,29065810204579.0,-2325636985.0,29063484567594.0
16,16,16,Chỉ bồi thường bảo hiểm gốc và chỉ trả đáo hạn,44.16,(11.429.705.212.445),(386.131.161),(11.430.091.343.606),,4416.0,-11429705212445.0,-386131161.0,-11430091343606.0
21,21,21,Thu bồi thường nhượng tái bảo hiểm,44.17,1.851.735.301.216,1.200.275.376,1.852.935.576.592,,4417.0,1851735301216.0,1200275376.0,1852935576592.0
27,27,27,(Glàm)/Tăng dự phòng bồi thường bảo hiểm gốc và nhận tái bảo hiểm,,(716.086.351.811),18.995.229.936,(697.091.121.875),,,-716086351811.0,18995229936.0,-697091121875.0
28,28,28,Tăng dự phòng bồi thường nhượng tái bảo hiểm,,356.530.016.940,(1.067.947.184),355.462.069.755,,,356530016940.0,-1067947184.0,355462069755.0
29,29,29,Tổng chỉ bồi thường và trả tiền bảo hiểm,,(25.392.068.332.288),18.741.426.967,(25.373.326.905.321),,,-25392068332288.0,18741426967.0,-25373326905321.0
30,30,30,Tăng dự phòng dao động lớn,,(72.518.203.686),(66.226.456.158),(138.744.659.844),,,-72518203686.0,-66226456158.0,-138744659844.0
31,31,31,Sử dụng từ dự phòng dao động lớn,,24.000.000.000,66.183.891.186,90.183.891.186,,,24000000000.0,66183891186.0,90183891186.0
32,32,32,Chỉ khác hoạt động kinh doanh bảo hiểm,44.18,(6.262.352.176.596),2.956.700.663,(6.259.395.475.933),,4418.0,-6262352176596.0,2956700663.0,-6259395475933.0
33,33,33,Chỉ hoa hồng,,(2.782.009.417.870),237.416.657,(2.781.772.001.213),,,-2782009417870.0,237416657.0,-2781772001213.0
35,35,35,Chỉ khác hoạt động kinh doanh bảo hiểm,,(1.782.715.405.775),2.719.284.006,(1.779.996.121.769),,,-1782715405775.0,2719284006.0,-1779996121769.0
41,41,41,Tổng chỉ trực tiếp hoạt động kinh doanh bảo hiểm,,(31.702.938.712.570),21.655.562.658,(31.681.283.149.912),,,-31702938712570.0,21655562658.0,-31681283149912.0
42,42,42,Lợi nhuận góp hoạt động kinh doanh bảo hiểm,,(2.637.128.507.991),19.329.925.673,(2.617.798.582.318),,,-2637128507991.0,19329925673.0,-2617798582318.0
44.2,44.2,44.2,Chỉ phí hoạt động tài chính,44.19,(1.703.916.989.203),7.655.201.009,(1.696.261.788.194),,4419.0,-1703916989203.0,7655201009.0,-1696261788194.0
44,44,44,Lợi nhuận hoạt động tài chính,,7.339.881.965.150,7.655.201.009,7.347.537.166.159,,,7339881965150.0,7655201009.0,7347537166159.0
46,46,46,Chỉ phí quản lý doanh nghiệp,44.20,(3.456.342.443.363),(2.433.134.415),(3.458.775.577.778),,4420.0,-3456342443363.0,-2433134415.0,-3458775577778.0
