row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2018(trình bày lại)VND,Số phải nộptrong nămVND,Số đã nộptrong nămVND,Ngày 31 tháng12 năm 2019VND,numeric__Ngày 31 tháng 12năm 2018(trình bày lại)VND,numeric__Số phải nộptrong nămVND,numeric__Số đã nộptrong nămVND,numeric__Ngày 31 tháng12 năm 2019VND
Thuế phải thu Nhà nước,Thuế phải thu Nhà nước,Thuế phải thu Nhà nước,Thuế phải thu Nhà nước,Thuế phải thu Nhà nước,Thuế phải thu Nhà nước,Thuế phải thu Nhà nước,,,,
Thuế thu nhậpdoanh nghiệp,Thuế phải thu Nhà nước > Thuế thu nhậpdoanh nghiệp,Thuế thu nhậpdoanh nghiệp,-,13.538.096.873,(19.042.101.993),(5.504.005.120),,13538096873.0,-19042101993.0,-5504005120.0
Thuế thu nhậpcá nhân,Thuế phải thu Nhà nước > Thuế thu nhậpcá nhân,Thuế thu nhậpcá nhân,-,606.808.877,(633.801.194),(26.992.317),,606808877.0,-633801194.0,-26992317.0
Thuế khác,Thuế phải thu Nhà nước > Thuế khác,Thuế khác,-,(4.650.730),-,(4.650.730),,-4650730.0,,-4650730.0
,,,-,14.140.255.020,(19.675.903.187),(5.535.648.167),,14140255020.0,-19675903187.0,-5535648167.0
Thuế phải nộp Nhà nước,Thuế phải nộp Nhà nước,Thuế phải nộp Nhà nước,Thuế phải nộp Nhà nước,Thuế phải nộp Nhà nước,Thuế phải nộp Nhà nước,Thuế phải nộp Nhà nước,,,,
Thuế GTGT hàngbán nội địa,Thuế phải nộp Nhà nước > Thuế GTGT hàngbán nội địa,Thuế GTGT hàngbán nội địa,(9.703.358.872),298.306.119.044,(318.865.635.179),(30.262.875.007),-9703358872.0,298306119044.0,-318865635179.0,-30262875007.0
Thuế thu nhậdoanh nghiệp,Thuế phải nộp Nhà nước > Thuế thu nhậdoanh nghiệp,Thuế thu nhậdoanh nghiệp,43.423.087.220,256.386.229.730,(251.294.750.305),48.514.566.645,43423087220.0,256386229730.0,-251294750305.0,48514566645.0
Thuế thu nhậpcá nhân,Thuế phải nộp Nhà nước > Thuế thu nhậpcá nhân,Thuế thu nhậpcá nhân,28.542.778.195,420.204.549.649,(417.067.350.624),31.679.977.220,28542778195.0,420204549649.0,-417067350624.0,31679977220.0
Tiền thuế đất,Thuế phải nộp Nhà nước > Tiền thuế đất,Tiền thuế đất,(1.160.662.313),12.049.718.092,(12.619.988.801),(1.730.933.022),-1160662313.0,12049718092.0,-12619988801.0,-1730933022.0
Các loại thuế khác,Thuế phải nộp Nhà nước > Các loại thuế khác,Các loại thuế khác,2.822.463.740,34.059.612.536,(35.477.216.472),1.404.859.804,2822463740.0,34059612536.0,-35477216472.0,1404859804.0
,,,63.924.307.970,1.021.006.229.051,(1.035.324.941.381),49.605.595.640,63924307970.0,1021006229051.0,-1035324941381.0,49605595640.0
