row_label_raw,row_label_full,col_0,Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2019VND,Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2018(trình bày lại)VND,numeric__Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2019VND,numeric__Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2018(trình bày lại)VND
Chi đề phòng hạn chế tổn thất,Chi đề phòng hạn chế tổn thất,Chi đề phòng hạn chế tổn thất,66.540.368.466,67.492.148.513,66540368466.0,67492148513.0
"Chi giám định, chi đánh giá rủi ro đối tượngđược bảo hiểm, chi khác","Chi giám định, chi đánh giá rủi ro đối tượngđược bảo hiểm, chi khác","Chi giám định, chi đánh giá rủi ro đối tượngđược bảo hiểm, chi khác",145.258.706.531,125.591.668.594,145258706531.0,125591668594.0
Chi nhận tái bảo hiểm khác,Chi nhận tái bảo hiểm khác,Chi nhận tái bảo hiểm khác,4.253.768.495,325.991.448,4253768495.0,325991448.0
Chi đại lý bảo hiểm và các khoản chi khác,Chi đại lý bảo hiểm và các khoản chi khác,Chi đại lý bảo hiểm và các khoản chi khác,330.924.875.651,326.026.221.540,330924875651.0,326026221540.0
Chi khác hoạt động kinh doanh bảo hiểm phân bổ từ chi quản lý,Chi khác hoạt động kinh doanh bảo hiểm phân bổ từ chi quản lý,Chi khác hoạt động kinh doanh bảo hiểm phân bổ từ chi quản lý,1.169.542.598.277,1.225.641.439.810,1169542598277.0,1225641439810.0
- Chi phí nhân công,- Chi phí nhân công,- Chi phí nhân công,536.428.439.949,552.857.816.174,536428439949.0,552857816174.0
- Chi phí nguyên liệu vật liệu,- Chi phí nguyên liệu vật liệu,- Chi phí nguyên liệu vật liệu,53.054.498.665,50.651.184.462,53054498665.0,50651184462.0
- Chi phí khấu hao tài sản cố định,- Chi phí khấu hao tài sản cố định,- Chi phí khấu hao tài sản cố định,26.476.027.714,25.899.979.221,26476027714.0,25899979221.0
"- Thuế và chi phí, lệ phí","- Thuế và chi phí, lệ phí","- Thuế và chi phí, lệ phí",10.219.185.397,12.687.755.344,10219185397.0,12687755344.0
- Chi phí dịch vụ mua ngoài,- Chi phí dịch vụ mua ngoài,- Chi phí dịch vụ mua ngoài,248.426.222.226,278.769.093.515,248426222226.0,278769093515.0
- Chi phí khác,- Chi phí khác,- Chi phí khác,294.938.224.326,304.775.611.094,294938224326.0,304775611094.0
Chi nộp quỹ bảo vệ người được bảo hiểm,Chi nộp quỹ bảo vệ người được bảo hiểm,Chi nộp quỹ bảo vệ người được bảo hiểm,32.242.361.038,34.918.651.864,32242361038.0,34918651864.0
,,,1.748.762.678.458,1.779.996.121.769,1748762678458.0,1779996121769.0
