row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2019,Giá trị ghi sổ > Nguyên giáVND,Giá trị ghi sổ > Dư phònggiảm giá trịVND,Giá trị ghi sổ > Giá trị thuầnVND,Giá trị hợp lýVND,numeric__Giá trị ghi sổ > Nguyên giáVND,numeric__Giá trị ghi sổ > Dư phònggiảm giá trịVND,numeric__Giá trị ghi sổ > Giá trị thuầnVND,numeric__Giá trị hợp lýVND
TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,,,,
Đầu tư nắm giữ đến ngày đáo hạn,TÀI SẢN TÀI CHÍNH > Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,105.596.976.014.232,(1.117.352.316.501),104.479.623.697.731,117.137.536.266.062,105596976014232.0,-1117352316501.0,104479623697731.0,117137536266062.0
- Hợp đồng tiền gửi có kỳ hạn,TÀI SẢN TÀI CHÍNH > - Hợp đồng tiền gửi có kỳ hạn,- Hợp đồng tiền gửi có kỳ hạn,71.221.737.994.222,(442.600.000.000),70.779.137.994.222,71.290.767.020.292,71221737994222.0,-442600000000.0,70779137994222.0,71290767020292.0
- Trái phiếu,TÀI SẢN TÀI CHÍNH > - Trái phiếu,- Trái phiếu,34.375.238.020.010,(674.752.316.501),33.700.485.703.509,45.846.769.245.770,34375238020010.0,-674752316501.0,33700485703509.0,45846769245770.0
Chứng khoán kinh doanh,TÀI SẢN TÀI CHÍNH > Chứng khoán kinh doanh,Chứng khoán kinh doanh,2.831.287.386.102,(262.206.190.004),2.569.081.196.098,3.065.723.970.610,2831287386102.0,-262206190004.0,2569081196098.0,3065723970610.0
- Cổ phiếu niêm yết,TÀI SẢN TÀI CHÍNH > - Cổ phiếu niêm yết,- Cổ phiếu niêm yết,1.740.426.531.004,(208.842.722.992),1.531.583.808.012,1.898.412.253.500,1740426531004.0,-208842722992.0,1531583808012.0,1898412253500.0
- Cổ phiếu chưa niêm yết,TÀI SẢN TÀI CHÍNH > - Cổ phiếu chưa niêm yết,- Cổ phiếu chưa niêm yết,594.221.355.844,(52.922.009.963),541.299.345.881,566.536.947.363,594221355844.0,-52922009963.0,541299345881.0,566536947363.0
- Chứng chỉ quỹ,TÀI SẢN TÀI CHÍNH > - Chứng chỉ quỹ,- Chứng chỉ quỹ,246.237.889.731,(441.457.049),245.796.432.682,342.073.960.000,246237889731.0,-441457049.0,245796432682.0,342073960000.0
- Trái phiếu,TÀI SẢN TÀI CHÍNH > - Trái phiếu,- Trái phiếu,250.401.609.523,-,250.401.609.523,258.700.809.747,250401609523.0,,250401609523.0,258700809747.0
Đầu tư tài chính khác,TÀI SẢN TÀI CHÍNH > Đầu tư tài chính khác,Đầu tư tài chính khác,809.595.993.767,(211.419.119.632),598.176.874.135,992.848.802.559,809595993767.0,-211419119632.0,598176874135.0,992848802559.0
Cho vay và tạm ứng cho khách hàng,TÀI SẢN TÀI CHÍNH > Cho vay và tạm ứng cho khách hàng,Cho vay và tạm ứng cho khách hàng,3.488.847.903.698,(74.702.753.488),3.414.145.150.210,3.414.145.150.210,3488847903698.0,-74702753488.0,3414145150210.0,3414145150210.0
Phải thu hoạt động bảo hiểm gốc,TÀI SẢN TÀI CHÍNH > Phải thu hoạt động bảo hiểm gốc,Phải thu hoạt động bảo hiểm gốc,1.835.808.176.156,(244.701.074.525),1.591.107.101.631,1.603.811.052.561,1835808176156.0,-244701074525.0,1591107101631.0,1603811052561.0
Phải thu tài bảo hiểm,TÀI SẢN TÀI CHÍNH > Phải thu tài bảo hiểm,Phải thu tài bảo hiểm,909.629.953.224,-,909.629.953.224,906.518.333.346,909629953224.0,,909629953224.0,906518333346.0
Tài sản tái bảo hiểm,TÀI SẢN TÀI CHÍNH > Tài sản tái bảo hiểm,Tài sản tái bảo hiểm,3.041.374.975.113,-,3.041.374.975.113,3.041.374.975.113,3041374975113.0,,3041374975113.0,3041374975113.0
Phải thu khác,TÀI SẢN TÀI CHÍNH > Phải thu khác,Phải thu khác,396.332.678.692,(77.436.029.260),318.896.649.432,318.896.649.432,396332678692.0,-77436029260.0,318896649432.0,318896649432.0
"- Các khoản cầm cố, ký quỹ, ký cược","TÀI SẢN TÀI CHÍNH > - Các khoản cầm cố, ký quỹ, ký cược","- Các khoản cầm cố, ký quỹ, ký cược",64.044.447.714,-,64.044.447.714,64.044.447.714,64044447714.0,,64044447714.0,64044447714.0
- Phải thu cổ tức,TÀI SẢN TÀI CHÍNH > - Phải thu cổ tức,- Phải thu cổ tức,3.967.889.500,-,3.967.889.500,3.967.889.500,3967889500.0,,3967889500.0,3967889500.0
- Khác,TÀI SẢN TÀI CHÍNH > - Khác,- Khác,328.320.341.478,(77.436.029.260),250.884.312.218,250.884.312.218,328320341478.0,-77436029260.0,250884312218.0,250884312218.0
Tiền và các khoản tương đương tiền,TÀI SẢN TÀI CHÍNH > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,4.742.602.123.821,-,4.742.602.123.821,4.742.602.123.821,4742602123821.0,,4742602123821.0,4742602123821.0
TỔNG CỘNG,TÀI SẢN TÀI CHÍNH > TỔNG CỘNG,TỔNG CỘNG,123.652.455.204.805,(1.987.817.483.410),121.664.637.721.395,135.223.457.323.714,123652455204805.0,-1987817483410.0,121664637721395.0,135223457323714.0
