row_label_raw,row_label_full,col_0,Trách nhiệm theo các hợp đồng bảo hiểm và đầu tư có cấu phần không đảm bảo VND,Trách nhiệm theo các hợp đồng bảo hiểm không có cấu phần không đảm bảo VND,Tổng nợ phải trả hợp đồng bảo hiểm VND,numeric__Trách nhiệm theo các hợp đồng bảo hiểm và đầu tư có cấu phần không đảm bảo VND,numeric__Trách nhiệm theo các hợp đồng bảo hiểm không có cấu phần không đảm bảo VND,numeric__Tổng nợ phải trả hợp đồng bảo hiểm VND
Ngày 31 tháng 12 năm 2019,Ngày 31 tháng 12 năm 2019,Ngày 31 tháng 12 năm 2019,Ngày 31 tháng 12 năm 2019,Ngày 31 tháng 12 năm 2019,Ngày 31 tháng 12 năm 2019,,,
Điều khoản riêng,Ngày 31 tháng 12 năm 2019 > Điều khoản riêng,Điều khoản riêng,1.551.396.470,440.256.468.172,441.807.864.642,1551396470.0,440256468172.0,441807864642.0
Trọn đời,Ngày 31 tháng 12 năm 2019 > Trọn đời,Trọn đời,88.320.645.301,-,88.320.645.301,88320645301.0,,88320645301.0
Từ kỳ,Ngày 31 tháng 12 năm 2019 > Từ kỳ,Từ kỳ,-,10.655.748.684,10.655.748.684,,10655748684.0,10655748684.0
Hỗn hợp,Ngày 31 tháng 12 năm 2019 > Hỗn hợp,Hỗn hợp,15.776.857.673.040,20.727.430.720.974,36.504.288.394.014,15776857673040.0,20727430720974.0,36504288394014.0
Liên kết chung,Ngày 31 tháng 12 năm 2019 > Liên kết chung,Liên kết chung,-,39.850.603.499.756,39.850.603.499.756,,39850603499756.0,39850603499756.0
Niên kim,Ngày 31 tháng 12 năm 2019 > Niên kim,Niên kim,1.172.792.714.579,-,1.172.792.714.579,1172792714579.0,,1172792714579.0
Hưu trí,Ngày 31 tháng 12 năm 2019 > Hưu trí,Hưu trí,-,604.563.631.145,604.563.631.145,,604563631145.0,604563631145.0
Khác,Ngày 31 tháng 12 năm 2019 > Khác,Khác,96.424.768.049,-,96.424.768.049,96424768049.0,,96424768049.0
,,,17.135.947.197.439,61.633.510.068.731,78.769.457.266.170,17135947197439.0,61633510068731.0,78769457266170.0
Ngày 31 tháng 12 năm 2018,Ngày 31 tháng 12 năm 2018,Ngày 31 tháng 12 năm 2018,Ngày 31 tháng 12 năm 2018,Ngày 31 tháng 12 năm 2018,Ngày 31 tháng 12 năm 2018,,,
Điều khoản riêng,Ngày 31 tháng 12 năm 2018 > Điều khoản riêng,Điều khoản riêng,2.701.981.259,328.489.477.255,331.191.458.514,2701981259.0,328489477255.0,331191458514.0
Trọn đời,Ngày 31 tháng 12 năm 2018 > Trọn đời,Trọn đời,90.023.900.244,-,90.023.900.244,90023900244.0,,90023900244.0
Từ kỳ,Ngày 31 tháng 12 năm 2018 > Từ kỳ,Từ kỳ,-,96.056.893,96.056.893,,96056893.0,96056893.0
Hỗn hợp,Ngày 31 tháng 12 năm 2018 > Hỗn hợp,Hỗn hợp,13.453.269.833.038,18.251.634.635.967,31.704.904.469.005,13453269833038.0,18251634635967.0,31704904469005.0
Liên kết chung,Ngày 31 tháng 12 năm 2018 > Liên kết chung,Liên kết chung,-,29.316.023.954.347,29.316.023.954.347,,29316023954347.0,29316023954347.0
Niên kim,Ngày 31 tháng 12 năm 2018 > Niên kim,Niên kim,1.265.369.804.943,-,1.265.369.804.943,1265369804943.0,,1265369804943.0
Hưu trí,Ngày 31 tháng 12 năm 2018 > Hưu trí,Hưu trí,-,334.479.104.946,334.479.104.946,,334479104946.0,334479104946.0
Khác,Ngày 31 tháng 12 năm 2018 > Khác,Khác,-,14.184.244.306,14.184.244.306,,14184244306.0,14184244306.0
,,,14.811.365.519.484,48.244.907.473.714,63.056.272.993.198,14811365519484.0,48244907473714.0,63056272993198.0
