row_label_raw,row_label_full,Mã số,CHÍ TIÊU,Thuyết minh,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018 (trình bày lại),numeric__CHÍ TIÊU,numeric__Thuyết minh,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018 (trình bày lại)
01,01,01,Doanh thu phí bảo hiểm (01 = 02 + 03 + 04),,35.814.544.336.644,30.864.807.389.635,,,35814544336644.0,30864807389635.0
02,02,02,Phí bảo hiểm gốc,27.1,35.748.172.611.052,31.365.065.577.361,,271.0,35748172611052.0,31365065577361.0
03,03,03,Phí nhận tải bảo hiểm,27.2,228.918.252.103,246.198.035.646,,272.0,228918252103.0,246198035646.0
04,04,04,Tăng dự phòng phí chưa được hưởng của bảo hiểm gốc và nhận tải bảo hiểm,,(162.546.526.511),(746.456.223.372),,,-162546526511.0,-746456223372.0
05,05,05,Phí nhượng tái bảo hiểm (05 = 06 + 07),,(3.084.209.111.942),(2.537.205.659.939),,,-3084209111942.0,-2537205659939.0
06,06,06,Tổng phí nhượng tái bảo hiểm,28,(3.374.388.930.705),(3.179.894.312.402),,28.0,-3374388930705.0,-3179894312402.0
07,07,07,Tăng dự phòng phí nhượng tái bảo hiểm,,290.179.818.763,642.688.652.463,,,290179818763.0,642688652463.0
08,08,08,Doanh thu phí bảo hiểm thuần (08 = 01 + 05),,32.730.335.224.702,28.327.601.729.696,,,32730335224702.0,28327601729696.0
09,09,09,Hoa hồng nhượng tái bảo hiểm và doanh thu khác hoạt động kinh doanh bảo hiểm,,578.800.862.478,735.882.837.898,,,578800862478.0,735882837898.0
15,15,15,Doanh thu thuần từ hoạt động kinh doanh bảo hiểm (15 = 08 + 09),,33.309.136.087.180,29.063.484.567.594,,,33309136087180.0,29063484567594.0
16,16,16,Chi bồi thường bảo hiểm gốc và chi trả đáo hạn,29.1,(13.994.053.438.788),(11.430.091.343.606),,291.0,-13994053438788.0,-11430091343606.0
17,17,17,Chi bồi thường nhận tái bảo hiểm,29.2,(239.973.867.981),(207.609.449.682),,292.0,-239973867981.0,-207609449682.0
18,18,18,Các khoản giảm trừ chi phí (18 = 19 + 20),,4.092.472.480,11.570.700.972,,,4092472480.0,11570700972.0
19,19,19,Thu đổi người thứ ba,,3.236.476.683,10.972.232.318,,,3236476683.0,10972232318.0
20,20,20,Thu xử lý hàng bồi thường 100%,,855.995.797,598.468.654,,,855995797.0,598468654.0
21,21,21,Thu bồi thường nhượng tái bảo hiểm,29.3,2.338.609.076.623,1.852.935.576.592,,293.0,2338609076623.0,1852935576592.0
22,22,22,Tăng dự phòng nghiệp vụ bảo hiểm gốc (22 = 23 + 24 + 25 + 26),,(15.610.892.917.847),(15.258.503.337.478),,,-15610892917847.0,-15258503337478.0
23,23,23,Tăng dự phòng toán học,,(15.231.541.739.213),(14.104.161.089.076),,,-15231541739213.0,-14104161089076.0
24,24,24,Tăng dự phòng lãi cam kết đầu tư tối thiểu,,(164.911.468.425),(963.717.898.004),,,-164911468425.0,-963717898004.0
25,25,25,Tăng dự phòng chia lãi,,(234.467.860.898),(149.780.059.365),,,-234467860898.0,-149780059365.0
26,26,26,Giảm/(Tăng) dự phòng đảm bảo cân đối,,20.028.150.689,(40.844.291.033),,,20028150689.0,-40844291033.0
27,27,27,Giảm/(Tăng) dự phòng bồi thường bảo hiểm gốc và nhận tải bảo hiểm,,189.391.274.584,(697.091.121.875),,,189391274584.0,-697091121875.0
28,28,28,(Giảm)/ Tăng dự phòng bồi thường nhượng tái bảo hiểm,,(396.604.312.873),355.462.069.756,,,-396604312873.0,355462069756.0
29,29,29,Tổng chi bồi thường và trả tiền bảo hiểm (29 = 16 + 17 + 18 + 21 + 22 + 27 + 28),,(27.709.431.713.802),(25.373.326.905.321),,,-27709431713802.0,-25373326905321.0
30,30,30,Tăng dự phòng dao động lớn,,(143.305.387.775),(138.744.659.844),,,-143305387775.0,-138744659844.0
31,31,31,Sử dụng từ dự phòng dao động lớn,,214.995.602.838,90.183.891.186,,,214995602838.0,90183891186.0
