row_label_raw,row_label_full,col_0,Ngày 31 tháng 12 năm 2019VND,Ngày 31 tháng 12 năm 2018VND,numeric__Ngày 31 tháng 12 năm 2019VND,numeric__Ngày 31 tháng 12 năm 2018VND
Ký quỹ đại lý bảo hiểm,Ký quỹ đại lý bảo hiểm,Ký quỹ đại lý bảo hiểm,203.694.760.615,176.446.610.503,203694760615.0,176446610503.0
Phải trả khác,Phải trả khác,Phải trả khác,18.756.990.105,12.630.928.937,18756990105.0,12630928937.0
,,,222.451.750.720,189.077.539.440,222451750720.0,189077539440.0
