row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm máy tính VND,Tài sản khác VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm máy tính VND,numeric__Tài sản khác VND,numeric__Tổng cộng VND
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Vào ngày 31 tháng12 năm 2018(trình bày lại),Nguyên giá: > Vào ngày 31 tháng12 năm 2018(trình bày lại),Vào ngày 31 tháng12 năm 2018(trình bày lại),758.896.631.434,379.541.897.037,4.213.321.739,1.142.651.850.210,758896631434.0,379541897037.0,4213321739.0,1142651850210.0
- Mua trong năm,Nguyên giá: > - Mua trong năm,- Mua trong năm,-,13.154.654.790,-,13.154.654.790,,13154654790.0,,13154654790.0
- Chuyển từ xây dựng cơ bản dở dang,Nguyên giá: > - Chuyển từ xây dựng cơ bản dở dang,- Chuyển từ xây dựng cơ bản dở dang,-,255.413.407.336,-,255.413.407.336,,255413407336.0,,255413407336.0
- Điều chỉnh theo quyết toán,Nguyên giá: > - Điều chỉnh theo quyết toán,- Điều chỉnh theo quyết toán,-,190.444.466,-,190.444.466,,190444466.0,,190444466.0
"- Thanh lý, nhượng bán","Nguyên giá: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(170.830.000),-,(170.830.000),,-170830000.0,,-170830000.0
- Giảm khác,Nguyên giá: > - Giảm khác,- Giảm khác,(600.000.000),-,-,(600.000.000),-600000000.0,,,-600000000.0
Vào ngày 31 tháng12 năm 2019,Nguyên giá: > Vào ngày 31 tháng12 năm 2019,Vào ngày 31 tháng12 năm 2019,758.296.631.434,648.129.573.629,4.213.321.739,1.410.639.526.802,758296631434.0,648129573629.0,4213321739.0,1410639526802.0
Giá trị hao mòn luỹ kế:,Giá trị hao mòn luỹ kế:,Giá trị hao mòn luỹ kế:,Giá trị hao mòn luỹ kế:,Giá trị hao mòn luỹ kế:,Giá trị hao mòn luỹ kế:,Giá trị hao mòn luỹ kế:,,,,
Vào ngày 31 tháng12 năm 2018(trình bày lại),Giá trị hao mòn luỹ kế: > Vào ngày 31 tháng12 năm 2018(trình bày lại),Vào ngày 31 tháng12 năm 2018(trình bày lại),86.201.808.838,292.745.096.935,4.026.711.848,382.973.617.621,86201808838.0,292745096935.0,4026711848.0,382973617621.0
- Hao mòn trong năm,Giá trị hao mòn luỹ kế: > - Hao mòn trong năm,- Hao mòn trong năm,7.937.178.636,42.022.926.584,89.470.992,50.049.576.212,7937178636.0,42022926584.0,89470992.0,50049576212.0
"- Thanh lý, nhượng bán","Giá trị hao mòn luỹ kế: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(170.830.000),-,(170.830.000),,-170830000.0,,-170830000.0
Vào ngày 31 tháng12 năm 2019,Giá trị hao mòn luỹ kế: > Vào ngày 31 tháng12 năm 2019,Vào ngày 31 tháng12 năm 2019,94.138.987.474,334.597.193.519,4.116.182.840,432.852.363.833,94138987474.0,334597193519.0,4116182840.0,432852363833.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Vào ngày 31 tháng12 năm 2018(trình bày lại),Giá trị còn lại: > Vào ngày 31 tháng12 năm 2018(trình bày lại),Vào ngày 31 tháng12 năm 2018(trình bày lại),672.694.822.596,86.796.800.102,186.609.891,759.678.232.589,672694822596.0,86796800102.0,186609891.0,759678232589.0
Vào ngày 31 tháng12 năm 2019,Giá trị còn lại: > Vào ngày 31 tháng12 năm 2019,Vào ngày 31 tháng12 năm 2019,664.157.643.960,313.532.380.110,97.138.899,977.787.162.969,664157643960.0,313532380110.0,97138899.0,977787162969.0
