row_label_raw,row_label_full,Mã số,NGUỒN VỐN,Thuyết minh,Ngày 31 tháng 12 năm 2019,Ngày 31 tháng 12 năm 2018 (Trình bày lại),numeric__NGUỒN VỐN,numeric__Thuyết minh,numeric__Ngày 31 tháng 12 năm 2019,numeric__Ngày 31 tháng 12 năm 2018 (Trình bày lại)
300,300,300,C. NỘ PHẢI TRẢ,,108.335.629.665.873,97.698.783.565.332,,,108335629665873.0,97698783565332.0
310,310,310,I. Nợ ngắn hạn,,20.707.174.565.073,25.799.328.881.234,,,20707174565073.0,25799328881234.0
311,311,311,1. Phải trả người bán ngắn hạn,16,3.294.031.479.343,2.599.910.731.082,,16.0,3294031479343.0,2599910731082.0
311.1,311.1,311.1,1.1 Phải trả hoạt động bảo hiểm,,3.248.053.120.718,2.457.426.360.361,,,3248053120718.0,2457426360361.0
311.2,311.2,311.2,1.2 Phải trả khác hoạt động tài chính,,7.862.957.608,-,,,7862957608.0,
311.3,311.3,311.3,1.3 Phải trả người bán và nhà cung cấp dịch vụ,,38.115.401.017,142.484.370.721,,,38115401017.0,142484370721.0
312,312,312,2. Người mua trả tiền trước ngắn hạn,,7.152.477.309,16.901.747.900,,,7152477309.0,16901747900.0
313,313,313,3. Thuế và các khoản phải nộp Nhà nước,17,49.605.595.640,63.924.307.970,,17.0,49605595640.0,63924307970.0
314,314,314,4. Phải trả người lao động,,814.664.633.846,717.763.092.820,,,814664633846.0,717763092820.0
315,315,315,5. Chi phí phải trả ngắn hạn,,64.033.683.035,121.088.934.728,,,64033683035.0,121088934728.0
318,318,318,6. Doanh thu chưa thực hiện ngắn hạn,18,203.667.569.263,121.237.284.625,,18.0,203667569263.0,121237284625.0
318.1,318.1,318.1,7. Doanh thu hoa hồng chưa được hưởng,19.1,157.084.170.856,397.226.378.988,,191.0,157084170856.0,397226378988.0
319,319,319,8. Phải trả ngắn hạn khác,20,486.461.542.047,1.108.826.300.528,,20.0,486461542047.0,1108826300528.0
320,320,320,9. Vay ngắn hạn,21,106.634.758.994,131.341.550.381,,21.0,106634758994.0,131341550381.0
322,322,322,"10. Quỹ khen thưởng, phúc lợi",22,129.409.885.270,104.821.878.059,,22.0,129409885270.0,104821878059.0
324,324,324,11. Giao dịch mua bán lại trái phiếu,23,15.394.428.769.470,20.416.286.674.153,,23.0,15394428769470.0,20416286674153.0
330,330,330,II. Nợ dài hạn,,87.628.455.100.800,71.899.454.684.098,,,87628455100800.0,71899454684098.0
337,337,337,1. Phải trả dài hạn khác,24,222.451.750.720,189.077.539.440,,24.0,222451750720.0,189077539440.0
338,338,338,2. Vay dài hạn,21,633.298.261.127,448.670.863.007,,21.0,633298261127.0,448670863007.0
341,341,341,3. Thuế thu nhập hoãn lại phải trả,17.2.2,110.927.382,1.470.074.791,,1722.0,110927382.0,1470074791.0
344,344,344,4. Dự phòng nghiệp vụ bảo hiểm,25,86.772.594.161.571,71.260.236.206.860,,25.0,86772594161571.0,71260236206860.0
344.1,344.1,344.1,4.1 Dự phòng toán học,,75.546.683.412.605,60.315.141.673.392,,,75546683412605.0,60315141673392.0
344.2,344.2,344.2,4.2 Dự phòng phí chưa được hưởng,,5.269.286.082.060,5.106.739.555.549,,,5269286082060.0,5106739555549.0
344.3,344.3,344.3,4.3 Dự phòng bồi thường,,2.918.681.311.275,3.108.072.585.859,,,2918681311275.0,3108072585859.0
344.4,344.4,344.4,4.4 Dự phòng chia lãi,,1.813.623.023.450,1.579.155.162.552,,,1813623023450.0,1579155162552.0
344.5,344.5,344.5,4.5 Dự phòng lãi cam kết đầu tư tối thiểu,,1.128.629.366.429,963.717.898.004,,,1128629366429.0,963717898004.0
344.6,344.6,344.6,4.6 Dự phòng đảm bảo cân đối,,95.648.400.780,115.676.551.469,,,95648400780.0,115676551469.0
344.7,344.7,344.7,4.7 Dự phòng dao động lớn,,42.564.972,71.732.780.035,,,42564972.0,71732780035.0
