row_label_raw,row_label_full,CHỈ TIÊU > Năm bồi thường,2015 > 1,Năm tổn thất > 2016 > 2,Năm tổn thất > 2017 > 3,Năm tổn thất > 2018 > 4,Năm tổn thất > 2019 > 5,Năm tổn thất > Tổng số > 6,numeric__2015 > 1,numeric__Năm tổn thất > 2016 > 2,numeric__Năm tổn thất > 2017 > 3,numeric__Năm tổn thất > 2018 > 4,numeric__Năm tổn thất > 2019 > 5,numeric__Năm tổn thất > Tổng số > 6
I. Số ước tính chỉbồi thườngluy kế,I. Số ước tính chỉbồi thườngluy kế,I. Số ước tính chỉbồi thườngluy kế,,,,,,,,,,,,
1,I. Số ước tính chỉbồi thườngluy kế > 1,1,2.253.392,2.434.993,2.954.365,4.034.625,3.751.268,,2253392.0,2434993.0,2954365.0,4034625.0,3751268.0,
2,I. Số ước tính chỉbồi thườngluy kế > 2,2,2.488.702,2.605.523,3.718.676,4.210.835,-,,2488702.0,2605523.0,3718676.0,4210835.0,,
3,I. Số ước tính chỉbồi thườngluy kế > 3,3,2.463.222,2.450.660,3.532.364,-,-,,2463222.0,2450660.0,3532364.0,,,
4,I. Số ước tính chỉbồi thườngluy kế > 4,4,2.483.007,2.596.553,-,-,-,,2483007.0,2596553.0,,,,
5,I. Số ước tính chỉbồi thườngluy kế > 5,5,2.489.754,-,-,-,-,,2489754.0,,,,,
Số ước tính chỉbồi thường luykế đến năm hiệntại (1),I. Số ước tính chỉbồi thườngluy kế > Số ước tính chỉbồi thường luykế đến năm hiệntại (1),Số ước tính chỉbồi thường luykế đến năm hiệntại (1),2.489.754,2.596.553,3.532.364,4.210.835,3.751.268,16.580.774,2489754.0,2596553.0,3532364.0,4210835.0,3751268.0,16580774.0
II. Số đã chi trả bồi thường luy kế,II. Số đã chi trả bồi thường luy kế,II. Số đã chi trả bồi thường luy kế,,,,,,,,,,,,
1,II. Số đã chi trả bồi thường luy kế > 1,1,1.866.434,1.992.373,2.424.100,2.757.013,3.146.324,,1866434.0,1992373.0,2424100.0,2757013.0,3146324.0,
2,II. Số đã chi trả bồi thường luy kế > 2,2,2.407.885,2.364.512,3.294.708,3.811.575,-,,2407885.0,2364512.0,3294708.0,3811575.0,,
3,II. Số đã chi trả bồi thường luy kế > 3,3,2.424.751,2.409.102,3.415.379,-,-,,2424751.0,2409102.0,3415379.0,,,
4,II. Số đã chi trả bồi thường luy kế > 4,4,2.459.073,2.470.259,-,-,-,,2459073.0,2470259.0,,,,
5,II. Số đã chi trả bồi thường luy kế > 5,5,2.472.741,-,-,-,-,,2472741.0,,,,,
Số đã chi trả bồi thường luy kếđến năm hiện tại(2),II. Số đã chi trả bồi thường luy kế > Số đã chi trả bồi thường luy kếđến năm hiện tại(2),Số đã chi trả bồi thường luy kếđến năm hiện tại(2),2.472.741,2.470.259,3.415.379,3.811.575,3.146.324,15.316.278,2472741.0,2470259.0,3415379.0,3811575.0,3146324.0,15316278.0
III. Tổng dự phòngbồi thường chưagiải quyết (3) =(1)– (2),II. Số đã chi trả bồi thường luy kế > III. Tổng dự phòngbồi thường chưagiải quyết (3) =(1)– (2),III. Tổng dự phòngbồi thường chưagiải quyết (3) =(1)– (2),17.013,126.294,116.985,399.260,604.944,1.264.496,17013.0,126294.0,116985.0,399260.0,604944.0,1264496.0
IV. Uốc thăng dưhoặc thâm hụtdự phòng bồi thường (4),II. Số đã chi trả bồi thường luy kế > IV. Uốc thăng dưhoặc thâm hụtdự phòng bồi thường (4),IV. Uốc thăng dưhoặc thâm hụtdự phòng bồi thường (4),(236.362),(161.560),(577.999),(176.210),-,,-236362.0,-161560.0,-577999.0,-176210.0,,
V. Tỷ lệ % thăngdự/(thâm hụt) dựphòng trên sốuróc tính chỉ bồi thường(5) = (4)/(1)*100%,II. Số đã chi trả bồi thường luy kế > V. Tỷ lệ % thăngdự/(thâm hụt) dựphòng trên sốuróc tính chỉ bồi thường(5) = (4)/(1)*100%,V. Tỷ lệ % thăngdự/(thâm hụt) dựphòng trên sốuróc tính chỉ bồi thường(5) = (4)/(1)*100%,(9)%,(6)%,(16)%,(4)%,,,-0.09,-0.06,-0.16,-0.04,,
