row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2018 (trình bày lại),Quá hạn,Không xác định kỳ hạn,Đến 01 năm,Từ 01 - 05 năm,Trên 05 năm,Tổng cộng,numeric__Quá hạn,numeric__Không xác định kỳ hạn,numeric__Đến 01 năm,numeric__Từ 01 - 05 năm,numeric__Trên 05 năm,numeric__Tổng cộng
TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,,,,,,
Tiền và các khoản tương đương tiền,TÀI SẢN TÀI CHÍNH > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,-,-,2.159.931,-,-,2.159.931,,,2159931.0,,,2159931.0
Phải thu hoạt động bảo hiểm gốc,TÀI SẢN TÀI CHÍNH > Phải thu hoạt động bảo hiểm gốc,Phải thu hoạt động bảo hiểm gốc,109.498,-,1.292.223,-,-,1.401.721,109498.0,,1292223.0,,,1401721.0
Phải thu tái bảo hiểm,TÀI SẢN TÀI CHÍNH > Phải thu tái bảo hiểm,Phải thu tái bảo hiểm,-,-,734.963,-,-,734.963,,,734963.0,,,734963.0
Tài sản tài bảo hiểm,TÀI SẢN TÀI CHÍNH > Tài sản tài bảo hiểm,Tài sản tài bảo hiểm,-,-,3.342.806,-,-,3.342.806,,,3342806.0,,,3342806.0
Các khoản phải thu khác,TÀI SẢN TÀI CHÍNH > Các khoản phải thu khác,Các khoản phải thu khác,-,-,101.508,-,-,101.508,,,101508.0,,,101508.0
"- Các khoản cầm cố, ký quỹ, ký cược","TÀI SẢN TÀI CHÍNH > - Các khoản cầm cố, ký quỹ, ký cược","- Các khoản cầm cố, ký quỹ, ký cược",-,-,75.839,-,-,75.839,,,75839.0,,,75839.0
- Phải thu cố tức,TÀI SẢN TÀI CHÍNH > - Phải thu cố tức,- Phải thu cố tức,-,-,25.669,-,-,25.669,,,25669.0,,,25669.0
Đầu tư nắm giữ đến ngày đáo hạn,TÀI SẢN TÀI CHÍNH > Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,94.950,-,59.012.956,18.061.372,57.032.700,134.201.978,94950.0,,59012956.0,18061372.0,57032700.0,134201978.0
- Hợp đồng tiến gửi có kỳ hạn,TÀI SẢN TÀI CHÍNH > - Hợp đồng tiến gửi có kỳ hạn,- Hợp đồng tiến gửi có kỳ hạn,-,-,55.075.079,5.555.141,166.566,60.796.786,,,55075079.0,5555141.0,166566.0,60796786.0
- Trái phiếu,TÀI SẢN TÀI CHÍNH > - Trái phiếu,- Trái phiếu,94.950,,3.937.877,12.506.231,56.866.134,73.405.192,94950.0,,3937877.0,12506231.0,56866134.0,73405192.0
Chứng khoán kinh doanh,TÀI SẢN TÀI CHÍNH > Chứng khoán kinh doanh,Chứng khoán kinh doanh,-,2.673.207,161.445,-,-,2.834.652,,2673207.0,161445.0,,,2834652.0
- Cổ phiếu niêm yết,TÀI SẢN TÀI CHÍNH > - Cổ phiếu niêm yết,- Cổ phiếu niêm yết,-,1.659.906,-,-,-,1.659.906,,1659906.0,,,,1659906.0
- Cổ phiếu chưa niêm yết,TÀI SẢN TÀI CHÍNH > - Cổ phiếu chưa niêm yết,- Cổ phiếu chưa niêm yết,-,777.553,-,-,-,777.553,,777553.0,,,,777553.0
- Chứng chỉ quỹ,TÀI SẢN TÀI CHÍNH > - Chứng chỉ quỹ,- Chứng chỉ quỹ,-,235.748,-,-,-,235.748,,235748.0,,,,235748.0
- Trái phiếu,TÀI SẢN TÀI CHÍNH > - Trái phiếu,- Trái phiếu,,,161.445,-,-,161.445,,,161445.0,,,161445.0
Đầu tư tài chính khác,TÀI SẢN TÀI CHÍNH > Đầu tư tài chính khác,Đầu tư tài chính khác,-,212.910,-,-,-,212.910,,212910.0,,,,212910.0
Cho vay và tạm ứng khách hàng,TÀI SẢN TÀI CHÍNH > Cho vay và tạm ứng khách hàng,Cho vay và tạm ứng khách hàng,3.569,-,3.288.615,-,-,3.292.184,3569.0,,3288615.0,,,3292184.0
Các tài sản khác,TÀI SẢN TÀI CHÍNH > Các tài sản khác,Các tài sản khác,6.732,-,441.518,-,-,448.250,6732.0,,441518.0,,,448250.0
TỔNG CỘNG,TÀI SẢN TÀI CHÍNH > TỔNG CỘNG,TỔNG CỘNG,214.749,2.886.117,70.535.965,18.061.372,57.032.700,148.730.903,214749.0,2886117.0,70535965.0,18061372.0,57032700.0,148730903.0
