row_label_raw,row_label_full,col_0,Ngày 31 tháng 12 năm 2019 > Giá gốc,Ngày 31 tháng 12 năm 2019 > Giá trị ghi sổ,Ngày 31 tháng 12 năm 2018 > Giá gốc,Ngày 31 tháng 12 năm 2018 > Giá trị ghi sổ,numeric__Ngày 31 tháng 12 năm 2019 > Giá gốc,numeric__Ngày 31 tháng 12 năm 2019 > Giá trị ghi sổ,numeric__Ngày 31 tháng 12 năm 2018 > Giá gốc,numeric__Ngày 31 tháng 12 năm 2018 > Giá trị ghi sổ
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,
Tiền gửi (i),Ngắn hạn > Tiền gửi (i),Tiền gửi (i),58.913.660.404.237,58.471.060.404.237,51.562.858.719.740,51.120.258.719.740,58913660404237.0,58471060404237.0,51562858719740.0,51120258719740.0
Trái phiếu,Ngắn hạn > Trái phiếu,Trái phiếu,974.752.316.501,300.000.000.000,679.752.316.502,99.950.463.301,974752316501.0,300000000000.0,679752316502.0,99950463301.0
- Trái phiếu doanh nghiệp (iii),Ngắn hạn > - Trái phiếu doanh nghiệp (iii),- Trái phiếu doanh nghiệp (iii),874.752.316.501,200.000.000.000,674.752.316.502,94.950.463.301,874752316501.0,200000000000.0,674752316502.0,94950463301.0
- Trái phiếu Chính phủ (iv),Ngắn hạn > - Trái phiếu Chính phủ (iv),- Trái phiếu Chính phủ (iv),100.000.000.000,100.000.000.000,5.000.000.000,5.000.000.000,100000000000.0,100000000000.0,5000000000.0,5000000000.0
Tạm ứng từ giá trị hoàn lại (v),Ngắn hạn > Tạm ứng từ giá trị hoàn lại (v),Tạm ứng từ giá trị hoàn lại (v),1.740.925.415.433,1.740.925.415.433,1.363.210.866.787,1.363.210.866.787,1740925415433.0,1740925415433.0,1363210866787.0,1363210866787.0
,,,61.629.338.136.171,60.511.985.819.670,53.605.821.903.029,52.583.420.049.828,61629338136171.0,60511985819670.0,53605821903029.0,52583420049828.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,,,
Tiền gửi (ii),Dài hạn > Tiền gửi (ii),Tiền gửi (ii),10.028.466.854.640,10.028.466.854.640,5.319.101.717.666,5.319.101.717.666,10028466854640.0,10028466854640.0,5319101717666.0,5319101717666.0
Trái phiếu (iv),Dài hạn > Trái phiếu (iv),Trái phiếu (iv),32.085.378.307.617,32.085.378.307.617,32.719.331.480.965,32.719.331.480.454,32085378307617.0,32085378307617.0,32719331480965.0,32719331480454.0
- Trái phiếu doanh nghiệp,Dài hạn > - Trái phiếu doanh nghiệp,- Trái phiếu doanh nghiệp,3.456.383.087.895,3.456.383.087.895,3.246.571.453.533,3.246.571.453.022,3456383087895.0,3456383087895.0,3246571453533.0,3246571453022.0
- Trái phiếu Chính phủ,Dài hạn > - Trái phiếu Chính phủ,- Trái phiếu Chính phủ,28.628.995.219.722,28.628.995.219.722,29.472.760.027.432,29.472.760.027.432,28628995219722.0,28628995219722.0,29472760027432.0,29472760027432.0
,,,42.113.845.162.257,42.113.845.162.257,38.038.433.198.631,38.038.433.198.120,42113845162257.0,42113845162257.0,38038433198631.0,38038433198120.0
,,,103.743.183.298.428,102.625.830.981.927,91.644.255.101.660,90.621.853.247.948,103743183298428.0,102625830981927.0,91644255101660.0,90621853247948.0
