row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2018(Trình bày lại),Bảo hiểm nhân thọ,Bảo hiểm phi nhân thọ,Hoạt động tài chính,Hoạt động bất động sản và hoạt động khác,Các bút toán điều chỉnh hợp nhất,Tổng,numeric__Bảo hiểm nhân thọ,numeric__Bảo hiểm phi nhân thọ,numeric__Hoạt động tài chính,numeric__Hoạt động bất động sản và hoạt động khác,numeric__Các bút toán điều chỉnh hợp nhất,numeric__Tổng
TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,,,,,,,,,
Tiền và các khoản tương đương tiền,TÀI SẢN > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,846.650,319.406,734.541,52.476,206.858,2.159.931,846650.0,319406.0,734541.0,52476.0,206858.0,2159931.0
Các khoản phải thu từ hoạt động táibảo hiểm,TÀI SẢN > Các khoản phải thu từ hoạt động táibảo hiểm,Các khoản phải thu từ hoạt động táibảo hiểm,906,734.057,-,-,-,734.963,906.0,734057.0,,,,734963.0
Các khoản phải thu từ hoạt động bảo hiểm,TÀI SẢN > Các khoản phải thu từ hoạt động bảo hiểm,Các khoản phải thu từ hoạt động bảo hiểm,118.568,1.531.933,-,-,(17),1.650.484,118568.0,1531933.0,,,-17.0,1650484.0
Tải sản tái bảo hiểm,TÀI SẢN > Tải sản tái bảo hiểm,Tải sản tái bảo hiểm,-,3.342.806,-,-,-,3.342.806,,3342806.0,,,,3342806.0
Các khoản phải thu khác,TÀI SẢN > Các khoản phải thu khác,Các khoản phải thu khác,3.009.864,261.800,1.020.956,270.883,(1.020.116),3.543.387,3009864.0,261800.0,1020956.0,270883.0,-1020116.0,3543387.0
Đầu tư tài chính,TÀI SẢN > Đầu tư tài chính,Đầu tư tài chính,83.223.687,7.426.497,13.404.240,53.000,(7.695.729),96.411.695,83223687.0,7426497.0,13404240.0,53000.0,-7695729.0,96411695.0
Phải thu về cho vay,TÀI SẢN > Phải thu về cho vay,Phải thu về cho vay,1.111,-,1.699.098,-,20.914,1.721.123,1111.0,,1699098.0,,20914.0,1721123.0
Tải sản cố định hữu hình,TÀI SẢN > Tải sản cố định hữu hình,Tải sản cố định hữu hình,240.496,262.103,371.856,24.334,(56),898.733,240496.0,262103.0,371856.0,24334.0,-56.0,898733.0
Tải sản cố định vô hình,TÀI SẢN > Tải sản cố định vô hình,Tải sản cố định vô hình,270.623,400.998,73.418,14.640,-,759.679,270623.0,400998.0,73418.0,14640.0,,759679.0
Các tài sản khác,TÀI SẢN > Các tài sản khác,Các tài sản khác,225.211,895.341,688.729,143.136,(463),1.951.954,225211.0,895341.0,688729.0,143136.0,-463.0,1951954.0
TỔNG TÀI SẢN,TÀI SẢN > TỔNG TÀI SẢN,TỔNG TÀI SẢN,87.937.116,15.174.941,17.992.838,558.469,(8.488.609),113.174.755,87937116.0,15174941.0,17992838.0,558469.0,-8488609.0,113174755.0
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,,,,,,,,,,,,
Nợ ngắn hạn,NỘ PHẢI TRẢ > Nợ ngắn hạn,Nợ ngắn hạn,20.358.447,4.255.591,1.141.209,254.350,(210.268),25.799.329,20358447.0,4255591.0,1141209.0,254350.0,-210268.0,25799329.0
Nợ dài hạn,NỘ PHẢI TRẢ > Nợ dài hạn,Nợ dài hạn,63.317.416,8.123.045,453.441,15.550,(9.998),71.899.454,63317416.0,8123045.0,453441.0,15550.0,-9998.0,71899454.0
TỔNG NỘ PHẢI TRẢ,NỘ PHẢI TRẢ > TỔNG NỘ PHẢI TRẢ,TỔNG NỘ PHẢI TRẢ,83.675.863,12.378.636,1.594.650,269.900,(220.266),97.698.783,83675863.0,12378636.0,1594650.0,269900.0,-220266.0,97698783.0
NGUỒN VỐN CHỦ SỞ HỮU,NỘ PHẢI TRẢ > NGUỒN VỐN CHỦ SỞ HỮU,NGUỒN VỐN CHỦ SỞ HỮU,4.261.253,2.796.305,16.398.188,288.569,(8.268.343),15.475.972,4261253.0,2796305.0,16398188.0,288569.0,-8268343.0,15475972.0
TỔNG NGUỒN VỐN,NỘ PHẢI TRẢ > TỔNG NGUỒN VỐN,TỔNG NGUỒN VỐN,87.937.116,15.174.941,17.992.838,558.469,(8.488.609),113.174.755,87937116.0,15174941.0,17992838.0,558469.0,-8488609.0,113174755.0
