row_label_raw,row_label_full,col_0,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019 VND,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018 (trình bày lại) VND,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019 VND,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018 (trình bày lại) VND
Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,1.511.728.184.609,1.421.948.961.404,1511728184609.0,1421948961404.0
Các điều chỉnh lợi nhuận theo kế toán,Các điều chỉnh lợi nhuận theo kế toán,Các điều chỉnh lợi nhuận theo kế toán,Các điều chỉnh lợi nhuận theo kế toán,Các điều chỉnh lợi nhuận theo kế toán,,
Các khoản điều chỉnh tăng,Các khoản điều chỉnh tăng,Các khoản điều chỉnh tăng,Các khoản điều chỉnh tăng,Các khoản điều chỉnh tăng,,
- Chênh lệch tạm thời chi phí dự phòng tài chính,Các khoản điều chỉnh tăng > - Chênh lệch tạm thời chi phí dự phòng tài chính,- Chênh lệch tạm thời chi phí dự phòng tài chính,94.950.463.300,94.950.463.300,94950463300.0,94950463300.0
- Hoa hồng dự trả ước tính năm nay,Các khoản điều chỉnh tăng > - Hoa hồng dự trả ước tính năm nay,- Hoa hồng dự trả ước tính năm nay,40.571.517.321,44.855.592.961,40571517321.0,44855592961.0
- Hoàn nhập lãi do đánh giá chênh lệch tỷ giá năm trước,Các khoản điều chỉnh tăng > - Hoàn nhập lãi do đánh giá chênh lệch tỷ giá năm trước,- Hoàn nhập lãi do đánh giá chênh lệch tỷ giá năm trước,7.353.581.873,6.424.880.056,7353581873.0,6424880056.0
- Chi phí không hợp lệ cho mục đích tính thuế,Các khoản điều chỉnh tăng > - Chi phí không hợp lệ cho mục đích tính thuế,- Chi phí không hợp lệ cho mục đích tính thuế,103.118.396.915,22.259.224.157,103118396915.0,22259224157.0
Các khoản điều chỉnh giảm,Các khoản điều chỉnh giảm,Các khoản điều chỉnh giảm,Các khoản điều chỉnh giảm,Các khoản điều chỉnh giảm,,
"- Thu nhập không chịu thuế từ cổ tức, lợi nhuận được chia","Các khoản điều chỉnh giảm > - Thu nhập không chịu thuế từ cổ tức, lợi nhuận được chia","- Thu nhập không chịu thuế từ cổ tức, lợi nhuận được chia",(140.884.402.311),(122.920.519.814),-140884402311.0,-122920519814.0
- Hoàn nhập hoa hồng dự trả ước tính năm trước,Các khoản điều chỉnh giảm > - Hoàn nhập hoa hồng dự trả ước tính năm trước,- Hoàn nhập hoa hồng dự trả ước tính năm trước,(44.855.592.961),(35.938.319.003),-44855592961.0,-35938319003.0
- Hoàn nhập chênh lệch tạm thời chi phí dự phòng tài chính chưa được trừ các năm trước,Các khoản điều chỉnh giảm > - Hoàn nhập chênh lệch tạm thời chi phí dự phòng tài chính chưa được trừ các năm trước,- Hoàn nhập chênh lệch tạm thời chi phí dự phòng tài chính chưa được trừ các năm trước,(94.950.463.300),(148.950.463.300),-94950463300.0,-148950463300.0
- Lãi chênh lệch tỷ giá do đánh giá chênh lệch tỷ giá cuối năm,Các khoản điều chỉnh giảm > - Lãi chênh lệch tỷ giá do đánh giá chênh lệch tỷ giá cuối năm,- Lãi chênh lệch tỷ giá do đánh giá chênh lệch tỷ giá cuối năm,(561.240.708),(7.353.581.873),-561240708.0,-7353581873.0
- Các khoản hoàn nhập dự phòng sử dụng phương pháp đánh giá nội bộ,Các khoản điều chỉnh giảm > - Các khoản hoàn nhập dự phòng sử dụng phương pháp đánh giá nội bộ,- Các khoản hoàn nhập dự phòng sử dụng phương pháp đánh giá nội bộ,(24.257.298.493),(6.118.474.850),-24257298493.0,-6118474850.0
- Hoàn nhập chi phí chưa được khấu trừ năm trước,Các khoản điều chỉnh giảm > - Hoàn nhập chi phí chưa được khấu trừ năm trước,- Hoàn nhập chi phí chưa được khấu trừ năm trước,-,(221.147.465),,-221147465.0
Các khoản không chịu thuế phát sinh tử các bút toán điều chỉnh hợp nhất,Các khoản điều chỉnh giảm > Các khoản không chịu thuế phát sinh tử các bút toán điều chỉnh hợp nhất,Các khoản không chịu thuế phát sinh tử các bút toán điều chỉnh hợp nhất,(37.775.552.441),(48.810.820.165),-37775552441.0,-48810820165.0
Các khoản lỗ không tính thuế,Các khoản điều chỉnh giảm > Các khoản lỗ không tính thuế,Các khoản lỗ không tính thuế,-,(162.455.131),,-162455131.0
Các khoản không chịu thuế,Các khoản điều chỉnh giảm > Các khoản không chịu thuế,Các khoản không chịu thuế,(66.751.676.683),(83.123.320.561),-66751676683.0,-83123320561.0
Tổng điều chỉnh đối với lợi nhuận trước thuế,Các khoản điều chỉnh giảm > Tổng điều chỉnh đối với lợi nhuận trước thuế,Tổng điều chỉnh đối với lợi nhuận trước thuế,(164.042.267.488),(285.108.941.688),-164042267488.0,-285108941688.0
"Thu nhập chịu thuế (""TNCT"") ước tinh","Các khoản điều chỉnh giảm > Thu nhập chịu thuế (""TNCT"") ước tinh","Thu nhập chịu thuế (""TNCT"") ước tinh",1.347.685.917.121,1.136.840.019.716,1347685917121.0,1136840019716.0
- TNCT chịu thuế suất 10%,Các khoản điều chỉnh giảm > - TNCT chịu thuế suất 10%,- TNCT chịu thuế suất 10%,461.657.392,614.500.743,461657392.0,614500743.0
- TNCT chịu thuế suất 20%,Các khoản điều chỉnh giảm > - TNCT chịu thuế suất 20%,- TNCT chịu thuế suất 20%,1.347.224.259.729,1.136.225.518.973,1347224259729.0,1136225518973.0
Thuế TNDN hiện hành ước tính trong năm,Các khoản điều chỉnh giảm > Thuế TNDN hiện hành ước tính trong năm,Thuế TNDN hiện hành ước tính trong năm,269.491.017.684,227.306.553.869,269491017684.0,227306553869.0
Điều chỉnh số thuế phải nộp của các kỳ trước theo quyết định của cơ quan thuế,Các khoản điều chỉnh giảm > Điều chỉnh số thuế phải nộp của các kỳ trước theo quyết định của cơ quan thuế,Điều chỉnh số thuế phải nộp của các kỳ trước theo quyết định của cơ quan thuế,202.419.638,10.888.317.889,202419638.0,10888317889.0
Thuế TNDN ước tính trong năm,Các khoản điều chỉnh giảm > Thuế TNDN ước tính trong năm,Thuế TNDN ước tính trong năm,269.693.437.322,238.194.871.758,269693437322.0,238194871758.0
Thuế TNDN phải trả đầu năm,Các khoản điều chỉnh giảm > Thuế TNDN phải trả đầu năm,Thuế TNDN phải trả đầu năm,43.423.087.220,76.661.641.046,43423087220.0,76661641046.0
Điều chỉnh số thuế phải nộp của các kỳ trước theo quyết định của cơ quan thuế,Các khoản điều chỉnh giảm > Điều chỉnh số thuế phải nộp của các kỳ trước theo quyết định của cơ quan thuế,Điều chỉnh số thuế phải nộp của các kỳ trước theo quyết định của cơ quan thuế,230.889.281,-,230889281.0,
Thuế TNDN đã trả trong năm,Các khoản điều chỉnh giảm > Thuế TNDN đã trả trong năm,Thuế TNDN đã trả trong năm,(270.336.852.298),(271.433.425.584),-270336852298.0,-271433425584.0
Thuế TNDN phải trả cuối năm,Các khoản điều chỉnh giảm > Thuế TNDN phải trả cuối năm,Thuế TNDN phải trả cuối năm,43.010.561.525,43.423.087.220,43010561525.0,43423087220.0
