row_label_raw,row_label_full,col_0,Vốn góp củachủ sở hữuVND,Thăng dưvốn cổ phầnVND,Chênh lệchtỷ giá hồi đoai (*)VND,Quỹ đầu tưphát trên vàdự phòng tài chínhVND,Quỹ khác thuộc vốnchủ sở hữu (**)VND,Lợi nhuậnsau thuếchưa phân phốiVND,Quỹ dự trữbắt buộc hoạt độngbảo hiểmVND,Lợi ích cổ đôngkhông kiểm soátVND,Tổng cộngVND,numeric__Vốn góp củachủ sở hữuVND,numeric__Thăng dưvốn cổ phầnVND,numeric__Chênh lệchtỷ giá hồi đoai (*)VND,numeric__Quỹ đầu tưphát trên vàdự phòng tài chínhVND,numeric__Quỹ khác thuộc vốnchủ sở hữu (**)VND,numeric__Lợi nhuậnsau thuếchưa phân phốiVND,numeric__Quỹ dự trữbắt buộc hoạt độngbảo hiểmVND,numeric__Lợi ích cổ đôngkhông kiểm soátVND,numeric__Tổng cộngVND
Tại ngày 01 tháng 01năm 2019 (trình bày lại),Tại ngày 01 tháng 01năm 2019 (trình bày lại),Tại ngày 01 tháng 01năm 2019 (trình bày lại),7.008.864.340.000,3.713.080.881.197,15.445.192.000,631.338.501.669,103.568.802.818,2.882.690.188.748(700.886.434.000),428.207.527.672,692.776.454.627,15.475.971.888.731(700.886.434.000),7008864340000.0,3713080881197.0,15445192000.0,631338501669.0,103568802818.0,,428207527672.0,692776454627.0,
Cổ tức chia cho cổ đôngphúc lợi,Cổ tức chia cho cổ đôngphúc lợi,Cổ tức chia cho cổ đôngphúc lợi,-,-,-,-,-,(89.584.007.817),-,(2.849.500.389),(92.433.508.206),,,,,,-89584007817.0,,-2849500389.0,-92433508206.0
Của công ty me (***),Của công ty me (***),Của công ty me (***),-,-,-,-,-,(32.760.910.000),-,-,(32.760.910.000),,,,,,-32760910000.0,,,-32760910000.0
Của các công ty con,Của các công ty con,Của các công ty con,-,-,-,-,-,(56.823.097.817),-,(2.849.500.389),(59.672.598.206),,,,,,-56823097817.0,,-2849500389.0,-59672598206.0
Trích quỹ phục vụ hoạtđồng An sinh xã hội,Trích quỹ phục vụ hoạtđồng An sinh xã hội,Trích quỹ phục vụ hoạtđồng An sinh xã hội,-,-,-,-,-,(10.519.000.000),-,-,(10.519.000.000),,,,,,-10519000000.0,,,-10519000000.0
Của công ty me (***),Của công ty me (***),Của công ty me (***),-,-,-,-,-,(10.519.000.000),-,-,(10.519.000.000),,,,,,-10519000000.0,,,-10519000000.0
Trích lập quỹ đầu tư pháttriển,Trích lập quỹ đầu tư pháttriển,Trích lập quỹ đầu tư pháttriển,-,-,-,158.266.176.902,-,(158.266.176.902),-,-,-,,,,158266176902.0,,-158266176902.0,,,
Của công ty me (***),Của công ty me (***),Của công ty me (***),-,-,-,157.780.000.000,-,(157.780.000.000),-,-,-,,,,157780000000.0,,-157780000000.0,,,
Của các công ty con,Của các công ty con,Của các công ty con,-,-,-,486.176.902,-,(486.176.902),-,-,-,,,,486176902.0,,-486176902.0,,,
Tăng vốn trong năm,Tăng vốn trong năm,Tăng vốn trong năm,414.363.300.000,3.597.377.861.610,,,,,-,-,4.011.741.161.610,414363300000.0,3597377861610.0,,,,,,,4011741161610.0
Lợi nhuận tăng trong nămChi trả thu lao Hội đồngQuản trị và Ban Kiểm soátcủa Tập đoàn và các Côngty con,Lợi nhuận tăng trong nămChi trả thu lao Hội đồngQuản trị và Ban Kiểm soátcủa Tập đoàn và các Côngty con,Lợi nhuận tăng trong nămChi trả thu lao Hội đồngQuản trị và Ban Kiểm soátcủa Tập đoàn và các Côngty con,-,-,-,-,-,1.188.459.508.500,-,54.245.111.082,1.242.704.619.582,,,,,,1188459508500.0,,54245111082.0,1242704619582.0
Trích lập các quỹ dự trữ,Trích lập các quỹ dự trữ,Trích lập các quỹ dự trữ,-,-,-,11.716.730.428,-,(3.402.222.240),-,-,(3.402.222.240),,,,11716730428.0,,-3402222240.0,,,-3402222240.0
Cổ tức chia cho cổ đôngkhông kiểm soát,Cổ tức chia cho cổ đôngkhông kiểm soát,Cổ tức chia cho cổ đôngkhông kiểm soát,-,-,-,-,-,(59.737.036.389),48.020.305.961,-,-,,,,,,-59737036389.0,48020305961.0,,
Giảm khác,Giảm khác,Giảm khác,-,-,-,-,-,(11.567.587.447),-,(8.675.685.600),(8.675.685.600),,,,,,-11567587447.0,,-8675685600.0,-8675685600.0
Tại ngày 31 tháng 12năm 2019,Tại ngày 31 tháng 12năm 2019,Tại ngày 31 tháng 12năm 2019,7.423.227.640.000,7.310.458.742.807,15.445.192.000,801.321.408.999,103.568.802.818,3.037.187.232.453,476.227.833.633,735.171.665.904,19.902.608.518.614,7423227640000.0,7310458742807.0,15445192000.0,801321408999.0,103568802818.0,3037187232453.0,476227833633.0,735171665904.0,19902608518614.0
