row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2019,Quá hạn,Không xác định kỳ hạn,Đến 01 năm,Từ 01 - 05 năm,Trên 05 năm,Tổng cộng,numeric__Quá hạn,numeric__Không xác định kỳ hạn,numeric__Đến 01 năm,numeric__Từ 01 - 05 năm,numeric__Trên 05 năm,numeric__Tổng cộng
TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,,,,,,
Tiền và các khoản tương đương tiền,TÀI SẢN TÀI CHÍNH > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,-,-,4.742.602,-,-,4.742.602,,,4742602.0,,,4742602.0
Phải thu hoạt động bảo hiểm gốc,TÀI SẢN TÀI CHÍNH > Phải thu hoạt động bảo hiểm gốc,Phải thu hoạt động bảo hiểm gốc,62.987,-,1.528.120,-,-,1.591.107,62987.0,,1528120.0,,,1591107.0
Phải thu tái bảo hiểm,TÀI SẢN TÀI CHÍNH > Phải thu tái bảo hiểm,Phải thu tái bảo hiểm,-,-,909.630,-,-,909.630,,,909630.0,,,909630.0
Tài sản tái bảo hiểm,TÀI SẢN TÀI CHÍNH > Tài sản tái bảo hiểm,Tài sản tái bảo hiểm,-,-,3.041.375,-,-,3.041.375,,,3041375.0,,,3041375.0
Các khoản phải thu khác,TÀI SẢN TÀI CHÍNH > Các khoản phải thu khác,Các khoản phải thu khác,-,-,68.012,-,-,68.012,,,68012.0,,,68012.0
"- Các khoản cầm cố, ký quỹ, ký cược","TÀI SẢN TÀI CHÍNH > - Các khoản cầm cố, ký quỹ, ký cược","- Các khoản cầm cố, ký quỹ, ký cược",-,-,64.044,-,-,64.044,,,64044.0,,,64044.0
- Phải thu cố tức,TÀI SẢN TÀI CHÍNH > - Phải thu cố tức,- Phải thu cố tức,-,-,3.968,-,-,3.968,,,3968.0,,,3968.0
Đầu tư nắm giữ đến ngày đáo hạn,TÀI SẢN TÀI CHÍNH > Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,-,-,67.499.226,22.559.513,54.169.486,144.228.225,,,67499226.0,22559513.0,54169486.0,144228225.0
- Hợp đồng tiên gửi có kỳ hạn,TÀI SẢN TÀI CHÍNH > - Hợp đồng tiên gửi có kỳ hạn,- Hợp đồng tiên gửi có kỳ hạn,-,-,63.169.049,10.885.258,150.500,74.204.807,,,63169049.0,10885258.0,150500.0,74204807.0
- Trái phiếu,TÀI SẢN TÀI CHÍNH > - Trái phiếu,- Trái phiếu,-,-,4.330.177,11.674.255,54.018.986,70.023.418,,,4330177.0,11674255.0,54018986.0,70023418.0
Chứng khoán kinh doanh,TÀI SẢN TÀI CHÍNH > Chứng khoán kinh doanh,Chứng khoán kinh doanh,-,2.318.679,268.454,-,-,2.587.133,,2318679.0,268454.0,,,2587133.0
- Cổ phiếu niêm yết,TÀI SẢN TÀI CHÍNH > - Cổ phiếu niêm yết,- Cổ phiếu niêm yết,-,1.531.584,-,-,-,1.531.584,,1531584.0,,,,1531584.0
- Cổ phiếu chưa niêm yết,TÀI SẢN TÀI CHÍNH > - Cổ phiếu chưa niêm yết,- Cổ phiếu chưa niêm yết,-,541.299,-,-,-,541.299,,541299.0,,,,541299.0
- Chứng chỉ quỹ,TÀI SẢN TÀI CHÍNH > - Chứng chỉ quỹ,- Chứng chỉ quỹ,-,245.796,-,-,-,245.796,,245796.0,,,,245796.0
- Trái phiếu,TÀI SẢN TÀI CHÍNH > - Trái phiếu,- Trái phiếu,-,-,268.454,-,-,268.454,,,268454.0,,,268454.0
Đầu tư tài chính khác,TÀI SẢN TÀI CHÍNH > Đầu tư tài chính khác,Đầu tư tài chính khác,-,598.177,-,-,-,598.177,,598177.0,,,,598177.0
Cho vay và tạm ứng khách hàng,TÀI SẢN TÀI CHÍNH > Cho vay và tạm ứng khách hàng,Cho vay và tạm ứng khách hàng,3.472,-,3.482.161,-,-,3.485.633,3472.0,,3482161.0,,,3485633.0
Các tài sản khác,TÀI SẢN TÀI CHÍNH > Các tài sản khác,Các tài sản khác,6.942,-,243.942,-,-,250.884,6942.0,,243942.0,,,250884.0
TỔNG CỘNG,TÀI SẢN TÀI CHÍNH > TỔNG CỘNG,TỔNG CỘNG,73.401,2.916.856,81.783.522,22.559.513,54.169.486,161.502.778,73401.0,2916856.0,81783522.0,22559513.0,54169486.0,161502778.0
