row_label_raw,row_label_full,31/12/2022,Tài sản của bộ phận > Nguyên giáTSCĐ HH,Tài sản của bộ phận > Hao mòn lũy kế,Tài sản của bộ phận > Nợ phải thu,Tài sản của bộ phận > Tổng tài sản,Tài sản của bộ phận > Nợ phải trả,Khấu hao TSCĐNăm 2022,numeric__Tài sản của bộ phận > Nguyên giáTSCĐ HH,numeric__Tài sản của bộ phận > Hao mòn lũy kế,numeric__Tài sản của bộ phận > Nợ phải thu,numeric__Tài sản của bộ phận > Tổng tài sản,numeric__Tài sản của bộ phận > Nợ phải trả,numeric__Khấu hao TSCĐNăm 2022
Hoạt động SXKD sản phẩm Đường,Hoạt động SXKD sản phẩm Đường,Hoạt động SXKD sản phẩm Đường,3.682.654.401.617,(1.675.938.341.507),391.795.284.492,2.748.032.113.881,118.271.000.914,217.128.616.155,3682654401617.0,-1675938341507.0,391795284492.0,2748032113881.0,118271000914.0,217128616155.0
Hoạt động SXKD sản phẩm Sữa đậu nành,Hoạt động SXKD sản phẩm Sữa đậu nành,Hoạt động SXKD sản phẩm Sữa đậu nành,2.083.135.588.367,(1.752.374.563.181),70.153.971.204,890.797.413.326,181.025.581.868,91.579.656.068,2083135588367.0,-1752374563181.0,70153971204.0,890797413326.0,181025581868.0,91579656068.0
Họat động SXKD khác,Họat động SXKD khác,Họat động SXKD khác,3.285.699.891.742,(1.717.712.998.697),125.285.636.741,7.424.112.840.946,2.631.004.428.719,175.327.981.814,3285699891742.0,-1717712998697.0,125285636741.0,7424112840946.0,2631004428719.0,175327981814.0
Tổng cộng,Tổng cộng,Tổng cộng,9.051.489.881.726,(5.146.025.903.385),587.234.892.437,11.062.942.368.153,2.930.301.011.501,484.036.254.037,9051489881726.0,-5146025903385.0,587234892437.0,11062942368153.0,2930301011501.0,484036254037.0
01/01/2022,01/01/2022,01/01/2022,Tài sản của bộ phận,Tài sản của bộ phận,Tài sản của bộ phận,Tài sản của bộ phận,Tài sản của bộ phận,Khấu hao TSCĐNăm 2021,,,,,,
01/01/2022,01/01/2022,01/01/2022,Nguyên giáTSCĐ HH,Hao mòn lũy kế,Nợ phải thu,Tổng tài sản,Nợ phải trả,Khấu hao TSCĐNăm 2021,,,,,,
Hoạt động SXKD sản phẩm Đường,01/01/2022 > Hoạt động SXKD sản phẩm Đường,Hoạt động SXKD sản phẩm Đường,3.639.223.609.182,(1.458.809.725.352),234.634.968.416,2.802.246.134.914,36.160.186.565,188.948.384.371,3639223609182.0,-1458809725352.0,234634968416.0,2802246134914.0,36160186565.0,188948384371.0
Hoạt động SXKD sản phẩm Sữa đậu nành,01/01/2022 > Hoạt động SXKD sản phẩm Sữa đậu nành,Hoạt động SXKD sản phẩm Sữa đậu nành,2.032.985.805.328,(1.663.447.075.803),59.863.679.084,872.686.010.090,185.249.785.286,128.348.325.379,2032985805328.0,-1663447075803.0,59863679084.0,872686010090.0,185249785286.0,128348325379.0
Họat động SXKD khác,01/01/2022 > Họat động SXKD khác,Họat động SXKD khác,3.267.202.038.480,(1.543.678.266.712),92.069.951.776,6.999.771.771.889,2.663.665.848.684,151.706.711.813,3267202038480.0,-1543678266712.0,92069951776.0,6999771771889.0,2663665848684.0,151706711813.0
Tổng cộng,01/01/2022 > Tổng cộng,Tổng cộng,8.939.411.452.990,(4.665.935.067.867),386.568.599.276,10.674.703.916.893,2.885.075.820.535,469.003.421.563,8939411452990.0,-4665935067867.0,386568599276.0,10674703916893.0,2885075820535.0,469003421563.0
