row_label_raw,row_label_full,Bên liên quan,Giao dịch,Năm 2022,Năm 2021,numeric__Giao dịch,numeric__Năm 2022,numeric__Năm 2021
Công ty TNHH MTV Thương mại Thành Phát,Công ty TNHH MTV Thương mại Thành Phát,Công ty TNHH MTV Thương mại Thành Phát,Công ty TNHH MTV Thương mại Thành Phát,Công ty TNHH MTV Thương mại Thành Phát,Công ty TNHH MTV Thương mại Thành Phát,,,
,,,Nhận lợi nhuận,139.734.728.957,168.364.868.458,,139734728957.0,168364868458.0
,,,Trả cổ tức,166.603.815.000,138.836.512.500,,166603815000.0,138836512500.0
,,,"Mua hàng hóa, dịch vụ",17.558.854.839,17.382.491.988,,17558854839.0,17382491988.0
,,,"Bán hàng hóa, dịch vụ",1.546.244.286.287,1.144.377.971.613,,1546244286287.0,1144377971613.0
Công ty TNHH Một thành viên Phúc Thịnh,Công ty TNHH Một thành viên Phúc Thịnh,Công ty TNHH Một thành viên Phúc Thịnh,Công ty TNHH Một thành viên Phúc Thịnh,Công ty TNHH Một thành viên Phúc Thịnh,Công ty TNHH Một thành viên Phúc Thịnh,,,
,,,"Mua vật tư; thuê ngoài bảo trì, sửa chữa, bảo dưỡng hệ thống phòng cháy chữa cháy",125.779.363,209.654.200,,125779363.0,209654200.0
Ngô Vũ Phương Giang,Ngô Vũ Phương Giang,Ngô Vũ Phương Giang,Ngô Vũ Phương Giang,Ngô Vũ Phương Giang,Ngô Vũ Phương Giang,,,
,,,Mua dịch vụ tư vấn với vai trò chuyên gia tư vấn truyền thông,266.666.664,288.888.887,,266666664.0,288888887.0
Công ty TNHH Một thành viên Kinh doanh dịch vụ Hồng Vân,Công ty TNHH Một thành viên Kinh doanh dịch vụ Hồng Vân,Công ty TNHH Một thành viên Kinh doanh dịch vụ Hồng Vân,Công ty TNHH Một thành viên Kinh doanh dịch vụ Hồng Vân,Công ty TNHH Một thành viên Kinh doanh dịch vụ Hồng Vân,Công ty TNHH Một thành viên Kinh doanh dịch vụ Hồng Vân,,,
,,,Thuê dịch vụ phòng nghỉ và vận chuyển hành khách,34.388.891,-,,34388891.0,
