row_label_raw,row_label_full,Bảo cáo bộ phận theo hoạt động kinh doanh,Sân phẩm đường,Sân phẩm đường_1,Sân phẩm Sữa đậu nành,Sân phẩm Sữa đậu nành_1,Khác,Khác_1,Tổng cộng,Tổng cộng_1,numeric__Sân phẩm đường,numeric__Sân phẩm đường_1,numeric__Sân phẩm Sữa đậu nành,numeric__Sân phẩm Sữa đậu nành_1,numeric__Khác,numeric__Khác_1,numeric__Tổng cộng,numeric__Tổng cộng_1
Bảo cáo bộ phận theo hoạt động kinh doanh,Bảo cáo bộ phận theo hoạt động kinh doanh,Bảo cáo bộ phận theo hoạt động kinh doanh,Năm 2022,Năm 2021,Năm 2022,Năm 2021,Năm 2022,Năm 2021,Năm 2022,Năm 2021,,,,,,,,
Doanh thu bộ phận,Bảo cáo bộ phận theo hoạt động kinh doanh > Doanh thu bộ phận,Doanh thu bộ phận,1.972.671.994.636,1.583.711.923.218,4.304.575.061.040,4.090.749.390.592,1.704.243.625.410,1.400.233.560.264,7.981.490.681.086,7.074.694.874.074,1972671994636.0,1583711923218.0,4304575061040.0,4090749390592.0,1704243625410.0,1400233560264.0,7981490681086.0,7074694874074.0
Giá vốn bộ phận,Bảo cáo bộ phận theo hoạt động kinh doanh > Giá vốn bộ phận,Giá vốn bộ phận,1.597.910.424.195,1.212.061.556.948,2.552.542.240.898,2.444.966.193.800,1.398.031.977.106,1.179.588.096.894,5.548.484.642.199,4.836.615.847.642,1597910424195.0,1212061556948.0,2552542240898.0,2444966193800.0,1398031977106.0,1179588096894.0,5548484642199.0,4836615847642.0
Lợi nhuận gộp,Bảo cáo bộ phận theo hoạt động kinh doanh > Lợi nhuận gộp,Lợi nhuận gộp,374.761.570.441,371.650.366.270,1.752.032.820.142,1.645.783.196.792,306.211.648.304,220.645.463.370,2.433.006.038.887,2.238.079.026.432,374761570441.0,371650366270.0,1752032820142.0,1645783196792.0,306211648304.0,220645463370.0,2433006038887.0,2238079026432.0
Doanh thu hoạt động tài chính,Bảo cáo bộ phận theo hoạt động kinh doanh > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,,330.772.924.133,311.264.421.580,,,,,,,330772924133.0,311264421580.0
Chi phí tài chính,Bảo cáo bộ phận theo hoạt động kinh doanh > Chi phí tài chính,Chi phí tài chính,,,,,,,83.722.680.028,66.281.156.486,,,,,,,83722680028.0,66281156486.0
Chi phí bán hàng,Bảo cáo bộ phận theo hoạt động kinh doanh > Chi phí bán hàng,Chi phí bán hàng,,,,,,,844.974.401.832,674.749.675.598,,,,,,,844974401832.0,674749675598.0
Chi phí quản lý doanh nghiệp,Bảo cáo bộ phận theo hoạt động kinh doanh > Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,,,,,,229.538.554.955,249.868.959.881,,,,,,,229538554955.0,249868959881.0
Lợi nhuận thuần từ hoạt động kinh doanh,Bảo cáo bộ phận theo hoạt động kinh doanh > Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,,,,,,,1.605.543.326.205,1.558.443.656.047,,,,,,,1605543326205.0,1558443656047.0
Thu nhập khác,Bảo cáo bộ phận theo hoạt động kinh doanh > Thu nhập khác,Thu nhập khác,,,,,,,43.968.955.633,53.728.595.569,,,,,,,43968955633.0,53728595569.0
Chi phí khác,Bảo cáo bộ phận theo hoạt động kinh doanh > Chi phí khác,Chi phí khác,,,,,,,4.593.899.324,6.819.431.844,,,,,,,4593899324.0,6819431844.0
Lợi nhuận khác,Bảo cáo bộ phận theo hoạt động kinh doanh > Lợi nhuận khác,Lợi nhuận khác,,,,,,,39.375.056.309,46.909.163.725,,,,,,,39375056309.0,46909163725.0
Lợi nhuận trước thuế,Bảo cáo bộ phận theo hoạt động kinh doanh > Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,,,,,1.644.918.382.514,1.605.352.819.772,,,,,,,1644918382514.0,1605352819772.0
Thuế TNDN,Bảo cáo bộ phận theo hoạt động kinh doanh > Thuế TNDN,Thuế TNDN,,,,,,,218.549.615.435,185.105.855.326,,,,,,,218549615435.0,185105855326.0
Lợi nhuận sau thuế TNDN,Bảo cáo bộ phận theo hoạt động kinh doanh > Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,,,,,,,1.426.368.767.079,1.420.246.964.446,,,,,,,1426368767079.0,1420246964446.0
