row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Năm 2022 VND,Năm 2021 VND,numeric__Mã số,numeric__Năm 2022 VND,numeric__Năm 2021 VND
I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,,,
Lợi nhuận trước thuế,I. Lưu chuyển tiền từ hoạt động kinh doanh > Lợi nhuận trước thuế,Lợi nhuận trước thuế,01,1.644.918.382.514,1.605.352.819.772,1.0,1644918382514.0,1605352819772.0
Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,,,
Khẩu hao Tài sản cố định và phân bổ tiền thuê đất,Điều chỉnh cho các khoản > Khẩu hao Tài sản cố định và phân bổ tiền thuê đất,Khẩu hao Tài sản cố định và phân bổ tiền thuê đất,02,489.471.207.119,473.763.564.458,2.0,489471207119.0,473763564458.0
Các khoản dự phòng,Điều chỉnh cho các khoản > Các khoản dự phòng,Các khoản dự phòng,03,931.599.178,3.436.759.132,3.0,931599178.0,3436759132.0
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","Điều chỉnh cho các khoản > Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",04,(1.760.938.648),(120.747.728),4.0,-1760938648.0,-120747728.0
"Lãi, lỗ từ hoạt động đầu tư","Điều chỉnh cho các khoản > Lãi, lỗ từ hoạt động đầu tư","Lãi, lỗ từ hoạt động đầu tư",05,(298.926.954.328),(301.628.478.108),5.0,-298926954328.0,-301628478108.0
Chi phí lãi vay,Điều chỉnh cho các khoản > Chi phí lãi vay,Chi phí lãi vay,06,83.170.019.490,65.880.925.449,6.0,83170019490.0,65880925449.0
Các khoản điều chỉnh khác,Điều chỉnh cho các khoản > Các khoản điều chỉnh khác,Các khoản điều chỉnh khác,07,-,50.000.000.000,7.0,,50000000000.0
Lợi nhuận từ HĐKD trước thay đổi vốn lưu động,Điều chỉnh cho các khoản > Lợi nhuận từ HĐKD trước thay đổi vốn lưu động,Lợi nhuận từ HĐKD trước thay đổi vốn lưu động,08,1.917.803.315.325,1.896.684.842.975,8.0,1917803315325.0,1896684842975.0
"Tăng, giảm các khoản phải thu","Điều chỉnh cho các khoản > Tăng, giảm các khoản phải thu","Tăng, giảm các khoản phải thu",09,(194.447.753.828),(122.760.214.882),9.0,-194447753828.0,-122760214882.0
"Tăng, giảm hàng tồn kho","Điều chỉnh cho các khoản > Tăng, giảm hàng tồn kho","Tăng, giảm hàng tồn kho",10,(128.962.947.734),25.006.942.052,10.0,-128962947734.0,25006942052.0
"Tăng, giảm các khoản phải trả","Điều chỉnh cho các khoản > Tăng, giảm các khoản phải trả","Tăng, giảm các khoản phải trả",11,125.911.568.929,(21.279.545.476),11.0,125911568929.0,-21279545476.0
"Tăng, giảm chi phí trả trước","Điều chỉnh cho các khoản > Tăng, giảm chi phí trả trước","Tăng, giảm chi phí trả trước",12,(52.453.337.555),2.101.725.494,12.0,-52453337555.0,2101725494.0
Tiền lãi vay đã trả,Điều chỉnh cho các khoản > Tiền lãi vay đã trả,Tiền lãi vay đã trả,14,(82.326.985.855),(65.676.720.111),14.0,-82326985855.0,-65676720111.0
Thuế thu nhập doanh nghiệp đã nộp,Điều chỉnh cho các khoản > Thuế thu nhập doanh nghiệp đã nộp,Thuế thu nhập doanh nghiệp đã nộp,15,(153.769.341.477),(250.281.179.789),15.0,-153769341477.0,-250281179789.0
Tiền chi khác từ hoạt động kinh doanh,Điều chỉnh cho các khoản > Tiền chi khác từ hoạt động kinh doanh,Tiền chi khác từ hoạt động kinh doanh,17,(19.894.849.973),(15.184.289.853),17.0,-19894849973.0,-15184289853.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,Điều chỉnh cho các khoản > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,1.411.859.667.832,1.448.611.560.410,20.0,1411859667832.0,1448611560410.0
II. Lưu chuyển tiền từ hoạt động đầu tư,II. Lưu chuyển tiền từ hoạt động đầu tư,II. Lưu chuyển tiền từ hoạt động đầu tư,II. Lưu chuyển tiền từ hoạt động đầu tư,II. Lưu chuyển tiền từ hoạt động đầu tư,II. Lưu chuyển tiền từ hoạt động đầu tư,,,
Tiền chỉ đề mua sắm XD TSCĐ và các TS DH khác,II. Lưu chuyển tiền từ hoạt động đầu tư > Tiền chỉ đề mua sắm XD TSCĐ và các TS DH khác,Tiền chỉ đề mua sắm XD TSCĐ và các TS DH khác,21,(101.793.212.971),(113.608.422.334),21.0,-101793212971.0,-113608422334.0
"Tiền thu từ TLý, nhượng bán TSCĐ và các TS DH khác","II. Lưu chuyển tiền từ hoạt động đầu tư > Tiền thu từ TLý, nhượng bán TSCĐ và các TS DH khác","Tiền thu từ TLý, nhượng bán TSCĐ và các TS DH khác",22,-,18.675.265.828,22.0,,18675265828.0
"Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","II. Lưu chuyển tiền từ hoạt động đầu tư > Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",23,(5.165.000.000.000),(2.389.049.408.219),23.0,-5165000000000.0,-2389049408219.0
"Tiền thu hồi cho vay, bán lại các CC nợ của đơn vị khác","II. Lưu chuyển tiền từ hoạt động đầu tư > Tiền thu hồi cho vay, bán lại các CC nợ của đơn vị khác","Tiền thu hồi cho vay, bán lại các CC nợ của đơn vị khác",24,4.792.000.000.000,1.105.049.408.219,24.0,4792000000000.0,1105049408219.0
"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","II. Lưu chuyển tiền từ hoạt động đầu tư > Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,292.773.342.003,273.143.183.798,27.0,292773342003.0,273143183798.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,II. Lưu chuyển tiền từ hoạt động đầu tư > Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,(182.019.870.968),(1.105.789.972.708),30.0,-182019870968.0,-1105789972708.0
III. Lưu chuyển tiền từ hoạt động tài chính,III. Lưu chuyển tiền từ hoạt động tài chính,III. Lưu chuyển tiền từ hoạt động tài chính,III. Lưu chuyển tiền từ hoạt động tài chính,III. Lưu chuyển tiền từ hoạt động tài chính,III. Lưu chuyển tiền từ hoạt động tài chính,,,
Tiền thu từ đi vay,III. Lưu chuyển tiền từ hoạt động tài chính > Tiền thu từ đi vay,Tiền thu từ đi vay,33,5.569.341.998.122,5.454.981.707.993,33.0,5569341998122.0,5454981707993.0
Tiền trả nợ gốc vay,III. Lưu chuyển tiền từ hoạt động tài chính > Tiền trả nợ gốc vay,Tiền trả nợ gốc vay,34,(5.705.734.886.722),(5.145.703.266.116),34.0,-5705734886722.0,-5145703266116.0
"Cổ tức, lợi nhuận đã trả cho chủ sở hữu","III. Lưu chuyển tiền từ hoạt động tài chính > Cổ tức, lợi nhuận đã trả cho chủ sở hữu","Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,(1.070.852.362.600),(892.995.885.600),36.0,-1070852362600.0,-892995885600.0
Lưu chuyển tiền thuần từ hoạt động tài chính,III. Lưu chuyển tiền từ hoạt động tài chính > Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,40,(1.207.245.251.200),(583.717.443.723),40.0,-1207245251200.0,-583717443723.0
Lưu chuyển tiền thuần trong kỳ,III. Lưu chuyển tiền từ hoạt động tài chính > Lưu chuyển tiền thuần trong kỳ,Lưu chuyển tiền thuần trong kỳ,50,22.594.545.664,(240.895.856.021),50.0,22594545664.0,-240895856021.0
Tiền và tương đương tiền đầu kỳ,III. Lưu chuyển tiền từ hoạt động tài chính > Tiền và tương đương tiền đầu kỳ,Tiền và tương đương tiền đầu kỳ,60,178.527.322.546,419.589.966.019,60.0,178527322546.0,419589966019.0
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,III. Lưu chuyển tiền từ hoạt động tài chính > Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,831.624.159,(166.787.452),61.0,831624159.0,-166787452.0
