row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc",Máy mócthiết bị,P.tiện vận tảitruyền dẫn,"Thiết bị, dụngcụ quản lý",Cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy mócthiết bị,numeric__P.tiện vận tảitruyền dẫn,"numeric__Thiết bị, dụngcụ quản lý",numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,1.514.205.712.075,7.029.857.673.201,286.774.752.192,108.573.315.522,8.939.411.452.990,1514205712075.0,7029857673201.0,286774752192.0,108573315522.0,8939411452990.0
Mua sắm trong năm,Nguyên giá > Mua sắm trong năm,Mua sắm trong năm,2.034.683.033,5.467.858.123,829.300.000,1.559.549.565,9.891.390.721,2034683033.0,5467858123.0,829300000.0,1559549565.0,9891390721.0
Đ/tư XDCB h/thành,Nguyên giá > Đ/tư XDCB h/thành,Đ/tư XDCB h/thành,8.380.626.246,88.396.992.984,1.914.622.895,3.494.795.890,102.187.038.015,8380626246.0,88396992984.0,1914622895.0,3494795890.0,102187038015.0
"T/lý, nhượng bán","T/lý, nhượng bán","T/lý, nhượng bán",-,-,-,-,-,,,,,
Số cuối năm,"T/lý, nhượng bán > Số cuối năm",Số cuối năm,1.524.621.021.354,7.123.722.524.308,289.518.675.087,113.627.660.977,9.051.489.881.726,1524621021354.0,7123722524308.0,289518675087.0,113627660977.0,9051489881726.0
Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,,,,,
Số đầu năm,Khấu hao > Số đầu năm,Số đầu năm,877.445.797.678,3.516.354.596.034,187.385.389.845,84.749.284.310,4.665.935.067.867,877445797678.0,3516354596034.0,187385389845.0,84749284310.0,4665935067867.0
Tăng trong năm,Khấu hao > Tăng trong năm,Tăng trong năm,92.032.832.948,368.285.352.742,11.851.395.689,7.921.254.139,480.090.835.518,92032832948.0,368285352742.0,11851395689.0,7921254139.0,480090835518.0
- Khấu hao,Khấu hao > - Khấu hao,- Khấu hao,92.015.521.281,368.279.809.817,11.851.395.689,7.564.787.473,479.711.514.260,92015521281.0,368279809817.0,11851395689.0,7564787473.0,479711514260.0
- Sử dụng Quỹ KH&CN,Khấu hao > - Sử dụng Quỹ KH&CN,- Sử dụng Quỹ KH&CN,17.311.667,5.542.925,-,356.466.666,379.321.258,17311667.0,5542925.0,,356466666.0,379321258.0
"T/lý, nhượng bán","T/lý, nhượng bán","T/lý, nhượng bán",-,-,-,-,-,,,,,
Số cuối năm,"T/lý, nhượng bán > Số cuối năm",Số cuối năm,969.478.630.626,3.884.639.948.776,199.236.785.534,92.670.538.449,5.146.025.903.385,969478630626.0,3884639948776.0,199236785534.0,92670538449.0,5146025903385.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,636.759.914.397,3.513.503.077.167,99.389.362.347,23.824.031.212,4.273.476.385.123,636759914397.0,3513503077167.0,99389362347.0,23824031212.0,4273476385123.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,555.142.390.728,3.239.082.575.532,90.281.889.553,20.957.122.528,3.905.463.978.341,555142390728.0,3239082575532.0,90281889553.0,20957122528.0,3905463978341.0
