row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải thu cho vay dài hạn (ii),Phải thu cho vay dài hạn (ii),Phải thu cho vay dài hạn (ii),Phải thu cho vay dài hạn (ii),Phải thu cho vay dài hạn (ii),Phải thu cho vay dài hạn (ii),Phải thu cho vay dài hạn (ii),,,,
Công ty Cổ phần Thế Giới Di Động,Phải thu cho vay dài hạn (ii) > Công ty Cổ phần Thế Giới Di Động,Công ty Cổ phần Thế Giới Di Động,Công ty con,Cho vay,-,1.126.500.000.000,,,,1126500000000.0
