row_label_raw,row_label_full,Tên công ty,Trụ sở,Lĩnh vực kinh doanh,Tỷ lệ sở hữu vàquyền biểu quyết (%),Tỷ lệ sở hữu vàquyền biểu quyết (%)_1,numeric__Trụ sở,numeric__Lĩnh vực kinh doanh,numeric__Tỷ lệ sở hữu vàquyền biểu quyết (%),numeric__Tỷ lệ sở hữu vàquyền biểu quyết (%)_1
Tên công ty,Tên công ty,Tên công ty,Trụ sở,Lĩnh vực kinh doanh,Số cuối năm,Số đầu năm,,,,
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,,,
Công ty Cổ phầnThế Giới Di Động,Công ty con > Công ty Cổ phầnThế Giới Di Động,Công ty Cổ phầnThế Giới Di Động,"Thành phốHồ Chí Minh,Việt Nam",Thương mại sản phẩm điện tử,"99,95","99,95",,,99.95,99.95
Công ty Cổ phầnThương mại Bách Hóa Xanh,Công ty con > Công ty Cổ phầnThương mại Bách Hóa Xanh,Công ty Cổ phầnThương mại Bách Hóa Xanh,"Thành phốHồ Chí Minh,Việt Nam",Thương mại thực phẩm,"99,95","99,95",,,99.95,99.95
Công ty Cổ phần Thế giới Số Trần Anh,Công ty con > Công ty Cổ phần Thế giới Số Trần Anh,Công ty Cổ phần Thế giới Số Trần Anh,"Thành phốHà Nội,Việt Nam",Thương mại sản phẩm điện tử,"99,33","99,33",,,99.33,99.33
Công ty TNHH MTVCông nghệ Thông tinThế Giới Di Động,Công ty con > Công ty TNHH MTVCông nghệ Thông tinThế Giới Di Động,Công ty TNHH MTVCông nghệ Thông tinThế Giới Di Động,"Thành phốHồ Chí Minh,Việt Nam",Công nghệ thông tin,"100,00","100,00",,,100.0,100.0
Công ty Cổ phần 4K Farm,Công ty con > Công ty Cổ phần 4K Farm,Công ty Cổ phần 4K Farm,"Tĩnh Bà Rịa – VũngTâu, Việt Nam",Nông nghiệp,"99,99",-,,,99.99,
Công ty Cổ phần LogisticsToàn Tín,Công ty con > Công ty Cổ phần LogisticsToàn Tín,Công ty Cổ phần LogisticsToàn Tín,"Thành phốHồ Chí Minh,Việt Nam",Kho vận,"99,99",-,,,99.99,
