row_label_raw,row_label_full,Số đầu năm,Năm nay > 4.532.099.870.000,VNDNăm trước > 4.435.461.780.000,numeric__Năm nay > 4.532.099.870.000,numeric__VNDNăm trước > 4.435.461.780.000
Phát hành cổ phiếu theo chương trình ESOP,Phát hành cổ phiếu theo chương trình ESOP,Phát hành cổ phiếu theo chương trình ESOP,222.212.100.000,96.638.090.000,222212100000.0,96638090000.0
Phát hành cổ phiếu chia cổ tức,Phát hành cổ phiếu chia cổ tức,Phát hành cổ phiếu chia cổ tức,2.376.342.980.000,-,2376342980000.0,
Số cuối năm,Số cuối năm,Số cuối năm,7.130.654.950.000,4.532.099.870.000,7130654950000.0,4532099870000.0
