row_label_raw,row_label_full,Phải thu từ các bên liên quan(Thuyết minh số 16),Số cuối năm > 696.000.000.000,VND Số đầu năm > 41.537.648.939,numeric__Số cuối năm > 696.000.000.000,numeric__VND Số đầu năm > 41.537.648.939
Khác,Khác,Khác,763.134.922,172.011.638,763134922.0,172011638.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,696.763.134.922,41.709.660.577,696763134922.0,41709660577.0
