row_label_raw,row_label_full,Ông Nguyễn Đức Tài,Chủ tịch,col_2,numeric__Chủ tịch,numeric__col_2
Ông Trần Kinh Doanh,Ông Trần Kinh Doanh,Ông Trần Kinh Doanh,Thành viên điều hành,,,
Ông Đặng Minh Lượng,Ông Đặng Minh Lượng,Ông Đặng Minh Lượng,Thành viên điều hành,,,
Ông Đoàn Văn Hiểu Em,Ông Đoàn Văn Hiểu Em,Ông Đoàn Văn Hiểu Em,Thành viên điều hành,,,
Ông Thomas Lanyi,Ông Thomas Lanyi,Ông Thomas Lanyi,Thành viên không điều hành,,,
Ông Robert Willet,Ông Robert Willet,Ông Robert Willet,Thành viên không điều hành,,,
Ông Trần Huy Thanh Tùng,Ông Trần Huy Thanh Tùng,Ông Trần Huy Thanh Tùng,Thành viên không điều hành,,,
Ông Đào Thế Vinh,Ông Đào Thế Vinh,Ông Đào Thế Vinh,Thành viên độc lập,,,
Ông Nguyễn Tiến Trung,Ông Nguyễn Tiến Trung,Ông Nguyễn Tiến Trung,Thành viên độc lập,bổ nhiệm ngày 15 tháng 5 năm 2021,,
Ông Đỗ Tiến Sĩ,Ông Đỗ Tiến Sĩ,Ông Đỗ Tiến Sĩ,Thành viên độc lập,bổ nhiệm ngày 15 tháng 5 năm 2021,,
Ông Điều Chính Hải Triều,Ông Điều Chính Hải Triều,Ông Điều Chính Hải Triều,Thành viên,từ nhiệm ngày 15 tháng 5 năm 2021,,
