row_label_raw,row_label_full,Tên công ty,Địa chỉ,Lĩnh vực kinh doanh,Số cuối năm,Số cuối năm_1,Số cuối năm_2,Số đầu năm,Số đầu năm_1,Số đầu năm_2,numeric__Địa chỉ,numeric__Lĩnh vực kinh doanh,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số cuối năm_2,numeric__Số đầu năm,numeric__Số đầu năm_1,numeric__Số đầu năm_2
Tên công ty,Tên công ty,Tên công ty,Địa chỉ,Lĩnh vực kinh doanh,%sở hữu,Giá gốc đầu tư VND,Dự phòng VND,%sở hữu,Giá gốc đầu tư VND,Dự phòng VND,,,,,,,,
Công ty Cổ phần Bán lẻ An Khang (“An Khang”),Tên công ty > Công ty Cổ phần Bán lẻ An Khang (“An Khang”),Công ty Cổ phần Bán lẻ An Khang (“An Khang”),"Thành phố Hồ Chí Minh, Việt Nam",Bán lẻ dược phẩm,-,-,-,"49,00",62.038.750.000,-,,,,,,49.0,62038750000.0,
