row_label_raw,row_label_full,Công ty Cổ phần Thương mại Bách Hóa Xanh,Công ty con,Tạm ứng,696.000.000.000,-,numeric__Công ty con,numeric__Tạm ứng,numeric__696.000.000.000,numeric__-
Công ty Cổ phần Thế Giới Di Động,Công ty Cổ phần Thế Giới Di Động,Công ty Cổ phần Thế Giới Di Động,Công ty con,Lãi cho vay,-,41.154.416.062,,,,41154416062.0
Công ty Cổ phần Bán lẻ An Khang,Công ty Cổ phần Bán lẻ An Khang,Công ty Cổ phần Bán lẻ An Khang,Công ty trong cùng Tập đoàn (*),Lãi cho vay,-,383.232.877,,,,383232877.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,696.000.000.000,41.537.648.939,,,696000000000.0,41537648939.0
