row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,Tài sân cố định vô hình khác,Đơn vị tính: VND Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__Tài sân cố định vô hình khác,numeric__Đơn vị tính: VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số đầu kỳ- Mua trong kỳ- Chuyển sang bất động sản đầu tư (Thuyết minh số 12),Số đầu kỳ- Mua trong kỳ- Chuyển sang bất động sản đầu tư (Thuyết minh số 12),Số đầu kỳ- Mua trong kỳ- Chuyển sang bất động sản đầu tư (Thuyết minh số 12),24.672.408.636- (2.330.218.560),143.900.0001.152.700.000-,23.164.461.004-,47.980.769.6401.152.700.000(2.330.218.560),,,,
Số cuối kỳ,Số đầu kỳ- Mua trong kỳ- Chuyển sang bất động sản đầu tư (Thuyết minh số 12) > Số cuối kỳ,Số cuối kỳ,22.342.190.076,1.296.600.000,23.164.461.004,46.803.251.080,22342190076.0,1296600000.0,23164461004.0,46803251080.0
Trong đóĐã khấu hao hết,Số đầu kỳ- Mua trong kỳ- Chuyển sang bất động sản đầu tư (Thuyết minh số 12) > Trong đóĐã khấu hao hết,Trong đóĐã khấu hao hết,-,70.000.000,-,70.000.000,,70000000.0,,70000000.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,
Số đầu kỳ- Khấu hao trong kỳ,Giá trị hao mòn lũy kế: > Số đầu kỳ- Khấu hao trong kỳ,Số đầu kỳ- Khấu hao trong kỳ,2.203.344.867137.768.224,78.708.33015.963.984,19.703.039.318485.332.836,21.985.092.515639.065.044,2.2033448671377682e+18,7870833015963984.0,1.970303931848533e+19,2.1985092515639067e+19
Số cuối kỳ,Giá trị hao mòn lũy kế: > Số cuối kỳ,Số cuối kỳ,2.341.113.091,94.672.314,20.188.372.154,22.624.157.559,2341113091.0,94672314.0,20188372154.0,22624157559.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số đầu kỳ,Giá trị còn lại: > Số đầu kỳ,Số đầu kỳ,22.469.063.769,65.191.670,3.461.421.686,25.995.677.125,22469063769.0,65191670.0,3461421686.0,25995677125.0
Số cuối kỳ,Giá trị còn lại: > Số cuối kỳ,Số cuối kỳ,20.001.076.985,1.201.927.686,2.976.088.850,24.179.093.521,20001076985.0,1201927686.0,2976088850.0,24179093521.0
