row_label_raw,row_label_full,col_0,Ngày 1 tháng 9năm 2016,Số phải nộptrong kỳ,Số đã nộp trong kỳ,Đơn vị tính: VNDNgày 31 tháng 12năm 2016,numeric__Ngày 1 tháng 9năm 2016,numeric__Số phải nộptrong kỳ,numeric__Số đã nộp trong kỳ,numeric__Đơn vị tính: VNDNgày 31 tháng 12năm 2016
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Lợi nhuận nộp vềngân sách nhà nước,Phải nộp > Lợi nhuận nộp vềngân sách nhà nước,Lợi nhuận nộp vềngân sách nhà nước,263.107.936.985,-,(143.721.848.597),119.386.088.388,263107936985.0,,-143721848597.0,119386088388.0
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,6.022.089.657,17.571.710.339,(20.702.072.285),2.891.727.711,6022089657.0,17571710339.0,-20702072285.0,2891727711.0
Thuế thu nhập doanhnghiệp,Phải nộp > Thuế thu nhập doanhnghiệp,Thuế thu nhập doanhnghiệp,6.575.553.215,3.253.417.404,(6.586.661.324),3.242.309.295,6575553215.0,3253417404.0,-6586661324.0,3242309295.0
"Thuế xuất, nhập khẩu","Phải nộp > Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",-,2.239.500,(2.239.500),-,,2239500.0,-2239500.0,
Thuế thu nhập cánhân,Phải nộp > Thuế thu nhập cánhân,Thuế thu nhập cánhân,1.198.145.076,1.979.108.752,(3.007.599.043),169.654.705,1198145076.0,1979108752.0,-3007599043.0,169654705.0
"Thuế nhà đất, tiềnthuê đất","Phải nộp > Thuế nhà đất, tiềnthuê đất","Thuế nhà đất, tiềnthuê đất",2.817.612.983,4.966.226.833,(5.244.342.467),2.539.497.349,2817612983.0,4966226833.0,-5244342467.0,2539497349.0
Thuế tài nguyên,Phải nộp > Thuế tài nguyên,Thuế tài nguyên,134.500,128.804.700,(128.677.600),261.600,134500.0,128804700.0,-128677600.0,261600.0
Các loại thuế khác,Phải nộp > Các loại thuế khác,Các loại thuế khác,3.043.096.441,2.907.078.286,(5.607.766.948),943.607.779,3043096441.0,2907078286.0,-5607766948.0,943607779.0
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,283.365.168.857,30.809.185.814,(185.001.207.764),129.173.146.907,283365168857.0,30809185814.0,-185001207764.0,129173146907.0
,,,Ngày 1 tháng 9năm 2016,Số phải thutrong kỳ,Số đã thu/cán trừtrong kỳ,Đơn vị tính:VNDNgày 31 tháng 12năm 2016,,,,
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế giá trị gia tăng,Phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,162.624.381,-,(162.624.381),-,162624381.0,,-162624381.0,
Thuế thu nhập doanhnghiệp,Phải thu > Thuế thu nhập doanhnghiệp,Thuế thu nhập doanhnghiệp,403.457.538,130.302.843,(303.840.446),229.919.935,403457538.0,130302843.0,-303840446.0,229919935.0
Thuế thu nhập cánhân,Phải thu > Thuế thu nhập cánhân,Thuế thu nhập cánhân,251.095.755,71.744.303,(230.047.202),92.792.856,251095755.0,71744303.0,-230047202.0,92792856.0
"Thuế nhà đất, tiềnthuê đất","Phải thu > Thuế nhà đất, tiềnthuê đất","Thuế nhà đất, tiềnthuê đất",75.858.030,3.327.042.722,(3.371.396.888),31.503.864,75858030.0,3327042722.0,-3371396888.0,31503864.0
Các loại thuế khác,Phải thu > Các loại thuế khác,Các loại thuế khác,-,1.531.440,-,1.531.440,,1531440.0,,1531440.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,893.035.704,3.530.621.308,(4.067.908.917),355.748.095,893035704.0,3530621308.0,-4067908917.0,355748095.0
