row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến ngày 31 tháng 12 năm 2016,Đơn vị tính: VND > Cho giai đoạn tài chính từ ngày 1 tháng 1 năm 2016 đến ngày 31 tháng 8 năm 2016,numeric__Đơn vị tính: VND > Cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến ngày 31 tháng 12 năm 2016,numeric__Đơn vị tính: VND > Cho giai đoạn tài chính từ ngày 1 tháng 1 năm 2016 đến ngày 31 tháng 8 năm 2016
Các khoản chi phí bán hàng phát sinh trong kỳ,Các khoản chi phí bán hàng phát sinh trong kỳ,Các khoản chi phí bán hàng phát sinh trong kỳ,Các khoản chi phí bán hàng phát sinh trong kỳ,Các khoản chi phí bán hàng phát sinh trong kỳ,,
Chi phí nhân công,Các khoản chi phí bán hàng phát sinh trong kỳ > Chi phí nhân công,Chi phí nhân công,3.074.785.289,7.303.422.095,3074785289.0,7303422095.0
Chi phí nguyên vật liệu,Các khoản chi phí bán hàng phát sinh trong kỳ > Chi phí nguyên vật liệu,Chi phí nguyên vật liệu,3.128.589.747,7.431.221.804,3128589747.0,7431221804.0
Chi phí dịch vụ mua ngoài,Các khoản chi phí bán hàng phát sinh trong kỳ > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,9.910.984.234,23.541.188.873,9910984234.0,23541188873.0
Chi phí bằng tiền khác,Các khoản chi phí bán hàng phát sinh trong kỳ > Chi phí bằng tiền khác,Chi phí bằng tiền khác,4.134.711.674,9.821.025.456,4134711674.0,9821025456.0
TỔNG CỘNG,Các khoản chi phí bán hàng phát sinh trong kỳ > TỔNG CỘNG,TỔNG CỘNG,20.249.070.944,48.096.858.228,20249070944.0,48096858228.0
Các khoản chi phí quản lý doanh nghiệp phát sinh trong kỳ,Các khoản chi phí quản lý doanh nghiệp phát sinh trong kỳ,Các khoản chi phí quản lý doanh nghiệp phát sinh trong kỳ,Các khoản chi phí quản lý doanh nghiệp phát sinh trong kỳ,Các khoản chi phí quản lý doanh nghiệp phát sinh trong kỳ,,
Chi phí nhân công,Các khoản chi phí quản lý doanh nghiệp phát sinh trong kỳ > Chi phí nhân công,Chi phí nhân công,34.934.288.121,80.808.904.674,34934288121.0,80808904674.0
Chi phí khấu hao TSCĐ,Các khoản chi phí quản lý doanh nghiệp phát sinh trong kỳ > Chi phí khấu hao TSCĐ,Chi phí khấu hao TSCĐ,5.390.655.258,5.610.436.094,5390655258.0,5610436094.0
"Thuế, phí, và lệ phí","Các khoản chi phí quản lý doanh nghiệp phát sinh trong kỳ > Thuế, phí, và lệ phí","Thuế, phí, và lệ phí",2.165.333.623,7.517.100.239,2165333623.0,7517100239.0
"Chi phí nguyên liệu, vật liệu","Các khoản chi phí quản lý doanh nghiệp phát sinh trong kỳ > Chi phí nguyên liệu, vật liệu","Chi phí nguyên liệu, vật liệu",3.832.212.617,7.472.874.175,3832212617.0,7472874175.0
Chi phí dự phòng,Các khoản chi phí quản lý doanh nghiệp phát sinh trong kỳ > Chi phí dự phòng,Chi phí dự phòng,4.325.435.004,-,4325435004.0,
Chi phí dịch vụ mua ngoài,Các khoản chi phí quản lý doanh nghiệp phát sinh trong kỳ > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,5.206.644.153,23.663.986.766,5206644153.0,23663986766.0
Chi phí khác bằng tiền,Các khoản chi phí quản lý doanh nghiệp phát sinh trong kỳ > Chi phí khác bằng tiền,Chi phí khác bằng tiền,12.518.223.821,28.126.118.292,12518223821.0,28126118292.0
TỔNG CỘNG,Các khoản chi phí quản lý doanh nghiệp phát sinh trong kỳ > TỔNG CỘNG,TỔNG CỘNG,68.372.792.597,153.199.420.240,68372792597.0,153199420240.0
