row_label_raw,row_label_full,Bên liên quan > Phải trả người bán ngắn hạn (Thuyết minh số 16),Mối quanhệ > Phải trả người bán ngắn hạn (Thuyết minh số 16),Nội dungnghiệp vụ > Phải trả người bán ngắn hạn (Thuyết minh số 16),Ngày 31 tháng12 năm 2016 > Phải trả người bán ngắn hạn (Thuyết minh số 16),Ngày 1 tháng 9năm 2016 > Phải trả người bán ngắn hạn (Thuyết minh số 16),numeric__Mối quanhệ > Phải trả người bán ngắn hạn (Thuyết minh số 16),numeric__Nội dungnghiệp vụ > Phải trả người bán ngắn hạn (Thuyết minh số 16),numeric__Ngày 31 tháng12 năm 2016 > Phải trả người bán ngắn hạn (Thuyết minh số 16),numeric__Ngày 1 tháng 9năm 2016 > Phải trả người bán ngắn hạn (Thuyết minh số 16)
Công ty Cổ phần Sản xuất& Xuất nhập khẩu Lâm sảnNaforimex Hà Nội,Công ty Cổ phần Sản xuất& Xuất nhập khẩu Lâm sảnNaforimex Hà Nội,Công ty Cổ phần Sản xuất& Xuất nhập khẩu Lâm sảnNaforimex Hà Nội,Công ty liênkết,Mua hàng hóa,96.222.195,36.943.380,,,96222195.0,36943380.0
Công ty Cổ phần Formach,Công ty Cổ phần Formach,Công ty Cổ phần Formach,Công ty liênkết,Mua dịch vụ,13.420.000,-,,,13420000.0,
,,,,,109.642.195,36.943.380,,,109642195.0,36943380.0
Phải trả ngắn hạn khác (Thuyết minh số 19),Phải trả ngắn hạn khác (Thuyết minh số 19),Phải trả ngắn hạn khác (Thuyết minh số 19),Phải trả ngắn hạn khác (Thuyết minh số 19),Phải trả ngắn hạn khác (Thuyết minh số 19),Phải trả ngắn hạn khác (Thuyết minh số 19),Phải trả ngắn hạn khác (Thuyết minh số 19),,,,
Công ty TNHH Văn dán OJÍ– Vinafor Bắc Giang,Phải trả ngắn hạn khác (Thuyết minh số 19) > Công ty TNHH Văn dán OJÍ– Vinafor Bắc Giang,Công ty TNHH Văn dán OJÍ– Vinafor Bắc Giang,Công ty liêndoanh,Phải trả khác,1.013.904,-,,,1013904.0,
Công ty Cổ phần Thươngmại Công nghiệp và Chếbiển Gỗ,Phải trả ngắn hạn khác (Thuyết minh số 19) > Công ty Cổ phần Thươngmại Công nghiệp và Chếbiển Gỗ,Công ty Cổ phần Thươngmại Công nghiệp và Chếbiển Gỗ,Công ty liênkết,Phải trả khác,-,303.416.006,,,,303416006.0
,,,,,1.013.904,303.416.006,,,1013904.0,303416006.0
Phải trả dài hạn khác (Thuyết minh số 19),Phải trả dài hạn khác (Thuyết minh số 19),Phải trả dài hạn khác (Thuyết minh số 19),Phải trả dài hạn khác (Thuyết minh số 19),Phải trả dài hạn khác (Thuyết minh số 19),Phải trả dài hạn khác (Thuyết minh số 19),Phải trả dài hạn khác (Thuyết minh số 19),,,,
Công ty TNHH YamahaMOTOR Việt Nam,Phải trả dài hạn khác (Thuyết minh số 19) > Công ty TNHH YamahaMOTOR Việt Nam,Công ty TNHH YamahaMOTOR Việt Nam,Công ty liênkết,Đặt cọc thuểvăn phòng,1.215.535.680,1.215.535.680,,,1215535680.0,1215535680.0
,,,,,1.215.535.680,1.215.535.680,,,1215535680.0,1215535680.0
Vay và nợ thuê tài chính (Thuyết minh số 20),Vay và nợ thuê tài chính (Thuyết minh số 20),Vay và nợ thuê tài chính (Thuyết minh số 20),Vay và nợ thuê tài chính (Thuyết minh số 20),Vay và nợ thuê tài chính (Thuyết minh số 20),Vay và nợ thuê tài chính (Thuyết minh số 20),Vay và nợ thuê tài chính (Thuyết minh số 20),,,,
Công ty TNHH Sản xuấtNguyên liệu giấy Việt Nhật,Vay và nợ thuê tài chính (Thuyết minh số 20) > Công ty TNHH Sản xuấtNguyên liệu giấy Việt Nhật,Công ty TNHH Sản xuấtNguyên liệu giấy Việt Nhật,Công tyliôn kết,Vay ngắn hạn,-,955.999.998,,,,955999998.0
,,,,,-,955.999.998,,,,955999998.0
