row_label_raw,row_label_full,Bên liên quan > Phải thu khách hàng ngắn hạn (Thuyết minh số 6),Mối quanhệ > Phải thu khách hàng ngắn hạn (Thuyết minh số 6),Nội dungnghiệp vụ > Phải thu khách hàng ngắn hạn (Thuyết minh số 6),Ngày 31 tháng12 năm 2016 > Phải thu khách hàng ngắn hạn (Thuyết minh số 6),Ngày 1 tháng 9năm 2016 > Phải thu khách hàng ngắn hạn (Thuyết minh số 6),numeric__Mối quanhệ > Phải thu khách hàng ngắn hạn (Thuyết minh số 6),numeric__Nội dungnghiệp vụ > Phải thu khách hàng ngắn hạn (Thuyết minh số 6),numeric__Ngày 31 tháng12 năm 2016 > Phải thu khách hàng ngắn hạn (Thuyết minh số 6),numeric__Ngày 1 tháng 9năm 2016 > Phải thu khách hàng ngắn hạn (Thuyết minh số 6)
Công ty TNHH Việt NhậtChế biến gỗ và Đảm gỗDung Quát,Công ty TNHH Việt NhậtChế biến gỗ và Đảm gỗDung Quát,Công ty TNHH Việt NhậtChế biến gỗ và Đảm gỗDung Quát,Công tyliên kết,Bán hàng hóa,8.108.108.800,3.381.472.400,,,8108108800.0,3381472400.0
Công ty TNHH Sản xuấtNguyên liệu giấy Việt NhậtVũng Áng,Công ty TNHH Sản xuấtNguyên liệu giấy Việt NhậtVũng Áng,Công ty TNHH Sản xuấtNguyên liệu giấy Việt NhậtVũng Áng,Công tyliên kết,Bán hàng hóa,7.163.783.900,11.554.827.891,,,7163783900.0,11554827891.0
Công ty TNHH Văn dán OJI– Vinafor Bắc Giang,Công ty TNHH Văn dán OJI– Vinafor Bắc Giang,Công ty TNHH Văn dán OJI– Vinafor Bắc Giang,Công tyliên kết,Bán hàng hóa,5.109.874.650,3.258.034.723,,,5109874650.0,3258034723.0
Công ty TNHH Sản xuấtNguyên liệu giấy Việt Nhật,Công ty TNHH Sản xuấtNguyên liệu giấy Việt Nhật,Công ty TNHH Sản xuấtNguyên liệu giấy Việt Nhật,Công tyliên kết,Bán hàng hóa,2.874.843.647,812.155.618,,,2874843647.0,812155618.0
Công ty Cổ phần Gỗ lạngBuôn Ma Thuột,Công ty Cổ phần Gỗ lạngBuôn Ma Thuột,Công ty Cổ phần Gỗ lạngBuôn Ma Thuột,Công tyliên kết,Bán hàng hóa,672.150.039,733.125.551,,,672150039.0,733125551.0
Công ty TNHH YamahaMotor Việt Nam,Công ty TNHH YamahaMotor Việt Nam,Công ty TNHH YamahaMotor Việt Nam,Công tyliên kết,Cho thuê vănphòng và các dịchvụ phụ trợ khác,81.315.138,201.141.483,,,81315138.0,201141483.0
,,,,,24.010.076.174,19.920.757.666,,,24010076174.0,19920757666.0
Các khoản phải thu ngắn hạn khác (Thuyết minh số 8),Các khoản phải thu ngắn hạn khác (Thuyết minh số 8),Các khoản phải thu ngắn hạn khác (Thuyết minh số 8),Các khoản phải thu ngắn hạn khác (Thuyết minh số 8),Các khoản phải thu ngắn hạn khác (Thuyết minh số 8),Các khoản phải thu ngắn hạn khác (Thuyết minh số 8),Các khoản phải thu ngắn hạn khác (Thuyết minh số 8),,,,
Công ty Cổ phần Lâm sảnForprodex,Các khoản phải thu ngắn hạn khác (Thuyết minh số 8) > Công ty Cổ phần Lâm sảnForprodex,Công ty Cổ phần Lâm sảnForprodex,Công tyliên kết,Phải thu về cổ phần hóa,3.156.063.561,3.156.063.561,,,3156063561.0,3156063561.0
Công ty Cổ phần Thươngmại Lâm sản Hà Nội,Các khoản phải thu ngắn hạn khác (Thuyết minh số 8) > Công ty Cổ phần Thươngmại Lâm sản Hà Nội,Công ty Cổ phần Thươngmại Lâm sản Hà Nội,Công tyliên kết,Tiền cổ tứcPhải thu về cổ phần hóa,135.000.000800.811.705,135.000.000-,,,1.3500000080081171e+17,
Công ty TNHH Việt NhậtChế biến gỗ và Đảm gỗDung Quát,Các khoản phải thu ngắn hạn khác (Thuyết minh số 8) > Công ty TNHH Việt NhậtChế biến gỗ và Đảm gỗDung Quát,Công ty TNHH Việt NhậtChế biến gỗ và Đảm gỗDung Quát,Công tyliên kết,Lãi vay phải thu,186.295.762,319.978.701,,,186295762.0,319978701.0
Công ty TNHH Sản xuấtNguyên liệu giấy Việt NhậtVũng Áng,Các khoản phải thu ngắn hạn khác (Thuyết minh số 8) > Công ty TNHH Sản xuấtNguyên liệu giấy Việt NhậtVũng Áng,Công ty TNHH Sản xuấtNguyên liệu giấy Việt NhậtVũng Áng,Công tyliên kết,Lãi vay phải thu,63.946.309,114.780.248,,,63946309.0,114780248.0
Công ty TNHH Văn dán OJI– Vinafor Bắc Giang,Các khoản phải thu ngắn hạn khác (Thuyết minh số 8) > Công ty TNHH Văn dán OJI– Vinafor Bắc Giang,Công ty TNHH Văn dán OJI– Vinafor Bắc Giang,Công tyliên kết,Lãi vay phải thu,-,233.587.580,,,,233587580.0
,,,,,4.342.117.337,3.959.410.090,,,4342117337.0,3959410090.0
