row_label_raw,row_label_full,col_0,Ngày 1 tháng 9 năm 2016 > Giá trị,Ngày 1 tháng 9 năm 2016 > Số có khả năng trả nợ,Số phát sinh ironic năm > Tăng,Số phát sinh ironic năm > Giảm,Ngày 31 tháng 12 năm 2016 > Giá trị,Ngày 31 tháng 12 năm 2016 > Số có khả năng trả nợ,numeric__Ngày 1 tháng 9 năm 2016 > Giá trị,numeric__Ngày 1 tháng 9 năm 2016 > Số có khả năng trả nợ,numeric__Số phát sinh ironic năm > Tăng,numeric__Số phát sinh ironic năm > Giảm,numeric__Ngày 31 tháng 12 năm 2016 > Giá trị,numeric__Ngày 31 tháng 12 năm 2016 > Số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,,,
Vay ngắn hạn ngân hàng(Thuyết minh số 20.1),Vay ngắn hạn > Vay ngắn hạn ngân hàng(Thuyết minh số 20.1),Vay ngắn hạn ngân hàng(Thuyết minh số 20.1),87.275.134.270,87.275.134.270,139.677.733.275,(102.442.667.765),124.510.199.780,124.510.199.780,87275134270.0,87275134270.0,139677733275.0,-102442667765.0,124510199780.0,124510199780.0
Vay ngắn hạn khác (*),Vay ngắn hạn > Vay ngắn hạn khác (*),Vay ngắn hạn khác (*),13.060.605.050,13.060.605.050,4.642.720.000,(7.139.909.300),10.563.415.750,10.563.415.750,13060605050.0,13060605050.0,4642720000.0,-7139909300.0,10563415750.0,10563415750.0
Vay dài hạn đến hạn phải trả,Vay ngắn hạn > Vay dài hạn đến hạn phải trả,Vay dài hạn đến hạn phải trả,28.499.018.177,28.499.018.177,19.603.436.972,(15.423.367.999),32.679.087.150,32.679.087.150,28499018177.0,28499018177.0,19603436972.0,-15423367999.0,32679087150.0,32679087150.0
Vay các bên liên quan(Thuyết minh số 28),Vay ngắn hạn > Vay các bên liên quan(Thuyết minh số 28),Vay các bên liên quan(Thuyết minh số 28),955.999.998,955.999.998,-,(955.999.998),-,-,955999998.0,955999998.0,,-955999998.0,,
,,,129.790.757.495,129.790.757.495,163.923.890.247,(125.961.945.062),167.752.702.680,167.752.702.680,129790757495.0,129790757495.0,163923890247.0,-125961945062.0,167752702680.0,167752702680.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,,
Vay ngân hàng(Thuyết minh số 20.2),Vay dài hạn > Vay ngân hàng(Thuyết minh số 20.2),Vay ngân hàng(Thuyết minh số 20.2),52.4*4.693.418,52.414.693.4^8,19.353.358.836,(34.604.847.896),37.163.204.358,37.163.204.358,,,19353358836.0,-34604847896.0,37163204358.0,37163204358.0
Vay đối tượng khác (**),Vay dài hạn > Vay đối tượng khác (**),Vay đối tượng khác (**),469.736.000,469.736.000,-,-,469.736.000,469.736.000,469736000.0,469736000.0,,,469736000.0,469736000.0
,,,52.884.429.418,52.884.429.418,19.353.358.836,(34.604.847.896),37.632.940.358,37.632.940.358,52884429418.0,52884429418.0,19353358836.0,-34604847896.0,37632940358.0,37632940358.0
