row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2016,Đơn vị tính: VNDNgày 1 tháng 9năm 2016,numeric__Ngày 31 tháng 12năm 2016,numeric__Đơn vị tính: VNDNgày 1 tháng 9năm 2016
Phải thu ngắn hạn từ khách hàng,Phải thu ngắn hạn từ khách hàng,Phải thu ngắn hạn từ khách hàng,144.250.017.643,138.134.480.546,144250017643.0,138134480546.0
Công ty Cost Plus,Công ty Cost Plus,Công ty Cost Plus,24.775.145.986,-,24775145986.0,
Công ty TNHH VQWOOD,Công ty TNHH VQWOOD,Công ty TNHH VQWOOD,9.105.542.368,-,9105542368.0,
"Công ty Hayneedle, Inc.","Công ty Hayneedle, Inc.","Công ty Hayneedle, Inc.",6.108.420.861,2.970.779.477,6108420861.0,2970779477.0
Công ty TNHH Axcess - Macao Commercial,Công ty TNHH Axcess - Macao Commercial,Công ty TNHH Axcess - Macao Commercial,4.989.381.685,6.662.217.556,4989381685.0,6662217556.0
Công ty Dorel Home Furnishings Inc.,Công ty Dorel Home Furnishings Inc.,Công ty Dorel Home Furnishings Inc.,3.355.968.000,5.804.282.417,3355968000.0,5804282417.0
Công ty TNHH I Đầu tư Thương mại và Sản xuất Hải Nam,Công ty TNHH I Đầu tư Thương mại và Sản xuất Hải Nam,Công ty TNHH I Đầu tư Thương mại và Sản xuất Hải Nam,-,19.864.215.812,,19864215812.0
Công ty Falabella Retail S.A,Công ty Falabella Retail S.A,Công ty Falabella Retail S.A,-,5.802.552.773,,5802552773.0
Các khoản phải thu khách hàng khác,Các khoản phải thu khách hàng khác,Các khoản phải thu khách hàng khác,95.915.558.743,97.030.432.511,95915558743.0,97030432511.0
Phải thu ngắn hạn từ các bên liên quan(Thuyết minh số 28),Phải thu ngắn hạn từ các bên liên quan(Thuyết minh số 28),Phải thu ngắn hạn từ các bên liên quan(Thuyết minh số 28),24.010.076.174,19.920.757.666,24010076174.0,19920757666.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,168.260.093.817,158.055.238.212,168260093817.0,158055238212.0
Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,(4.993.240.083),(3.211.213.642),-4993240083.0,-3211213642.0
